method,metric,unit,n_recovered_episodes,mean,note
single,recovered_only_recovery_steps,steps,23,5.391304348,Conditional on episodes that recovered; use capped_recovery_steps for a comparable recovery-time proxy.
multi_relation,recovered_only_recovery_steps,steps,47,15.0212766,Conditional on episodes that recovered; use capped_recovery_steps for a comparable recovery-time proxy.
