metric,label,unit,higher_is_better,n_training_seeds,n_matched_episodes_total,single,multi_relation,delta_proposed_minus_baseline,delta_ci_low,delta_ci_high,bootstrap_samples,bootstrap_seed
success,Task success,rate,true,5,50,0.46,0.94,0.48,0.18,0.82,3000,20260717
post_failure_chain_recovered,Post-failure chain recovered,rate,true,5,50,0.46,0.94,0.48,0.18,0.82,3000,20260717
timeout,Timeout,rate,false,5,50,0.52,0.06,-0.46,-0.8,-0.16,3000,20260717
capped_recovery_steps,Restricted mean recovery steps,steps,false,5,50,117.28,27.32,-89.96,-164.3895,-27.236,3000,20260717
tracking_during_failure_rate,Tracking during failure,rate,true,5,50,0.4470119114,0.8165616932,0.3695497818,0.1130452925,0.6701673947,3000,20260717
connectivity_during_failure,Connectivity during failure,rate,true,5,50,0.2149470944,0.3120690899,0.09712199547,0.009034044446,0.1978913277,3000,20260717
chain_closed_during_failure_rate,Chain closure during failure,rate,true,5,50,0.07400793651,0.1441435786,0.07013564214,0.01692857143,0.1320352633,3000,20260717
steps,Episode length,steps,false,5,50,157.28,67.32,-89.96,-164.3895,-27.236,3000,20260717
