seed,window,metric,utr_equal_group_mean,drtp_equal_group_mean,paired_drtp_minus_utr,note
3602,500k,reward_per_step,0.2312042393048375,0.2443752461338469,0.013171006829009402,six failure groups weighted equally; training episodes are descriptive technical repetitions
3602,500k,progress_per_step,3.3021931315352577e-05,0.0014846271197900991,0.0014516051884747466,six failure groups weighted equally; training episodes are descriptive technical repetitions
3602,500k,attack_window_per_step,0.01047051699168988,0.01689705551262154,0.00642653852093166,six failure groups weighted equally; training episodes are descriptive technical repetitions
3602,500k,connectivity_per_step,0.02390876691714497,0.022693327725072085,-0.001215439192072884,six failure groups weighted equally; training episodes are descriptive technical repetitions
3602,500k,message_age_penalty_per_step,-0.02105711022551365,-0.024010755357402633,-0.0029536451318889836,six failure groups weighted equally; training episodes are descriptive technical repetitions
3602,500k,timeout,0.9878194727878272,0.9704492110016942,-0.01737026178613299,six failure groups weighted equally; training episodes are descriptive technical repetitions
3602,500k,collision,0.005929958461604031,0.005002128565346956,-0.0009278298962570753,six failure groups weighted equally; training episodes are descriptive technical repetitions
3602,500k,success,0.006250568750568751,0.02454866043295885,0.018298091682390098,six failure groups weighted equally; training episodes are descriptive technical repetitions
3602,750k,reward_per_step,0.2921088579995872,0.1952036592087004,-0.0969051987908868,six failure groups weighted equally; training episodes are descriptive technical repetitions
3602,750k,progress_per_step,0.001524972166015026,-0.0012559550100250479,-0.002780927176040074,six failure groups weighted equally; training episodes are descriptive technical repetitions
3602,750k,attack_window_per_step,0.02228673988410965,0.014103444562261931,-0.008183295321847719,six failure groups weighted equally; training episodes are descriptive technical repetitions
3602,750k,connectivity_per_step,0.023741990297439095,0.02267016872479279,-0.001071821572646306,six failure groups weighted equally; training episodes are descriptive technical repetitions
3602,750k,message_age_penalty_per_step,-0.022634593294939026,-0.022762456757275184,-0.00012786346233615783,six failure groups weighted equally; training episodes are descriptive technical repetitions
3602,750k,timeout,0.9874184816429153,0.9561603701076217,-0.031258111535293676,six failure groups weighted equally; training episodes are descriptive technical repetitions
3602,750k,collision,0.00625236662470705,0.0035714285714285713,-0.0026809380532784783,six failure groups weighted equally; training episodes are descriptive technical repetitions
3602,750k,success,0.006329151732377539,0.04026820132094975,0.03393904958857221,six failure groups weighted equally; training episodes are descriptive technical repetitions
3602,1m,reward_per_step,0.3575385515414308,0.29994302938726397,-0.057595522154166856,six failure groups weighted equally; training episodes are descriptive technical repetitions
3602,1m,progress_per_step,0.004212859700433881,0.0039372185034459205,-0.00027564119698796075,six failure groups weighted equally; training episodes are descriptive technical repetitions
3602,1m,attack_window_per_step,0.0300649362513508,0.02095953069250708,-0.009105405558843722,six failure groups weighted equally; training episodes are descriptive technical repetitions
3602,1m,connectivity_per_step,0.02923827914306237,0.025495948599543395,-0.003742330543518975,six failure groups weighted equally; training episodes are descriptive technical repetitions
3602,1m,message_age_penalty_per_step,-0.021036783090103917,-0.022863827922668556,-0.0018270448325646386,six failure groups weighted equally; training episodes are descriptive technical repetitions
3602,1m,timeout,0.9556174138620893,0.9381131775832863,-0.017504236278803043,six failure groups weighted equally; training episodes are descriptive technical repetitions
3602,1m,collision,0.00684931506849315,0.014090830666917624,0.007241515598424474,six failure groups weighted equally; training episodes are descriptive technical repetitions
3602,1m,success,0.033517775982493836,0.04171960286090721,0.008201826878413372,six failure groups weighted equally; training episodes are descriptive technical repetitions
3603,250k,reward_per_step,0.055599409912338006,0.052597537190813774,-0.003001872721524232,six failure groups weighted equally; training episodes are descriptive technical repetitions
3603,250k,progress_per_step,-0.010227564447879069,-0.013662446951155018,-0.003434882503275949,six failure groups weighted equally; training episodes are descriptive technical repetitions
3603,250k,attack_window_per_step,0.004292991689561522,0.0026287862616061228,-0.0016642054279553992,six failure groups weighted equally; training episodes are descriptive technical repetitions
3603,250k,connectivity_per_step,0.017047923504486324,0.016643840889523136,-0.00040408261496318806,six failure groups weighted equally; training episodes are descriptive technical repetitions
3603,250k,message_age_penalty_per_step,-0.026078689035142766,-0.026681104618783497,-0.0006024155836407315,six failure groups weighted equally; training episodes are descriptive technical repetitions
3603,250k,timeout,0.9847056113766678,0.9966386554621849,0.011933044085517097,six failure groups weighted equally; training episodes are descriptive technical repetitions
3603,250k,collision,0.006602788526503286,0.0,-0.006602788526503286,six failure groups weighted equally; training episodes are descriptive technical repetitions
3603,250k,success,0.008691600096828856,0.003361344537815126,-0.00533025555901373,six failure groups weighted equally; training episodes are descriptive technical repetitions
3603,500k,reward_per_step,0.2473869894428428,0.24332220186164108,-0.004064787581201712,six failure groups weighted equally; training episodes are descriptive technical repetitions
3603,500k,progress_per_step,0.001013960060743466,-0.001053245644080907,-0.0020672057048243733,six failure groups weighted equally; training episodes are descriptive technical repetitions
3603,500k,attack_window_per_step,0.018500670429879046,0.027117111363817333,0.008616440933938287,six failure groups weighted equally; training episodes are descriptive technical repetitions
3603,500k,connectivity_per_step,0.024884918345753296,0.01764986443718861,-0.007235053908564687,six failure groups weighted equally; training episodes are descriptive technical repetitions
3603,500k,message_age_penalty_per_step,-0.021109101359042027,-0.023414093379065054,-0.002304992020023027,six failure groups weighted equally; training episodes are descriptive technical repetitions
3603,500k,timeout,0.9831236981920118,0.9716646499979982,-0.011459048194013666,six failure groups weighted equally; training episodes are descriptive technical repetitions
3603,500k,collision,0.009834048286861354,0.01351807509548819,0.0036840268086268356,six failure groups weighted equally; training episodes are descriptive technical repetitions
3603,500k,success,0.007042253521126761,0.01481727490651367,0.007775021385386909,six failure groups weighted equally; training episodes are descriptive technical repetitions
3603,750k,reward_per_step,0.338726433615734,0.3873024693913991,0.048576035775665105,six failure groups weighted equally; training episodes are descriptive technical repetitions
3603,750k,progress_per_step,0.0004475021879461125,0.0023643146692665013,0.0019168124813203889,six failure groups weighted equally; training episodes are descriptive technical repetitions
3603,750k,attack_window_per_step,0.038503475845730134,0.04570936866862003,0.007205892822889894,six failure groups weighted equally; training episodes are descriptive technical repetitions
3603,750k,connectivity_per_step,0.02065409710210497,0.02202550872718446,0.001371411625079491,six failure groups weighted equally; training episodes are descriptive technical repetitions
3603,750k,message_age_penalty_per_step,-0.02140348995073604,-0.021514313103819047,-0.00011082315308300755,six failure groups weighted equally; training episodes are descriptive technical repetitions
3603,750k,timeout,0.9367430558104631,0.8805516732189879,-0.05619138259147527,six failure groups weighted equally; training episodes are descriptive technical repetitions
3603,750k,collision,0.016797587829996786,0.02528654085323276,0.008488953023235973,six failure groups weighted equally; training episodes are descriptive technical repetitions
3603,750k,success,0.04645935635954013,0.09416178592777945,0.04770242956823932,six failure groups weighted equally; training episodes are descriptive technical repetitions
3603,1m,reward_per_step,0.4225684905378391,0.48825265683444213,0.06568416629660301,six failure groups weighted equally; training episodes are descriptive technical repetitions
3603,1m,progress_per_step,0.0023581139313479374,0.0018347571718848408,-0.0005233567594630966,six failure groups weighted equally; training episodes are descriptive technical repetitions
3603,1m,attack_window_per_step,0.050261628202823226,0.06594739723799425,0.015685769035171028,six failure groups weighted equally; training episodes are descriptive technical repetitions
3603,1m,connectivity_per_step,0.02231385380877049,0.021503018426448185,-0.0008108353823223051,six failure groups weighted equally; training episodes are descriptive technical repetitions
3603,1m,message_age_penalty_per_step,-0.020775332685626473,-0.020775867601917623,-5.349162911505445e-07,six failure groups weighted equally; training episodes are descriptive technical repetitions
3603,1m,timeout,0.9099800579216968,0.8327583535713701,-0.07722170435032671,six failure groups weighted equally; training episodes are descriptive technical repetitions
3603,1m,collision,0.01895499538488493,0.01776164461163948,-0.0011933507732454496,six failure groups weighted equally; training episodes are descriptive technical repetitions
3603,1m,success,0.06440932669894153,0.1424349920322546,0.07802566533331307,six failure groups weighted equally; training episodes are descriptive technical repetitions
3604,250k,reward_per_step,0.022613425890750483,-0.002710839053404158,-0.025324264944154642,six failure groups weighted equally; training episodes are descriptive technical repetitions
3604,250k,progress_per_step,-0.015803038725049356,-0.01987464737556122,-0.004071608650511864,six failure groups weighted equally; training episodes are descriptive technical repetitions
3604,250k,attack_window_per_step,0.0030926767785093255,0.0034342579338915435,0.00034158115538221803,six failure groups weighted equally; training episodes are descriptive technical repetitions
3604,250k,connectivity_per_step,0.01915279349933759,0.01775762503709998,-0.0013951684622376115,six failure groups weighted equally; training episodes are descriptive technical repetitions
3604,250k,message_age_penalty_per_step,-0.024546674251031065,-0.025589434539310525,-0.0010427602882794595,six failure groups weighted equally; training episodes are descriptive technical repetitions
3604,250k,timeout,1.0,0.9946608946608947,-0.00533910533910531,six failure groups weighted equally; training episodes are descriptive technical repetitions
3604,250k,collision,0.0,0.0015873015873015875,0.0015873015873015875,six failure groups weighted equally; training episodes are descriptive technical repetitions
3604,250k,success,0.0,0.0037518037518037522,0.0037518037518037522,six failure groups weighted equally; training episodes are descriptive technical repetitions
3604,500k,reward_per_step,0.1749690797893313,0.22825405926075606,0.05328497947142477,six failure groups weighted equally; training episodes are descriptive technical repetitions
3604,500k,progress_per_step,-0.003044382632119315,-0.00298301694431451,6.136568780480516e-05,six failure groups weighted equally; training episodes are descriptive technical repetitions
3604,500k,attack_window_per_step,0.014909507068582703,0.017869931244804366,0.0029604241762216637,six failure groups weighted equally; training episodes are descriptive technical repetitions
3604,500k,connectivity_per_step,0.019887550668026503,0.020362026033251542,0.0004744753652250397,six failure groups weighted equally; training episodes are descriptive technical repetitions
3604,500k,message_age_penalty_per_step,-0.0231575949979924,-0.02041527834566197,0.002742316652330431,six failure groups weighted equally; training episodes are descriptive technical repetitions
3604,500k,timeout,0.9860666493020546,0.9772057684802403,-0.008860880821814243,six failure groups weighted equally; training episodes are descriptive technical repetitions
3604,500k,collision,0.004115226337448559,0.005674683666570076,0.0015594573291215167,six failure groups weighted equally; training episodes are descriptive technical repetitions
3604,500k,success,0.009818124360496814,0.017119547853189625,0.0073014234926928115,six failure groups weighted equally; training episodes are descriptive technical repetitions
3604,750k,reward_per_step,0.2734463826421858,0.3459204582524145,0.07247407561022873,six failure groups weighted equally; training episodes are descriptive technical repetitions
3604,750k,progress_per_step,-0.001076743557750732,-0.0009288203516633757,0.00014792320608735616,six failure groups weighted equally; training episodes are descriptive technical repetitions
3604,750k,attack_window_per_step,0.018820994742013132,0.03958711540159506,0.02076612065958193,six failure groups weighted equally; training episodes are descriptive technical repetitions
3604,750k,connectivity_per_step,0.023871204620954434,0.020182040910267318,-0.0036891637106871156,six failure groups weighted equally; training episodes are descriptive technical repetitions
3604,750k,message_age_penalty_per_step,-0.021147122619577147,-0.02075280121357493,0.0003943214060022175,six failure groups weighted equally; training episodes are descriptive technical repetitions
3604,750k,timeout,0.9834715429259931,0.9492830839552254,-0.03418845897076772,six failure groups weighted equally; training episodes are descriptive technical repetitions
3604,750k,collision,0.0,0.012466173524031824,0.012466173524031824,six failure groups weighted equally; training episodes are descriptive technical repetitions
3604,750k,success,0.016528457074007047,0.0382507425207428,0.021722285446735753,six failure groups weighted equally; training episodes are descriptive technical repetitions
3604,1m,reward_per_step,0.339150749403474,0.4040113725325621,0.06486062312908808,six failure groups weighted equally; training episodes are descriptive technical repetitions
3604,1m,progress_per_step,0.00383775555210642,-0.003503675232875951,-0.007341430784982371,six failure groups weighted equally; training episodes are descriptive technical repetitions
3604,1m,attack_window_per_step,0.02677311920662764,0.05496880582205924,0.028195686615431603,six failure groups weighted equally; training episodes are descriptive technical repetitions
3604,1m,connectivity_per_step,0.027455739787475012,0.018091971506462013,-0.009363768281012999,six failure groups weighted equally; training episodes are descriptive technical repetitions
3604,1m,message_age_penalty_per_step,-0.022200104492560102,-0.022018205267857287,0.00018189922470281464,six failure groups weighted equally; training episodes are descriptive technical repetitions
3604,1m,timeout,0.9684150927112958,0.8730216412293069,-0.09539345148198886,six failure groups weighted equally; training episodes are descriptive technical repetitions
3604,1m,collision,0.010166354994545738,0.011551414993515604,0.0013850599989698661,six failure groups weighted equally; training episodes are descriptive technical repetitions
3604,1m,success,0.016995061228446382,0.113098542127893,0.09610348089944662,six failure groups weighted equally; training episodes are descriptive technical repetitions
3605,250k,reward_per_step,0.0039029942583836664,-0.02362355256373411,-0.027526546822117776,six failure groups weighted equally; training episodes are descriptive technical repetitions
3605,250k,progress_per_step,-0.021526269276750803,-0.02291129183515977,-0.001385022558408968,six failure groups weighted equally; training episodes are descriptive technical repetitions
3605,250k,attack_window_per_step,0.004625167212854627,0.0031714800217673782,-0.0014536871910872484,six failure groups weighted equally; training episodes are descriptive technical repetitions
3605,250k,connectivity_per_step,0.016121408493372676,0.01756389224057612,0.0014424837472034428,six failure groups weighted equally; training episodes are descriptive technical repetitions
3605,250k,message_age_penalty_per_step,-0.02631251276558377,-0.02560895321843415,0.0007035595471496202,six failure groups weighted equally; training episodes are descriptive technical repetitions
3605,250k,timeout,0.9883431109325903,0.9926032354193274,0.004260124486737071,six failure groups weighted equally; training episodes are descriptive technical repetitions
3605,250k,collision,0.009864774372069037,0.004523201362281822,-0.005341573009787215,six failure groups weighted equally; training episodes are descriptive technical repetitions
3605,250k,success,0.001792114695340502,0.0028735632183908046,0.0010814485230503026,six failure groups weighted equally; training episodes are descriptive technical repetitions
3605,500k,reward_per_step,0.16441802791550095,0.19320464525113032,0.028786617335629372,six failure groups weighted equally; training episodes are descriptive technical repetitions
