seed,window,metric,utr_failure_minus_nominal,drtp_failure_minus_nominal,paired_drtp_minus_utr_contrast,independent_unit
3601,250k,mean_value_residual_rmse,0.0014423278270576656,0.07487088995760838,0.07342856213055071,training_seed
3601,250k,mean_td_residual_abs_q90,0.005619043280158581,0.04861197022193428,0.0429929269417757,training_seed
3601,250k,mean_normalized_advantage,-0.13170462115577536,-0.06806833944848613,0.06363628170728923,training_seed
3601,250k,mean_actor_gradient_norm,0.16415341984123577,0.22154952369142045,0.05739610385018468,training_seed
3601,250k,mean_critic_gradient_norm,1.3261806550510222,1.5623816694849824,0.23620101443396013,training_seed
3601,500k,mean_value_residual_rmse,-0.07381053005626637,-0.02176325202846008,0.05204727802780629,training_seed
3601,500k,mean_td_residual_abs_q90,0.03154294693938156,0.05328318311874031,0.021740236179358746,training_seed
3601,500k,mean_normalized_advantage,0.08450324664080905,-0.13793221025066094,-0.22243545689146998,training_seed
3601,500k,mean_actor_gradient_norm,0.18792695864613385,0.1584094160311697,-0.029517542614964143,training_seed
3601,500k,mean_critic_gradient_norm,0.34068139579478185,0.5429940142764496,0.2023126184816677,training_seed
3601,750k,mean_value_residual_rmse,0.07827031086392988,-0.2169603882647948,-0.2952306991287247,training_seed
3601,750k,mean_td_residual_abs_q90,0.01121006345659703,-0.21521829265863296,-0.22642835611523,training_seed
3601,750k,mean_normalized_advantage,-0.12053902728438483,-0.14187175541772676,-0.02133272813334193,training_seed
3601,750k,mean_actor_gradient_norm,0.24890624660727872,0.20443504174583482,-0.0444712048614439,training_seed
3601,750k,mean_critic_gradient_norm,2.074010602010641,2.0624472924978203,-0.011563309512820474,training_seed
3601,1m,mean_value_residual_rmse,-0.24513806803534977,-0.0403287202479683,0.20480934778738147,training_seed
3601,1m,mean_td_residual_abs_q90,0.010928095905357205,0.12892881804823741,0.11800072214288021,training_seed
3601,1m,mean_normalized_advantage,-0.11792548842615627,-0.05926022261078416,0.05866526581537211,training_seed
3601,1m,mean_actor_gradient_norm,0.19396434715933697,0.1334822143888003,-0.060482132770536656,training_seed
3601,1m,mean_critic_gradient_norm,0.9067851841624268,2.849414891106127,1.9426297069437002,training_seed
3602,250k,mean_value_residual_rmse,-0.022675327714764437,-0.07729762534182227,-0.054622297627057836,training_seed
3602,250k,mean_td_residual_abs_q90,-0.018393922231691395,0.050101356985904844,0.06849527921759624,training_seed
3602,250k,mean_normalized_advantage,-0.2341392255265151,-0.21586595326543317,0.018273272261081913,training_seed
3602,250k,mean_actor_gradient_norm,0.1769877948055506,0.1543801331037301,-0.02260766170182049,training_seed
3602,250k,mean_critic_gradient_norm,1.2291188511018696,0.005257204528527737,-1.2238616465733418,training_seed
3602,500k,mean_value_residual_rmse,-0.02776987223626204,0.14344699701909347,0.1712168692553555,training_seed
3602,500k,mean_td_residual_abs_q90,0.053645323363757075,0.15324767712247575,0.09960235375871868,training_seed
3602,500k,mean_normalized_advantage,-0.14320684220768515,-0.21434341367062826,-0.07113657146294311,training_seed
3602,500k,mean_actor_gradient_norm,0.143208144390231,0.2127813831573414,0.06957323876711041,training_seed
3602,500k,mean_critic_gradient_norm,0.5820221191125761,3.1192473516850265,2.5372252325724505,training_seed
3602,750k,mean_value_residual_rmse,-0.004078663391826498,-0.012979684315313822,-0.008901020923487324,training_seed
3602,750k,mean_td_residual_abs_q90,0.03745063831572895,0.041692494430902394,0.004241856115173442,training_seed
3602,750k,mean_normalized_advantage,-0.1394091144681821,-0.2302698066279143,-0.09086069215973219,training_seed
3602,750k,mean_actor_gradient_norm,0.20187980634018693,0.15722756459286258,-0.04465224174732435,training_seed
3602,750k,mean_critic_gradient_norm,1.5095266764760114,2.242311435882489,0.7327847594064778,training_seed
3602,1m,mean_value_residual_rmse,0.14071850702058586,-0.1870584105378399,-0.32777691755842575,training_seed
3602,1m,mean_td_residual_abs_q90,0.08432778255257684,-0.08022989087913973,-0.16455767343171657,training_seed
3602,1m,mean_normalized_advantage,-0.15344171360397754,-0.0390379955419945,0.11440371806198305,training_seed
3602,1m,mean_actor_gradient_norm,0.23955785599175217,0.13812291929444354,-0.10143493669730863,training_seed
3602,1m,mean_critic_gradient_norm,5.050831477882513,0.7378504013320519,-4.312981076550461,training_seed
3603,250k,mean_value_residual_rmse,0.0850241139783946,-0.00041106376411981227,-0.08543517774251441,training_seed
3603,250k,mean_td_residual_abs_q90,0.04867003145758447,0.05970666357202101,0.011036632114436534,training_seed
3603,250k,mean_normalized_advantage,-0.12317215534415217,-0.2656446354705534,-0.14247248012640124,training_seed
3603,250k,mean_actor_gradient_norm,0.15392656176698527,0.18740863792278534,0.03348207615580007,training_seed
3603,250k,mean_critic_gradient_norm,1.5007534842407053,0.9330368784555221,-0.5677166057851832,training_seed
3603,500k,mean_value_residual_rmse,-0.14875384342316578,0.20983740465560619,0.35859124807877196,training_seed
3603,500k,mean_td_residual_abs_q90,-0.11456249884783926,0.055398475982910755,0.16996097483075,training_seed
3603,500k,mean_normalized_advantage,0.040675583406186634,-0.06183256995599674,-0.10250815336218337,training_seed
3603,500k,mean_actor_gradient_norm,0.12935664389323492,0.16449650623106815,0.03513986233783323,training_seed
3603,500k,mean_critic_gradient_norm,0.5772179660218635,3.3486127612210526,2.771394795199189,training_seed
3603,750k,mean_value_residual_rmse,-0.005146760903288028,-0.11069742126404325,-0.10555066036075522,training_seed
3603,750k,mean_td_residual_abs_q90,0.19830298372383864,0.12083189274350592,-0.07747109098033272,training_seed
3603,750k,mean_normalized_advantage,-0.10552203330166637,0.038287432922257975,0.14380946622392435,training_seed
3603,750k,mean_actor_gradient_norm,0.09590166771640407,0.13848483388735183,0.04258316617094776,training_seed
3603,750k,mean_critic_gradient_norm,0.7093211138700042,1.5815031494945515,0.8721820356245473,training_seed
3603,1m,mean_value_residual_rmse,0.17711528001201748,-0.05254950032613359,-0.22966478033815108,training_seed
3603,1m,mean_td_residual_abs_q90,0.1826731913073667,-0.07669918027382994,-0.25937237158119664,training_seed
3603,1m,mean_normalized_advantage,-0.1264000655221466,-0.07781108897074515,0.04858897655140146,training_seed
3603,1m,mean_actor_gradient_norm,0.1539776236831707,0.16789967865710376,0.013922054973933062,training_seed
3603,1m,mean_critic_gradient_norm,5.337473211937029,3.7609713605030226,-1.5765018514340063,training_seed
