seed,window,metric,utr,drtp,paired_drtp_minus_utr,independent_unit
3601,250k,mean_nominal_failure_actor_conflict_fraction,0.5641234496497655,0.4749455337690632,-0.08917791588070229,training_seed
3601,250k,mean_nominal_failure_critic_conflict_fraction,0.40066191118822697,0.4048274280472422,0.004165516859015228,training_seed
3601,500k,mean_nominal_failure_actor_conflict_fraction,0.4891788294265074,0.4861742424242424,-0.0030045870022650245,training_seed
3601,500k,mean_nominal_failure_critic_conflict_fraction,0.5094722099366062,0.5369949494949494,0.027522739558343168,training_seed
3601,750k,mean_nominal_failure_actor_conflict_fraction,0.49447751322751327,0.5146076146076146,0.02013010138010135,training_seed
3601,750k,mean_nominal_failure_critic_conflict_fraction,0.3653769841269841,0.4947940947940948,0.1294171106671107,training_seed
3601,1m,mean_nominal_failure_actor_conflict_fraction,0.5013828763828764,0.5386363636363637,0.037253487253487316,training_seed
3601,1m,mean_nominal_failure_critic_conflict_fraction,0.5209385521885522,0.41874999999999996,-0.10218855218855227,training_seed
3602,250k,mean_nominal_failure_actor_conflict_fraction,0.4545787545787546,0.5571127946127946,0.10253404003404004,training_seed
3602,250k,mean_nominal_failure_critic_conflict_fraction,0.378423890923891,0.32247474747474747,-0.055949143449143535,training_seed
3602,500k,mean_nominal_failure_actor_conflict_fraction,0.48477906956167827,0.5570436507936508,0.07226458123197255,training_seed
3602,500k,mean_nominal_failure_critic_conflict_fraction,0.4698996655518395,0.6121031746031745,0.14220350905133505,training_seed
3602,750k,mean_nominal_failure_actor_conflict_fraction,0.5496180290297937,0.5083333333333334,-0.041284695696460316,training_seed
3602,750k,mean_nominal_failure_critic_conflict_fraction,0.4349819978496449,0.523931623931624,0.08894962608197904,training_seed
3602,1m,mean_nominal_failure_actor_conflict_fraction,0.511983082706767,0.5694444444444445,0.057461361737677574,training_seed
3602,1m,mean_nominal_failure_critic_conflict_fraction,0.5045426065162907,0.3541666666666667,-0.150375939849624,training_seed
3603,250k,mean_nominal_failure_actor_conflict_fraction,0.5624786433609963,0.5589225589225589,-0.003556084438437357,training_seed
3603,250k,mean_nominal_failure_critic_conflict_fraction,0.38300153006035353,0.42205387205387207,0.039052341993518536,training_seed
3603,500k,mean_nominal_failure_actor_conflict_fraction,0.5037978740024776,0.5265873015873016,0.02278942758482405,training_seed
3603,500k,mean_nominal_failure_critic_conflict_fraction,0.4677926506571008,0.4523199023199023,-0.015472748337198472,training_seed
3603,750k,mean_nominal_failure_actor_conflict_fraction,0.5100373482726425,0.4735516934046345,-0.03648565486800798,training_seed
3603,750k,mean_nominal_failure_critic_conflict_fraction,0.44626517273576094,0.4546989502871856,0.00843377755142466,training_seed
3603,1m,mean_nominal_failure_actor_conflict_fraction,0.4582880082880083,0.5030525030525029,0.04476449476449462,training_seed
3603,1m,mean_nominal_failure_critic_conflict_fraction,0.5270914270914271,0.512277845611179,-0.01481358148024814,training_seed
3604,250k,mean_nominal_failure_actor_conflict_fraction,0.58499740999741,0.48485257432625856,-0.10014483567115146,training_seed
3604,250k,mean_nominal_failure_critic_conflict_fraction,0.3977984977984978,0.2946754999386579,-0.10312299785983992,training_seed
3604,500k,mean_nominal_failure_actor_conflict_fraction,0.39190564552406654,0.4317460317460318,0.039840386221965285,training_seed
3604,500k,mean_nominal_failure_critic_conflict_fraction,0.4447004262793736,0.4273809523809524,-0.0173194738984212,training_seed
3604,750k,mean_nominal_failure_actor_conflict_fraction,0.46243686868686873,0.38394362342638205,-0.07849324526048668,training_seed
3604,750k,mean_nominal_failure_critic_conflict_fraction,0.43623737373737376,0.5032649151614669,0.06702754142409312,training_seed
3604,1m,mean_nominal_failure_actor_conflict_fraction,0.4189950980392157,0.5130507978334065,0.09405569979419076,training_seed
3604,1m,mean_nominal_failure_critic_conflict_fraction,0.5175789760348585,0.5337926365100277,0.016213660475169256,training_seed
3605,250k,mean_nominal_failure_actor_conflict_fraction,0.4841855407072799,0.4408264227957322,-0.04335911791154773,training_seed
3605,250k,mean_nominal_failure_critic_conflict_fraction,0.34585450781102955,0.4891325875980608,0.14327807978703122,training_seed
3605,500k,mean_nominal_failure_actor_conflict_fraction,0.45674756615933093,0.4852110852110852,0.02846351905175426,training_seed
3605,500k,mean_nominal_failure_critic_conflict_fraction,0.4368325791855203,0.4799740999741,0.04314152078857969,training_seed
3605,750k,mean_nominal_failure_actor_conflict_fraction,0.5273809523809524,0.486492673992674,-0.04088827838827841,training_seed
3605,750k,mean_nominal_failure_critic_conflict_fraction,0.46428571428571425,0.468050468050468,0.00376475376475377,training_seed
3605,1m,mean_nominal_failure_actor_conflict_fraction,0.47888386123680243,0.5167843852054378,0.03790052396863536,training_seed
3605,1m,mean_nominal_failure_critic_conflict_fraction,0.4247276688453159,0.5827556580846055,0.15802798923928962,training_seed
