epoch,loss,action_accuracy,attacker_action_accuracy,support_action_accuracy,samples,demo_success_rate,balanced_loss,geometric_policy_mode,attacker_action_weight
1,2.209658906227205,0.312280701754386,0.21393895698149484,0.3614515741408315,20805,0.9083333611488342,1,offset,2.0
2,1.918151153296959,0.3998878474725627,0.31213650564768086,0.4437635183850036,20805,0.9083333611488342,1,offset,2.0
3,1.7106327472663507,0.4236161179203717,0.3517904349915886,0.4595289593847633,20805,0.9083333611488342,1,offset,2.0
4,1.6075220442399747,0.4199791716734759,0.3664023071377073,0.4467676039413602,20805,0.9083333611488342,1,offset,2.0
5,1.514288290244777,0.43007289914283425,0.3741888968997837,0.45801490026435954,20805,0.9083333611488342,1,offset,2.0
6,1.4348234279853542,0.42478570856364656,0.38654169670752225,0.44390771449170874,20805,0.9083333611488342,1,offset,2.0
7,1.3431690756867571,0.44646318993831613,0.40624849795722184,0.4665705359288633,20805,0.9083333611488342,1,offset,2.0
8,1.2559611462965243,0.44923495954498116,0.40951694304253783,0.4690939677962028,20805,0.9083333611488342,1,offset,2.0
9,1.210487985756339,0.46061043018505166,0.4144676760394136,0.4836818072578707,20805,0.9083333611488342,1,offset,2.0
10,1.1692163784329483,0.460882800608828,0.4136986301369863,0.48447488584474885,20805,0.9083333611488342,1,offset,2.0
11,1.138041128472584,0.46344628695025236,0.4212448930545542,0.4845469838981014,20805,0.9083333611488342,1,offset,2.0
12,1.106445583628445,0.47161739966354244,0.4169670752223023,0.49894256188416247,20805,0.9083333611488342,1,offset,2.0
13,1.0745865840737412,0.48470720179444043,0.4462388848834415,0.50394136024994,20805,0.9083333611488342,1,offset,2.0
14,1.0307593978032834,0.49571417127293116,0.4486902186974285,0.5192261475606825,20805,0.9083333611488342,1,offset,2.0
15,1.0065193488830473,0.4994953136265321,0.4570535928863254,0.5207161739966354,20805,0.9083333611488342,1,offset,2.0
16,0.9768924327885232,0.5046863734679163,0.4639750060081711,0.525042057197789,20805,0.9083333611488342,1,offset,2.0
17,0.9492726616743135,0.5071377072819034,0.46133141071857725,0.5300408555635665,20805,0.9083333611488342,1,offset,2.0
18,0.9375302936972641,0.5033084995594008,0.4614756068252824,0.52422494592646,20805,0.9083333611488342,1,offset,2.0
19,0.908892489061123,0.5107105663702636,0.4653689017063206,0.533381398702235,20805,0.9083333611488342,1,offset,2.0
20,0.8989374405000268,0.5106625010013619,0.4777217015140591,0.5271329007450132,20805,0.9083333611488342,1,offset,2.0
