arm,first_update_exclusive,last_update_inclusive,max,mean,metric,min,n_updates,seed,seed_class,source_contract,std,window
utr_sg,0,977,1.7333930134773254,0.15133032343753575,loss,-0.028977992478758097,977,1901,strong,strict,0.20343222565582939,0_0.25M
utr_sg,0,977,0.0033938050037249923,-0.0020023499411083306,policy_loss,-0.008884742079923513,977,1901,strong,strict,0.0016494180453556172,0_0.25M
utr_sg,0,977,3.533989191055298,0.35722562319221607,value_loss,0.009221455082297325,977,1901,strong,strict,0.40529554216656616,0_0.25M
utr_sg,0,977,3.2907111644744873,2.5280138694642145,entropy,1.2640764713287354,977,1901,strong,strict,0.3741069752468777,0_0.25M
utr_sg,0,977,0.011377672373782843,0.0011818807549591648,approx_kl,4.7766196985321585e-05,977,1901,strong,strict,0.0012814352295232923,0_0.25M
utr_sg,0,977,0.1630859449505806,0.008983309065930006,clip_fraction,0.0,977,1901,strong,strict,0.01870148609089489,0_0.25M
utr_sg,0,977,9.190607070922852,1.3785320150426674,grad_norm,0.15432093665003777,977,1901,strong,strict,1.202476687661736,0_0.25M
utr_sg,0,977,0.9855998009443283,0.7813146193201979,explained_variance,-0.04386603832244873,977,1901,strong,strict,0.18460989658186874,0_0.25M
utr_sg,0,977,0.1480100452899933,0.0038041474421363778,train_avg_reward,-0.12094848603010178,977,1901,strong,strict,0.053663812214900575,0_0.25M
utr_sg,977,1954,1.7683776915073395,0.2902560836324295,loss,-0.02766702836379409,977,1901,strong,strict,0.2531753935731923,0.25_0.5M
utr_sg,977,1954,0.003412027280621288,-0.0016894942702270481,policy_loss,-0.008005485093841913,977,1901,strong,strict,0.0014982464941288955,0.25_0.5M
utr_sg,977,1954,3.590481162071228,0.6354996164347462,value_loss,0.008530008606612682,977,1901,strong,strict,0.5041543414670565,0.25_0.5M
utr_sg,977,1954,3.0648083686828613,2.5804231223576877,entropy,1.8714092373847961,977,1901,strong,strict,0.1827362384449539,0.25_0.5M
utr_sg,977,1954,0.0048885627766139805,0.0005668050843469611,approx_kl,2.3069851067702984e-05,977,1901,strong,strict,0.0005369791003839968,0.25_0.5M
utr_sg,977,1954,0.06315104244276881,0.0021057233638335075,clip_fraction,0.0,977,1901,strong,strict,0.005618543536469817,0.25_0.5M
utr_sg,977,1954,9.770479917526245,1.8719027529460137,grad_norm,0.2764902040362358,977,1901,strong,strict,1.3456199009714187,0.25_0.5M
utr_sg,977,1954,0.9936034232378006,0.8555717118076804,explained_variance,-0.06046563386917114,977,1901,strong,strict,0.12565866720825275,0.25_0.5M
utr_sg,977,1954,0.22023235261440277,0.06443695839608082,train_avg_reward,-0.0478954017162323,977,1901,strong,strict,0.049392929603090024,0.25_0.5M
utr_sg,1954,3907,2.0237701535224915,0.22613751622576397,loss,-0.023889683187007904,1953,1901,strong,strict,0.2639893863956183,0.5_1M
utr_sg,1954,3907,0.003652011121934251,-0.0018380375166457527,policy_loss,-0.011049787901962649,1953,1901,strong,strict,0.0015983549971706188,0.5_1M
utr_sg,1954,3907,4.095912933349609,0.5065787787824827,value_loss,0.018587691243737936,1953,1901,strong,strict,0.5270193954577516,0.5_1M
utr_sg,1954,3907,3.121161103248596,2.531383629585008,entropy,1.440459281206131,1953,1901,strong,strict,0.26723965727054394,0.5_1M
utr_sg,1954,3907,0.013265625573694706,0.0008761011870507666,approx_kl,1.2484825447245385e-05,1953,1901,strong,strict,0.0009513792954726001,0.5_1M
utr_sg,1954,3907,0.1878255233168602,0.005126494916007032,clip_fraction,0.0,1953,1901,strong,strict,0.01280398839099276,0.5_1M
utr_sg,1954,3907,15.2370285987854,2.2256072814620675,grad_norm,0.2750686779618263,1953,1901,strong,strict,1.9763851530317575,0.5_1M
