method,metric,unit,n_recovered_episodes,mean,note
no_graph,recovered_only_recovery_steps,steps,24,5.25,Conditional on episodes that recovered; use capped_recovery_steps for a comparable recovery-time proxy.
multi_relation,recovered_only_recovery_steps,steps,76,5.565789474,Conditional on episodes that recovered; use capped_recovery_steps for a comparable recovery-time proxy.
