method,seed,phase,tau,records,direct_path_rate,relay_path_rate,any_information_path_rate,valid_target_information_rate,task_support_rate,attack_window_rate,cache_mean_age,path_switch_rate,timeout_rate,collision_rate
drtp_sg,2701,0-0.25M,0,962,0.02286902286902287,0.5124740124740125,0.5353430353430353,0.5353430353430353,0.02182952182952183,0.05405405405405406,13.910949410949412,0.4688149688149688,0.0,0.0
drtp_sg,2701,0-0.25M,20,962,0.002079002079002079,0.5301455301455301,0.5322245322245323,0.5322245322245323,0.002079002079002079,0.0031185031185031187,32.11815661815662,0.0031185031185031187,0.0,0.0
drtp_sg,2701,0-0.25M,60,960,0.005208333333333333,0.4864583333333333,0.49166666666666664,0.49166666666666664,0.00625,0.00625,53.0125,0.036458333333333336,0.0,0.0
drtp_sg,2701,0.25-0.50M,0,962,0.030145530145530147,0.5602910602910602,0.5904365904365905,0.5904365904365905,0.033264033264033266,0.079002079002079,13.112612612612613,0.4178794178794179,0.0,0.0
drtp_sg,2701,0.25-0.50M,20,962,0.02182952182952183,0.5904365904365905,0.6122661122661123,0.6122661122661123,0.012474012474012475,0.02079002079002079,30.64934164934165,0.007276507276507277,0.0,0.0
drtp_sg,2701,0.25-0.50M,60,964,0.04149377593360996,0.5269709543568465,0.5684647302904564,0.5684647302904564,0.03941908713692946,0.0508298755186722,49.97302904564315,0.04564315352697095,0.0,0.0
drtp_sg,2701,0.50-0.75M,0,971,0.2842430484037075,0.6385169927909372,0.9227600411946447,0.9227600411946447,0.26364572605561276,0.38928939237899074,6.967730861654652,0.15036045314109167,0.0,0.0
drtp_sg,2701,0.50-0.75M,20,969,0.32094943240454077,0.6181630546955624,0.9391124871001032,0.9391124871001032,0.2084623323013416,0.2837977296181631,21.038183694530442,0.07223942208462332,0.0,0.0
drtp_sg,2701,0.50-0.75M,60,965,0.3305699481865285,0.5098445595854922,0.8404145077720208,0.8404145077720208,0.32124352331606215,0.35958549222797925,36.02487046632125,0.11709844559585492,0.0,0.0
drtp_sg,2701,0.75-1.00M,0,973,0.4419321685508736,0.5416238437821171,0.9835560123329907,0.9835560123329907,0.38848920863309355,0.4306269270298047,4.330250085645769,0.08221993833504625,0.0,0.0
drtp_sg,2701,0.75-1.00M,20,967,0.4105480868665977,0.5801447776628749,0.9906928645294726,0.9906928645294726,0.21820062047569805,0.24301964839710444,14.237849017580144,0.0796277145811789,0.0,0.0
drtp_sg,2701,0.75-1.00M,60,963,0.5327102803738317,0.42471443406022846,0.9574247144340602,0.9574247144340602,0.514018691588785,0.5254413291796469,21.40152301834545,0.19418483904465214,0.0,0.0
drtp_sg,2702,0-0.25M,0,963,0.03946002076843198,0.6469366562824507,0.6863966770508827,0.6863966770508827,0.040498442367601244,0.08203530633437175,16.71581862236068,0.32398753894080995,0.0,0.0
drtp_sg,2702,0-0.25M,20,962,0.002079002079002079,0.7089397089397089,0.7110187110187111,0.7110187110187111,0.002079002079002079,0.002079002079002079,34.91233541233541,0.002079002079002079,0.0,0.0
drtp_sg,2702,0-0.25M,60,960,0.0,0.4479166666666667,0.4479166666666667,0.4479166666666667,0.0,0.0,70.89826388888888,0.04375,0.0,0.0
drtp_sg,2702,0.25-0.50M,0,961,0.11342351716961499,0.5150884495317378,0.6285119667013528,0.6285119667013528,0.09885535900104059,0.2695109261186264,19.18140825528963,0.40270551508844954,0.0,0.0
drtp_sg,2702,0.25-0.50M,20,962,0.07172557172557173,0.5644490644490644,0.6361746361746362,0.6361746361746362,0.02079002079002079,0.035343035343035345,37.65939015939016,0.010395010395010396,0.0,0.0
drtp_sg,2702,0.25-0.50M,60,964,0.014522821576763486,0.32468879668049794,0.3392116182572614,0.3392116182572614,0.007261410788381743,0.013485477178423237,67.02524204702628,0.01867219917012448,0.0,0.0
