seed,condition,delta_J_drtp_minus_utr,delta_timeout_drtp_minus_utr,delta_collision_drtp_minus_utr
2701,nominal,100.08953965599183,-0.36,0.01
2701,F0_44_80,80.76068310376724,-0.17000000000000004,0.01
2701,T28_28_80,95.50880689220443,-0.22999999999999998,0.03
2701,D120_44_120,75.83635697754565,-0.13,0.0
2701,C28_120,77.43878068322257,-0.18999999999999995,0.009999999999999998
2702,nominal,-108.53861816511491,0.24,-0.07
2702,F0_44_80,-89.85062441237736,0.19999999999999996,-0.13
2702,T28_28_80,-89.5855330571998,0.28,-0.13
2702,D120_44_120,-85.84283203278203,0.13,-0.11
2702,C28_120,-88.23060715187341,0.24,-0.14
2703,nominal,56.63078050396406,-0.16000000000000003,0.01
2703,F0_44_80,58.339057767600764,-0.1100000000000001,0.04
2703,T28_28_80,2.6094790147850233,-0.17000000000000004,0.049999999999999996
2703,D120_44_120,-1.0049909394280974,-0.16000000000000003,0.03
2703,C28_120,2.004296654523344,-0.12,0.030000000000000002
