method,metric,unit,n_recovered_episodes,mean,note
no_graph,recovered_only_recovery_steps,steps,23,5.217391304,Conditional on episodes that recovered; use capped_recovery_steps for a comparable recovery-time proxy.
multi_relation,recovered_only_recovery_steps,steps,59,6,Conditional on episodes that recovered; use capped_recovery_steps for a comparable recovery-time proxy.
