epoch,loss,action_accuracy,samples,demo_success_rate,balanced_loss
1,2.0218611326482563,0.46161193152597163,9074,1.0,0
2,1.4603459040323894,0.5431268826684299,9074,1.0,0
3,1.2778478662172954,0.597825288369701,9074,1.0,0
4,1.1926389502154455,0.6059069869958122,9074,1.0,0
5,1.1036446541547775,0.6537726838586437,9074,1.0,0
6,1.019170117047098,0.7111527441040335,9074,1.0,0
7,0.9095108293824725,0.7396590992579531,9074,1.0,0
8,0.8338310586081611,0.7479244728528396,9074,1.0,0
9,0.8077992449204127,0.7459040481963118,9074,1.0,0
10,0.7574393418100145,0.7602306957607817,9074,1.0,0
11,0.7236899005042182,0.771214458893542,9074,1.0,0
12,0.6681715150674185,0.7968187495408126,9074,1.0,0
13,0.6546399841705958,0.7972228344721182,9074,1.0,0
14,0.6522433575656679,0.7906840055837191,9074,1.0,0
15,0.6317219899760352,0.7942840349717141,9074,1.0,0
16,0.6006143258677589,0.8049004481669239,9074,1.0,0
17,0.6002819190422694,0.8023289986040703,9074,1.0,0
18,0.5938057402769724,0.802880023510396,9074,1.0,0
19,0.5669207382533286,0.8083535375798986,9074,1.0,0
20,0.5807511293225818,0.8003820439350525,9074,1.0,0
21,0.5571350480119387,0.8080963926236132,9074,1.0,0
22,0.572534028854635,0.8025861435603556,9074,1.0,0
23,0.5454031104842821,0.8087208875174491,9074,1.0,0
24,0.5323738149470754,0.8098229373301007,9074,1.0,0
25,0.5215209192699857,0.8117698919991183,9074,1.0,0
26,0.5200339199768172,0.8133494967305855,9074,1.0,0
27,0.5147741610805193,0.8140107266181765,9074,1.0,0
28,0.5179086708360248,0.8152964513996033,9074,1.0,0
29,0.5043500579065747,0.8227903901256337,9074,1.0,0
30,0.4803814962506294,0.8303210638454191,9074,1.0,0
31,0.47945918805069393,0.8296965689515833,9074,1.0,0
32,0.4862896311614249,0.8259495995885681,9074,1.0,0
33,0.47058183948198956,0.8318639335831313,9074,1.0,0
34,0.47149234927362865,0.8320843435456616,9074,1.0,0
35,0.45868729965554345,0.8356476379399016,9074,1.0,0
36,0.4819004535675049,0.828778194107707,9074,1.0,0
37,0.4576668366789818,0.8367864227463081,9074,1.0,0
38,0.45200032575262916,0.8373007126588788,9074,1.0,0
39,0.4469686167107688,0.8404231871280582,9074,1.0,0
40,0.4431937121682697,0.8403129821467931,9074,1.0,0
41,0.4435679308242268,0.8378517375652046,9074,1.0,0
42,0.4452483397391107,0.8384027624715303,9074,1.0,0
43,0.4458941842118899,0.8391374623466314,9074,1.0,0
44,0.4389618809024493,0.8405701271030784,9074,1.0,0
45,0.4391366524828805,0.8398354272279773,9074,1.0,0
46,0.44017712275187176,0.8405333921093233,9074,1.0,0
47,0.4363269300924407,0.8402395121592829,9074,1.0,0
48,0.4320222876138157,0.8425905517596062,9074,1.0,0
49,0.4351911246776581,0.8416354419219749,9074,1.0,0
50,0.4330715950992372,0.8414885019469547,9074,1.0,0
51,0.44234786017073524,0.8382925574902652,9074,1.0,0
52,0.42344002425670624,0.8443170964660937,9074,1.0,0
53,0.4213421626223458,0.8436558665785027,9074,1.0,0
54,0.4351770795053906,0.8383660274777753,9074,1.0,0
55,0.42865103152063155,0.8406068620968334,9074,1.0,0
56,0.42745140608814025,0.8414150319594446,9074,1.0,0
57,0.4263541069295671,0.8409742120343839,9074,1.0,0
58,0.4258589372038841,0.8409374770406289,9074,1.0,0
59,0.4169215328163571,0.8442803614723385,9074,1.0,0
60,0.4223024919629097,0.8426640217471163,9074,1.0,0
61,0.4207258141703076,0.8422966718095658,9074,1.0,0
62,0.41678646206855774,0.8437660715597678,9074,1.0,0
63,0.41356884357002044,0.84530894129748,9074,1.0,0
64,0.4235166120860312,0.8420395268532804,9074,1.0,0
65,0.4230169860853089,0.8415987069282198,9074,1.0,0
66,0.4139046495159467,0.8464477261038865,9074,1.0,0
67,0.42131735798385406,0.8435456615972375,9074,1.0,0
68,0.4208194447888268,0.8412680919844243,9074,1.0,0
69,0.4115132697754436,0.8442436264785835,9074,1.0,0
70,0.4137633600168758,0.8447579163911542,9074,1.0,0
71,0.40993378725316787,0.8466314010726618,9074,1.0,0
72,0.4220495886272854,0.842480346778341,9074,1.0,0
73,0.40235568583011627,0.8483212107853941,9074,1.0,0
74,0.4024639113081826,0.847513040922783,9074,1.0,0
75,0.41822295304801727,0.8415619719344648,9074,1.0,0
76,0.4013410798377461,0.8481008008228639,9074,1.0,0
77,0.40721072008212406,0.8471456909852325,9074,1.0,0
78,0.4033292979001999,0.8477701858790684,9074,1.0,0
79,0.40489425841304993,0.846778341047682,9074,1.0,0
80,0.3971477581395043,0.8502314304606569,9074,1.0,0
