epoch,loss,action_accuracy,attacker_action_accuracy,support_action_accuracy,samples,demo_success_rate,balanced_loss,geometric_policy_mode,attacker_action_weight
1,10.727465228030557,0.03955527047252512,0.05388069275176395,0.03239255933290571,4677,1.0,0,offset,4.0
2,7.034137525056538,0.09179673579930155,0.13149454778704298,0.07194782980543084,4677,1.0,0,offset,4.0
3,4.499848177558498,0.19371391917896089,0.2009835364549925,0.19007911054094506,4677,1.0,0,offset,4.0
4,3.214708265505339,0.27852612073266336,0.2251443232841565,0.3052170194569168,4677,1.0,0,offset,4.0
5,2.4461503154353093,0.3068206115031003,0.23818687192644858,0.3411374812914261,4677,1.0,0,offset,4.0
6,2.008471545420195,0.3104554201411161,0.24652555056660252,0.34242035492837286,4677,1.0,0,offset,4.0
7,1.8257118965450085,0.3419570950039199,0.300192431045542,0.36283942698310884,4677,1.0,0,offset,4.0
8,1.7441184897171824,0.35400185303969783,0.3228565319649348,0.3695745135770793,4677,1.0,0,offset,4.0
9,1.6755602736222117,0.36112892880051317,0.3333333333333333,0.37502672653410307,4677,1.0,0,offset,4.0
10,1.6379771797280562,0.36561898652982683,0.33910626469959376,0.37887534744494333,4677,1.0,0,offset,4.0
11,1.6001368070903577,0.37153445941130353,0.34338251015608295,0.3856104340389138,4677,1.0,0,offset,4.0
12,1.5655971012617413,0.3746703727460623,0.34979687834081674,0.3871071199486851,4677,1.0,0,offset,4.0
