method,metric,unit,n_recovered_episodes,mean,note
single,recovered_only_recovery_steps,steps,56,5.803571429,Conditional on episodes that recovered; use capped_recovery_steps for a comparable recovery-time proxy.
multi_relation,recovered_only_recovery_steps,steps,85,5.517647059,Conditional on episodes that recovered; use capped_recovery_steps for a comparable recovery-time proxy.
