method,label,recovery_mean,recovery_sd,tracking_mean,tracking_sd,chain_mean,chain_sd,timeout_mean,timeout_sd,collision_mean,collision_sd,seed_recovery
no_role_identity,w/o explicit role identity,0.568,0.364582,0.367543,0.324287,0.0869016,0.0574956,0.352,0.240666,0,0,"[0.40, 0.66, 0.02, 0.88, 0.88]"
full_multi,Full multi-relation,0.872,0.210048,0.764133,0.183224,0.129046,0.0311053,0.128,0.210048,0,0,"[0.50, 0.92, 0.98, 0.96, 1.00]"
