protocol,episode_id,condition,family,J,terminal_step,success,collision,timeout,constraint_violation,failure_exposed,alive_at_onset,failure_trigger_success,pre_trigger_collision,episode_length,traveled_distance,control_effort,direct_path_fraction_during_failure,relay_path_fraction_during_failure,task_support_fraction_during_failure,legal_information_fraction_during_failure,path_switch_count,method,training_contract,training_seed,checkpoint_sha256
G0-ZERO-SHOT-TOPOLOGY-EVALUATION-V1,950015,reference_nominal,reference,85.60717703215778,260,0,0,1,0,0,0,,0,260,163474.02029418945,814.0,0.0,0.0,0.0,0.0,13,UTR-SG-MAPPO,T1_clean_development_1M,2201,d374ce8eab4f51926839306de5076bf17fbbbe89a58716a546cd62d525ea8a69
G0-ZERO-SHOT-TOPOLOGY-EVALUATION-V1,950016,reference_nominal,reference,77.57310572080314,260,0,0,1,0,0,0,,0,260,163000.03067016602,775.0,0.0,0.0,0.0,0.0,17,UTR-SG-MAPPO,T1_clean_development_1M,2201,d374ce8eab4f51926839306de5076bf17fbbbe89a58716a546cd62d525ea8a69
G0-ZERO-SHOT-TOPOLOGY-EVALUATION-V1,950017,reference_nominal,reference,85.51574521139264,260,0,0,1,0,0,0,,0,260,163637.05340576172,843.0,0.0,0.0,0.0,0.0,15,UTR-SG-MAPPO,T1_clean_development_1M,2201,d374ce8eab4f51926839306de5076bf17fbbbe89a58716a546cd62d525ea8a69
G0-ZERO-SHOT-TOPOLOGY-EVALUATION-V1,950018,reference_nominal,reference,83.16834584996104,260,0,0,1,0,0,0,,0,260,163882.0717163086,749.0,0.0,0.0,0.0,0.0,15,UTR-SG-MAPPO,T1_clean_development_1M,2201,d374ce8eab4f51926839306de5076bf17fbbbe89a58716a546cd62d525ea8a69
G0-ZERO-SHOT-TOPOLOGY-EVALUATION-V1,950019,reference_nominal,reference,85.05292826518416,260,0,0,1,0,0,0,,0,260,163378.06491088867,788.0,0.0,0.0,0.0,0.0,25,UTR-SG-MAPPO,T1_clean_development_1M,2201,d374ce8eab4f51926839306de5076bf17fbbbe89a58716a546cd62d525ea8a69
G0-ZERO-SHOT-TOPOLOGY-EVALUATION-V1,950020,reference_nominal,reference,79.84669013507664,260,0,0,1,0,0,0,,0,260,163096.03170776367,791.0,0.0,0.0,0.0,0.0,17,UTR-SG-MAPPO,T1_clean_development_1M,2201,d374ce8eab4f51926839306de5076bf17fbbbe89a58716a546cd62d525ea8a69
G0-ZERO-SHOT-TOPOLOGY-EVALUATION-V1,950021,reference_nominal,reference,88.27805637381971,260,0,0,1,0,0,0,,0,260,163966.0666809082,734.0,0.0,0.0,0.0,0.0,15,UTR-SG-MAPPO,T1_clean_development_1M,2201,d374ce8eab4f51926839306de5076bf17fbbbe89a58716a546cd62d525ea8a69
G0-ZERO-SHOT-TOPOLOGY-EVALUATION-V1,950022,reference_nominal,reference,75.56662293896079,260,0,0,1,0,0,0,,0,260,163855.07025146484,742.0,0.0,0.0,0.0,0.0,15,UTR-SG-MAPPO,T1_clean_development_1M,2201,d374ce8eab4f51926839306de5076bf17fbbbe89a58716a546cd62d525ea8a69
G0-ZERO-SHOT-TOPOLOGY-EVALUATION-V1,950023,reference_nominal,reference,87.95117560960352,260,0,0,1,0,0,0,,0,260,162870.08193969727,795.0,0.0,0.0,0.0,0.0,21,UTR-SG-MAPPO,T1_clean_development_1M,2201,d374ce8eab4f51926839306de5076bf17fbbbe89a58716a546cd62d525ea8a69
G0-ZERO-SHOT-TOPOLOGY-EVALUATION-V1,950024,reference_nominal,reference,82.06642723921686,260,0,0,1,0,0,0,,0,260,163352.0315246582,785.0,0.0,0.0,0.0,0.0,21,UTR-SG-MAPPO,T1_clean_development_1M,2201,d374ce8eab4f51926839306de5076bf17fbbbe89a58716a546cd62d525ea8a69
