failure_exposure_all_episodes,control_effort,episodes,task_support_fraction,relay_path_fraction,J,survival_to_onset_fraction,trigger_success_among_risk_set,collision,pre_trigger_collision,episode_length,traveled_distance,direct_path_fraction,timeout,legal_information_fraction,constraint_violation,path_switch_count,method,training_contract,condition,family,training_seeds,J_seed_sd
0.9866666666666667,901.9066666666666,50.0,0.5832499999999999,0.31699999999999995,198.9502274516027,0.9866666666666667,1.0,0.013333333333333334,0.013333333333333334,257.04,145035.6424790446,0.0,0.6666666666666666,0.9814166666666666,0.0,4.853333333333333,DRTP-SG-MAPPO,heldout_v2_10M_historical_FAIL,U1_scout_node_failure,structural_ood,3,41.86371552553291
0.0,875.7999999999998,50.0,0.0,0.0,202.3768339681408,0.0,nan,0.013333333333333334,0.0,257.04,145093.47008341472,0.0,0.7666666666666666,0.0,0.0,7.546666666666667,DRTP-SG-MAPPO,heldout_v2_10M_historical_FAIL,U2_static_symmetric_direct_prune,structural_ood,3,49.82750881883214
0.0,893.5266666666666,50.0,0.0,0.0,209.2364531264237,0.0,nan,0.013333333333333334,0.0,257.04,146279.00616536458,0.0,0.7533333333333333,0.0,0.0,7.6866666666666665,DRTP-SG-MAPPO,heldout_v2_10M_historical_FAIL,U3_static_directed_scout_to_attacker_prune,structural_ood,3,51.061694738254864
0.9866666666666667,889.3866666666667,50.0,0.5979166666666667,0.309,187.16325332227746,0.9866666666666667,1.0,0.013333333333333334,0.013333333333333334,257.04,144641.38031717934,0.0,0.7333333333333334,0.9814166666666666,0.0,3.206666666666667,DRTP-SG-MAPPO,heldout_v2_10M_historical_FAIL,U4_scout_failure_symmetric_direct_prune,structural_ood,3,45.69353600816222
0.9866666666666667,910.6066666666666,50.0,0.5896666666666667,0.0,171.8567591250874,0.9866666666666667,1.0,0.013333333333333334,0.013333333333333334,257.04,145067.60240763347,0.12474999999999999,0.7066666666666667,0.7676666666666666,0.0,3.186666666666666,DRTP-SG-MAPPO,heldout_v2_10M_historical_FAIL,U5_relay_failure_directed_direct_prune,structural_ood,3,82.52599024165609
0.9866666666666667,901.0733333333334,50.0,0.5896666666666667,0.0,165.03782215438744,0.9866666666666667,1.0,0.013333333333333334,0.013333333333333334,257.04,144470.91525980632,0.12466666666666666,0.7266666666666667,0.7676666666666666,0.0,3.1999999999999997,DRTP-SG-MAPPO,heldout_v2_10M_historical_FAIL,U6_relay_failure_symmetric_direct_prune,structural_ood_diagnostic,3,80.46299393623
0.9866666666666667,926.52,50.0,0.5522857142857142,0.0,154.01315389582268,0.9866666666666667,1.0,0.013333333333333334,0.013333333333333334,257.04,143738.19792867024,0.19019047619047613,0.7266666666666666,0.7944285714285714,0.0,10.073333333333332,DRTP-SG-MAPPO,heldout_v2_10M_historical_FAIL,parameter_duration_44_140,parameter_ood,3,68.49740655900314
1.0,926.38,50.0,0.43814814814814823,0.0,159.92616245112626,1.0,1.0,0.02,0.0,256.8333333333333,145845.45367207847,0.13371296296296295,0.8266666666666667,0.6667407407407406,0.0,8.66,DRTP-SG-MAPPO,heldout_v2_10M_historical_FAIL,parameter_timing_20_80,parameter_ood,3,66.43995501587779
0.0,891.1333333333333,50.0,0.0,0.0,227.6902117078821,nan,nan,0.013333333333333334,0.0,257.04,145723.66543680825,0.0,0.7000000000000001,0.0,0.0,11.353333333333333,DRTP-SG-MAPPO,heldout_v2_10M_historical_FAIL,reference_nominal,reference,3,38.0916200314826
0.9866666666666667,923.8533333333334,50.0,0.5457500000000001,0.0,169.09883904799975,0.9866666666666667,1.0,0.013333333333333334,0.013333333333333334,257.04,145047.37663553873,0.15274999999999997,0.7533333333333333,0.7676666666666666,0.0,8.153333333333332,DRTP-SG-MAPPO,heldout_v2_10M_historical_FAIL,seen_f0_44_80,seen_relay_failure,3,71.62522719864347
1.0,892.72,50.0,0.47387500000000005,0.4693749999999999,135.14633176723495,1.0,1.0,0.0,0.0,260.0,147529.47564544677,0.0,0.77,0.999875,0.0,2.92,DRTP-SG-MAPPO,strict_development_10M,U1_scout_node_failure,structural_ood,2,71.62202202459798
0.0,869.95,50.0,0.0,0.0,165.9685107142851,0.0,nan,0.0,0.0,260.0,148301.56020446777,0.0,0.73,0.0,0.0,2.35,DRTP-SG-MAPPO,strict_development_10M,U2_static_symmetric_direct_prune,structural_ood,2,52.88362606931478
0.0,873.5,50.0,0.0,0.0,170.96966391645373,0.0,nan,0.0,0.0,260.0,148558.73798675538,0.0,0.75,0.0,0.0,2.37,DRTP-SG-MAPPO,strict_development_10M,U3_static_directed_scout_to_attacker_prune,structural_ood,2,53.73146733857692
1.0,887.15,50.0,0.4541250000000001,0.4693749999999999,132.96298246530816,1.0,1.0,0.0,0.0,260.0,147689.19897460938,0.0,0.75,0.999875,0.0,2.94,DRTP-SG-MAPPO,strict_development_10M,U4_scout_failure_symmetric_direct_prune,structural_ood,2,79.25998264538124
1.0,850.1700000000001,50.0,0.61175,0.0,185.70684543373062,1.0,1.0,0.0,0.0,260.0,144975.42794982909,0.10587499999999998,0.72,0.7390000000000001,0.0,2.8899999999999997,DRTP-SG-MAPPO,strict_development_10M,U5_relay_failure_directed_direct_prune,structural_ood,2,26.17990458780899
1.0,844.3199999999999,50.0,0.6108750000000001,0.0,183.28969256099776,1.0,1.0,0.0,0.0,260.0,144684.56072906492,0.10649999999999998,0.6799999999999999,0.7390000000000001,0.0,2.83,DRTP-SG-MAPPO,strict_development_10M,U6_relay_failure_symmetric_direct_prune,structural_ood_diagnostic,2,27.976732996744104
1.0,832.83,50.0,0.6692857142857144,0.0,179.33751253742724,1.0,1.0,0.0,0.0,260.0,143765.86744415283,0.14564285714285713,0.6000000000000001,0.8508571428571428,0.0,4.109999999999999,DRTP-SG-MAPPO,strict_development_10M,parameter_duration_44_140,parameter_ood,2,28.143191570974892
1.0,822.26,50.0,0.41587499999999994,0.0,180.66223109621555,1.0,1.0,0.0,0.0,260.0,146518.86472564697,0.11412499999999996,0.69,0.5430000000000003,0.0,3.53,DRTP-SG-MAPPO,strict_development_10M,parameter_timing_20_80,parameter_ood,2,44.843103515096004
0.0,825.4300000000001,50.0,0.0,0.0,213.2434454326704,nan,nan,0.0,0.0,260.0,146963.42744995118,0.0,0.52,0.0,0.0,2.45,DRTP-SG-MAPPO,strict_development_10M,reference_nominal,reference,2,26.311038132421668
1.0,835.54,50.0,0.590875,0.0,181.0042779720947,1.0,1.0,0.01,0.0,259.28,144626.93915161132,0.14799999999999996,0.72,0.7390000000000001,0.0,3.52,DRTP-SG-MAPPO,strict_development_10M,seen_f0_44_80,seen_relay_failure,2,29.01554250124842
1.0,1088.708,50.0,0.24634999999999999,0.63335,90.12613603869266,1.0,1.0,0.052000000000000005,0.0,254.392,152750.7243762207,0.0,0.8800000000000001,0.9551000000000001,0.0,8.376000000000001,UTR-SG-MAPPO,T1_clean_development_1M,U1_scout_node_failure,structural_ood,5,41.51267527029659
0.0,1056.792,50.0,0.0,0.0,98.98176153984481,0.0,nan,0.012,0.0,259.27200000000005,156145.479713501,0.0,0.932,0.0,0.0,18.887999999999998,UTR-SG-MAPPO,T1_clean_development_1M,U2_static_symmetric_direct_prune,structural_ood,5,46.859682897835846
0.0,1049.364,50.0,0.0,0.0,107.03003240721674,0.0,nan,0.012,0.0,259.27200000000005,155654.30371044923,0.0,0.9359999999999999,0.0,0.0,17.532,UTR-SG-MAPPO,T1_clean_development_1M,U3_static_directed_scout_to_attacker_prune,structural_ood,5,47.29194644556307
