graph_encoder,success_mean,success_std,chain_closed_mean,chain_closed_std,attack_window_formed_mean,attack_window_formed_std,timeout_mean,timeout_std,collision_mean,collision_std,steps_mean,steps_std,tracking_rate_mean,tracking_rate_std,comm_connectivity_mean,comm_connectivity_std,constraint_violation_mean,constraint_violation_std
multi_relation,0.21666666666666667,0.415450201656585,0.21666666666666667,0.415450201656585,0.21666666666666667,0.415450201656585,0.7833333333333333,0.41545020165658514,0.0,0.0,236.25,48.13174892144777,0.2440652455978725,0.07682432531302907,0.45485856184963896,0.17277555574704637,0.0,0.0
single,0.0,0.0,0.0,0.0,0.0,0.0,0.9833333333333333,0.12909944487358055,0.0,0.0,259.96666666666664,0.25819888974716043,0.10455211336568032,0.0477951323917092,0.32069850436414576,0.037595805888374904,0.016666666666666666,0.12909944487358055
