source_update,episodes,success,timeout,collision,steps,tracking_rate,comm_connectivity
10,20,0.0,1.0,0.0,260.0,0.2314102633068194,0.4134615396650938
20,20,0.0,1.0,0.0,260.0,0.20974359599443576,0.39807692483640633
30,20,0.0,0.95,0.05,257.35,0.21002694791666704,0.4013167365705466
40,20,0.0,1.0,0.0,260.0,0.20685898052385218,0.4014743608924059
50,20,0.0,1.0,0.0,260.0,0.2044871855813723,0.3928205146067417
60,20,0.0,1.0,0.0,260.0,0.2019871855068665,0.38807692484213757
