method,metric,unit,n_recovered_episodes,mean,note
single,recovered_only_recovery_steps,steps,233,20.91845494,Conditional on episodes that recovered; use capped_recovery_steps for a comparable recovery-time proxy.
multi_relation,recovered_only_recovery_steps,steps,441,26.04081633,Conditional on episodes that recovered; use capped_recovery_steps for a comparable recovery-time proxy.
