split,scenario,graph_encoder,graph_relation_ablation,graph_message_ablation,graph_input_ablation,train_seed,checkpoint_update,method,checkpoint,seed,episode,policy_source,episodes,target_policy,strict_target_sensing,agent_target_info_bottleneck,max_target_message_age_steps,min_target_confidence,communication_range_scale,communication_dropout_prob,message_delay_steps,radar_dropout_prob,failed_blue_agent,node_failure_start_step,node_failure_duration_steps,deterministic,success,chain_closed,attack_window_formed,attack_window_rate,tracking_rate,comm_connectivity,mean_message_age,collision,timeout,constraint_violation,steps,first_attack_window_step,first_chain_close_step,post_failure_chain_recovered,post_failure_chain_recovery_steps,post_failure_chain_recovery_steps_censored,post_failure_chain_recovered_only_steps,post_failure_chain_maintained,post_failure_chain_recovered_after_loss,post_failure_chain_unrecovered,post_failure_first_chain_step,chain_closed_during_failure_rate,tracking_during_failure_rate,connectivity_during_failure,avg_mean_range,final_mean_range,episode_min_blue_red_distance,episode_min_blue_blue_distance,final_min_blue_red_distance,final_min_blue_blue_distance,reward_sum
test,dropout030_relay_failure,multi_relation,none,none,none,0,60,EA-RG-MAPPO-S,results/intercept_3d_gate1_hardened_safety_5seed_formal_candidate/runs/multi_relation/bc_ppo_seed0/actor_critic_update_0060.pt,310034,34,checkpoint,100,straight,True,True,80,0.2,1.0,0.3,0,0.0,1,40,80,True,1.0,1.0,1.0,0.03030303120613098,0.4242424287579276,0.6704545532437888,45.90151477537372,0.0,0.0,0.0,44.0,41.0,44.0,1.0,4.0,4.0,4.0,0.0,1.0,0.0,44.0,0.2,1.0,0.20000000596046447,15102.718605735085,5623.111328125,3844.114501953125,2341.508544921875,3844.114501953125,2341.508544921875,36.31781995296478
test,dropout030_relay_failure,multi_relation,none,none,none,0,60,EA-RG-MAPPO-S,results/intercept_3d_gate1_hardened_safety_5seed_formal_candidate/runs/multi_relation/bc_ppo_seed0/actor_critic_update_0060.pt,310040,40,checkpoint,100,straight,True,True,80,0.2,1.0,0.3,0,0.0,1,40,80,True,1.0,1.0,1.0,0.03030303120613098,0.41666667095639487,0.7272727343846451,59.53409062664617,0.0,0.0,0.0,44.0,41.0,44.0,1.0,4.0,4.0,4.0,0.0,1.0,0.0,44.0,0.2,1.0,0.1666666716337204,15156.182062322443,5749.5,3775.7841796875,3789.468505859375,3775.7841796875,3789.468505859375,36.01373118162155
test,dropout030_relay_failure,multi_relation,none,none,none,0,60,EA-RG-MAPPO-S,results/intercept_3d_gate1_hardened_safety_5seed_formal_candidate/runs/multi_relation/bc_ppo_seed0/actor_critic_update_0060.pt,310042,42,checkpoint,100,straight,True,True,80,0.2,1.0,0.3,0,0.0,1,40,80,True,1.0,1.0,1.0,0.03030303120613098,0.4242424287579276,0.6401515233923089,50.75757567008788,0.0,0.0,0.0,44.0,41.0,44.0,1.0,4.0,4.0,4.0,0.0,1.0,0.0,44.0,0.2,1.0,0.23333334028720856,15108.538929332386,5651.427734375,3853.034423828125,2801.626708984375,3853.034423828125,2801.626708984375,35.806971967220306
test,dropout030_relay_failure,multi_relation,none,none,none,0,60,EA-RG-MAPPO-S,results/intercept_3d_gate1_hardened_safety_5seed_formal_candidate/runs/multi_relation/bc_ppo_seed0/actor_critic_update_0060.pt,310048,48,checkpoint,100,straight,True,True,80,0.2,1.0,0.3,0,0.0,1,40,80,True,1.0,1.0,1.0,0.03030303120613098,0.41666667095639487,0.6590909168801524,50.787878620692275,0.0,0.0,0.0,44.0,41.0,44.0,1.0,4.0,4.0,4.0,0.0,1.0,0.0,44.0,0.2,1.0,0.23333334028720856,15142.582774769176,5680.93212890625,3780.33642578125,2994.263916015625,3780.33642578125,2994.263916015625,35.78553247451782
test,dropout030_relay_failure,multi_relation,none,none,none,0,60,EA-RG-MAPPO-S,results/intercept_3d_gate1_hardened_safety_5seed_formal_candidate/runs/multi_relation/bc_ppo_seed0/actor_critic_update_0060.pt,310003,3,checkpoint,100,straight,True,True,80,0.2,1.0,0.3,0,0.0,1,40,80,True,1.0,1.0,1.0,0.029629630512661403,0.4296296338240306,0.6888888971673117,55.4037034554614,0.0,0.0,0.0,45.0,42.0,45.0,1.0,5.0,5.0,5.0,0.0,1.0,0.0,45.0,0.16666666666666666,1.0,0.19444445023934046,14936.81394314236,5282.30615234375,3745.74658203125,3424.803466796875,3745.74658203125,3424.803466796875,36.748758882284164
test,dropout030_relay_failure,multi_relation,none,none,none,0,60,EA-RG-MAPPO-S,results/intercept_3d_gate1_hardened_safety_5seed_formal_candidate/runs/multi_relation/bc_ppo_seed0/actor_critic_update_0060.pt,310010,10,checkpoint,100,straight,True,True,80,0.2,1.0,0.3,0,0.0,1,40,80,True,1.0,1.0,1.0,0.029629630512661403,0.4296296338240306,0.6259259359704124,62.21481506692039,0.0,0.0,0.0,45.0,42.0,45.0,1.0,5.0,5.0,5.0,0.0,1.0,0.0,45.0,0.16666666666666666,1.0,0.2777777860562007,14962.510557725695,5376.328125,3567.43896484375,3835.130126953125,3567.43896484375,3835.130126953125,35.74361476302147
test,dropout030_relay_failure,multi_relation,none,none,none,0,60,EA-RG-MAPPO-S,results/intercept_3d_gate1_hardened_safety_5seed_formal_candidate/runs/multi_relation/bc_ppo_seed0/actor_critic_update_0060.pt,310016,16,checkpoint,100,straight,True,True,80,0.2,1.0,0.3,0,0.0,1,40,80,True,1.0,1.0,1.0,0.029629630512661403,0.4370370414521959,0.6518518610133065,47.79629666639699,0.0,0.0,0.0,45.0,42.0,45.0,1.0,5.0,5.0,5.0,0.0,1.0,0.0,45.0,0.16666666666666666,1.0,0.22222222884496054,14866.075998263888,5256.1748046875,3992.837890625,2478.774658203125,3992.837890625,2478.774658203125,36.847843676805496
test,dropout030_relay_failure,multi_relation,none,none,none,0,60,EA-RG-MAPPO-S,results/intercept_3d_gate1_hardened_safety_5seed_formal_candidate/runs/multi_relation/bc_ppo_seed0/actor_critic_update_0060.pt,310019,19,checkpoint,100,straight,True,True,80,0.2,1.0,0.3,0,0.0,1,40,80,True,1.0,1.0,1.0,0.029629630512661403,0.4296296338240306,0.6703703787591723,52.55925937791665,0.0,0.0,0.0,45.0,42.0,45.0,1.0,5.0,5.0,5.0,0.0,1.0,0.0,45.0,0.16666666666666666,1.0,0.2500000074505806,14939.875499131944,5335.37744140625,3679.457275390625,2934.841796875,3679.457275390625,2934.841796875,36.58451300859451
test,dropout030_relay_failure,multi_relation,none,none,none,0,60,EA-RG-MAPPO-S,results/intercept_3d_gate1_hardened_safety_5seed_formal_candidate/runs/multi_relation/bc_ppo_seed0/actor_critic_update_0060.pt,310031,31,checkpoint,100,straight,True,True,80,0.2,1.0,0.3,0,0.0,1,40,80,True,1.0,1.0,1.0,0.029629630512661403,0.4296296338240306,0.6111111220386293,65.12962969044844,0.0,0.0,0.0,45.0,42.0,45.0,1.0,5.0,5.0,5.0,0.0,1.0,0.0,45.0,0.16666666666666666,1.0,0.2777777860562007,14955.404937065972,5428.6025390625,3840.089111328125,3593.458740234375,3840.089111328125,3593.458740234375,35.36911141872406
test,dropout030_relay_failure,multi_relation,none,none,none,0,60,EA-RG-MAPPO-S,results/intercept_3d_gate1_hardened_safety_5seed_formal_candidate/runs/multi_relation/bc_ppo_seed0/actor_critic_update_0060.pt,310036,36,checkpoint,100,straight,True,True,80,0.2,1.0,0.3,0,0.0,1,40,80,True,1.0,1.0,1.0,0.029629630512661403,0.4370370414521959,0.6518518586953481,46.02592584590117,0.0,0.0,0.0,45.0,42.0,45.0,1.0,5.0,5.0,5.0,0.0,1.0,0.0,45.0,0.16666666666666666,1.0,0.1666666716337204,14885.732660590278,5265.0166015625,3571.042236328125,2588.856689453125,3571.042236328125,2588.856689453125,36.91840973496437
