method,envs,rollout_steps,env_steps,wall_ms,env_steps_per_s,decision_steps_per_s,wall_per_10k_env_steps_ms
full_ea_rg,8,128,1024,4232.106200000004,241.9599016678738,241.9599016678738,41329.16210937504
w_o_role_pair_gate,8,128,1024,5106.142499999976,200.54277764476896,200.54277764476896,49864.67285156227
mappo,8,128,1024,3292.766699999902,310.9846804512541,310.9846804512541,32155.924804686543
happo,8,128,1024,3727.061899999967,274.74724795958156,274.74724795958156,36397.08886718718
param_matched_single,8,128,1024,3087.4300999998923,331.667427871496,331.667427871496,30150.68457031145
