split,scenario,graph_encoder,train_seed,checkpoint_update,episodes,success_mean,post_failure_chain_recovered_mean,post_failure_chain_recovery_steps_mean,tracking_during_failure_rate_mean,connectivity_during_failure_mean,steps_mean,timeout_mean,collision_mean,constraint_violation_mean
probe,dropout030_relay_failure,multi_relation,0,30,20,1,1,6.05,1,0.33526124975836236,46.05,0,0,0
probe,dropout030_relay_failure,multi_relation,1,15,20,0.95,0.95,5.421052631578948,0.9581250001490116,0.32773975448372467,56.15,0.05,0,0
probe,dropout030_relay_failure,multi_relation,2,15,20,1,1,5.6,1,0.33128968952253224,45.6,0,0,0
probe,dropout030_relay_failure,no_graph,0,20,20,0,0,inf,0.05562500165775419,0.04895833450369537,260,1,0,0
probe,dropout030_relay_failure,no_graph,1,30,20,0.85,0.85,5.176470588235294,0.5484490904191301,0.30222718888169364,77.4,0.15,0,0
probe,dropout030_relay_failure,no_graph,2,30,20,0,0,inf,0.0022916667349636554,0.04822916785255074,260,1,0,0
probe,dropout030_relay_failure,single,0,10,20,0.6,0.6,4.5,0.663750000949949,0.28766369760701704,130.7,0.4,0,0
probe,dropout030_relay_failure,single,1,30,20,0.75,0.75,4.866666666666666,0.8211805567145347,0.31708830031832413,88.35,0.2,0.05,0
probe,dropout030_relay_failure,single,2,5,20,0.95,0.95,5.105263157894737,0.9577083334326744,0.3318849269504703,55.85,0.05,0,0
