train_seed,metric,label,unit,n_matched_episodes,single,multi_relation,delta_proposed_minus_baseline
0,success,Task success,rate,20,0.75,0.95,0.2
0,post_failure_chain_recovered,Post-failure chain recovered,rate,20,0.75,0.95,0.2
0,timeout,Timeout,rate,20,0.25,0.05,-0.2
0,capped_recovery_steps,Restricted mean recovery steps,steps,20,58.9,17.05,-41.85
0,tracking_during_failure_rate,Tracking during failure,rate,20,0.7893750006,0.9583333335,0.1689583329
0,connectivity_during_failure,Connectivity during failure,rate,20,0.3122619117,0.3281398876,0.01587797589
0,chain_closed_during_failure_rate,Chain closure during failure,rate,20,0.1244047619,0.1367857143,0.01238095238
0,steps,Episode length,steps,20,98.9,57.05,-41.85
1,success,Task success,rate,20,0.7,0.9,0.2
1,post_failure_chain_recovered,Post-failure chain recovered,rate,20,0.7,0.9,0.2
1,timeout,Timeout,rate,20,0.3,0.1,-0.2
1,capped_recovery_steps,Restricted mean recovery steps,steps,20,69.55,26.95,-42.6
1,tracking_during_failure_rate,Tracking during failure,rate,20,0.7466666676,0.9152083337,0.1685416661
1,connectivity_during_failure,Connectivity during failure,rate,20,0.2905009978,0.3081448484,0.01764385059
1,chain_closed_during_failure_rate,Chain closure during failure,rate,20,0.1189285714,0.1438293651,0.02490079365
1,steps,Episode length,steps,20,109.55,66.95,-42.6
2,success,Task success,rate,20,0.9,1,0.1
2,post_failure_chain_recovered,Post-failure chain recovered,rate,20,0.9,1,0.1
2,timeout,Timeout,rate,20,0.1,0,-0.1
2,capped_recovery_steps,Restricted mean recovery steps,steps,20,26.75,5.45,-21.3
2,tracking_during_failure_rate,Tracking during failure,rate,20,0.9170833337,1,0.08291666634
2,connectivity_during_failure,Connectivity during failure,rate,20,0.3033978238,0.3196230226,0.01622519884
2,chain_closed_during_failure_rate,Chain closure during failure,rate,20,0.146547619,0.1601984127,0.01365079365
2,steps,Episode length,steps,20,66.75,45.45,-21.3
