epoch,loss,action_accuracy,attacker_action_accuracy,support_action_accuracy,samples,demo_success_rate,balanced_loss,geometric_policy_mode,attacker_action_weight
1,2.232642841048357,0.20208283265240728,0.16371064647921174,0.22126892573900506,20805,0.9083333611488342,1,offset,2.0
2,1.907335928300532,0.38989025074100775,0.31218457101658253,0.42874309060322036,20805,0.9083333611488342,1,offset,2.0
3,1.7497044467344516,0.41278538812785387,0.3393415044460466,0.44950732996875753,20805,0.9083333611488342,1,offset,2.0
4,1.664520115387149,0.42784587038372185,0.3681807257870704,0.4576784426820476,20805,0.9083333611488342,1,offset,2.0
5,1.5929109497768124,0.4356004165665305,0.379379956741168,0.46371064647921173,20805,0.9083333611488342,1,offset,2.0
6,1.5337560162311648,0.43910918849635505,0.4130257149723624,0.4521509252583514,20805,0.9083333611488342,1,offset,2.0
7,1.4715186401111324,0.44609468877673636,0.43777937995674115,0.45025234318673396,20805,0.9083333611488342,1,offset,2.0
8,1.4088493876340913,0.45211888167908354,0.4379235760634463,0.4592165344869022,20805,0.9083333611488342,1,offset,2.0
9,1.344805541561871,0.4465913642553873,0.42999279019466474,0.4548906512857486,20805,0.9083333611488342,1,offset,2.0
10,1.3085359211375074,0.44663942962428904,0.42100456621004567,0.4594568613314107,20805,0.9083333611488342,1,offset,2.0
11,1.2514456510543823,0.4474084755267163,0.4182648401826484,0.4619802931987503,20805,0.9083333611488342,1,offset,2.0
12,1.1978477086962722,0.45817511816069856,0.43153088199951933,0.47149723624128814,20805,0.9083333611488342,1,offset,2.0
13,1.1575555212614013,0.46605783866057837,0.4560922855082913,0.4710406152367219,20805,0.9083333611488342,1,offset,2.0
14,1.1259165871434096,0.464647921172795,0.45791876952655614,0.46801249699591446,20805,0.9083333611488342,1,offset,2.0
15,1.0869373497439594,0.46725947288312103,0.4668108627733718,0.46748377793799567,20805,0.9083333611488342,1,offset,2.0
16,1.0524791987930857,0.48110229912681246,0.4791155972122086,0.48209565008411437,20805,0.9083333611488342,1,offset,2.0
17,1.0271463597693093,0.488215973724265,0.476760394136025,0.493943763518385,20805,0.9083333611488342,1,offset,2.0
18,1.0137861574568399,0.4891292157333974,0.4653689017063206,0.5010093727469358,20805,0.9083333611488342,1,offset,2.0
19,0.9681305383763662,0.4928302491388288,0.4784907474164864,0.5,20805,0.9083333611488342,1,offset,2.0
20,0.9536324499583826,0.49625891212048384,0.4882960826724345,0.5002403268445086,20805,0.9083333611488342,1,offset,2.0
