method,metric,unit,n_recovered_episodes,mean,note
single,recovered_only_recovery_steps,steps,23,6.086956522,Conditional on episodes that recovered; use capped_recovery_steps for a comparable recovery-time proxy.
multi_relation,recovered_only_recovery_steps,steps,59,5.745762712,Conditional on episodes that recovered; use capped_recovery_steps for a comparable recovery-time proxy.
