seed,cohort,label,phase,updates,td_abs_F0,lagged_score_F0,weight_F0,post_surrogate_F0,td_abs_TE,lagged_score_TE,weight_TE,post_surrogate_TE,td_abs_TL,lagged_score_TL,weight_TL,post_surrogate_TL,td_abs_DS,lagged_score_DS,weight_DS,post_surrogate_DS,td_abs_DL,lagged_score_DL,weight_DL,post_surrogate_DL,td_abs_CP,lagged_score_CP,weight_CP,post_surrogate_CP,advantage_mean,advantage_std,policy_loss,value_loss,approx_kl,post_update_actor_kl,clip_fraction,grad_norm,entropy,train_avg_reward,active_weight_row_fraction,score_weight_top_alignment,score_rank_switch_rate,weight_rank_switch_rate,score_top_group,weight_top_group,weight_floor_contact_fraction,weight_cap_contact_fraction,surrogate_concentration
4801,A,neutral_mixed,early,487,0.030178130366409782,0.030178130366409782,0.995276772662426,-0.020080438786371776,0.03670108388251135,0.03679924644216447,0.9899114607716166,-0.007452479118072032,0.03216245293564102,0.0322274156917796,0.9973568810872568,0.0003327465113214154,0.03787721212428404,0.03787721212428404,0.9932185488845696,0.0020521500891789763,0.030300601515472075,0.030300601515472075,0.9914185995905591,-0.007841369060673264,0.03432400204957702,0.03432400204957702,0.9919043629564563,-0.019495859194271558,0.054554411517682075,0.7960642772044,0.0015737963647933513,0.5090581876894141,0.0011928554171259053,0.004712119328361999,0.008974215236109504,1.6682793239716753,2.5988665574997114,0.01102984376726562,0.43121149897330596,0.9714285714285714,0.6555023923444976,0.6411483253588517,TL,TL,0.09603174603174604,0.034126984126984124,0.7272660427248336
4801,A,neutral_mixed,middle,488,0.026509630162665058,0.026509630162665058,0.9935755717698483,0.0021000982788925778,0.030857950363516764,0.030698970822335792,0.9906763415040638,-0.011047831309966926,0.028261109364468635,0.028117391421624064,0.9953042577345448,-0.0036807928375563906,0.032645043824915544,0.032645043824915544,0.9941723140170322,0.012343054083862999,0.024369639577184583,0.024369639577184583,0.9937778169901783,-0.01598345904303791,0.032045971786249,0.032045971786249,0.9896778490163052,-0.007831979811703978,-0.0034194696359679897,0.7085470409727976,0.0022590661236060188,0.3159687876583031,0.0011024926282518254,0.004474823843994556,0.00807131595907687,1.3115766464702052,2.654952686951786,0.03328921431861478,0.3770491803278688,1,0.6502732240437158,0.6502732240437158,TL,TL,0.11503623188405797,0.04528985507246377,0.7318219237475296
4801,A,neutral_mixed,late,977,0.04282458858784144,0.04282458858784144,0.9950846100275306,-0.014031947563243162,0.03903732111393186,0.039193241644874845,0.9931955680628259,-0.0353880503458927,0.042805780276997885,0.042963605935428716,0.9955126964864083,-0.022171068198296374,0.04204065994047204,0.04180247956896419,0.9939605051576436,-0.007064871716874527,0.04037323638414302,0.04037323638414302,0.9899897165450305,-0.027944376406201687,0.03896068350187387,0.03896068350187387,0.9902627189994216,-0.01596949045129784,0.04565843540019077,1.05472893739918,-0.004798598271273191,0.7069210891517502,0.0005833775856312423,0.0027129764499829344,0.0022886414237548247,2.489083381200032,2.604848399743087,0.09513294066289907,0.5394063459570113,1,0.46387832699619774,0.46387832699619774,F0,F0,0.09645793801391524,0.03510436432637571,0.7109903690795402
4802,A,rescue,early,487,0.05044284376644743,0.05044284376644743,0.9945886879006117,-0.026721834164931298,0.0667697396665401,0.06656251110876543,0.9920049382450425,0.012263976746990328,0.0535336889655081,0.053550682134603775,0.9917445959899653,0.001751360072308742,0.05203615436454963,0.05214406330940904,0.9950464173997247,-0.01348811487267578,0.05374666262075439,0.05374666262075439,0.9949080873942691,-0.02843292475748784,0.05922916287347902,0.05922916287347902,0.9969649978495997,-0.006155279095932933,-0.005304033047609505,0.7871238223336315,0.009464480344051193,0.4246793674329942,0.000988971397662651,0.004469355106244037,0.004827333723175295,1.2514625479002508,2.860346198326753,-0.006376958184911883,1.0,0.917864476386037,0.5761316872427984,0.522633744855967,DS,DS,0.05715263518138262,0.008555783709787816,0.6639926648774603
4802,A,rescue,middle,488,0.048325692627145214,0.048325692627145214,0.9966818642134904,-0.013914759953832635,0.05465101150278789,0.054857815411878584,0.9938075320732842,0.020613725623497586,0.046707519931981474,0.04613045078817439,0.9966630404363255,0.0047958415768826835,0.052321990479423264,0.051610134854762714,1.0040583457621577,-0.038802756732530114,0.045921597425348355,0.045532874754919156,0.9970541116827772,-0.031565366751565904,0.060880565922608966,0.060880565922608966,0.9982835143733712,-0.03425983578736272,0.010310959310669712,0.7660286189591299,-0.0050270927189200445,0.36857720110498626,0.0007662901766242987,0.0035249274354652296,0.004074346941617149,1.3295734853361596,2.7116111293435097,0.024629732658691776,1.0,0.8959660297239915,0.5934291581108829,0.597872340425532,,DS,0.036543715846994534,0.02390710382513661,0.647427763127171
4802,A,rescue,late,977,0.05573856323001094,0.05573856323001094,1.0000514232958122,-0.011462097893161136,0.06589904131104629,0.06589904131104629,0.9951877834495545,-0.03785434851476288,0.056802499451648704,0.05719709314715334,0.9975445924091748,-0.01796978440775823,0.07272533769702595,0.07299933279339384,1.004475082541854,0.007583880966944866,0.058230079396338966,0.058330927642379,0.9951942250832774,-0.04594473107555879,0.06299565612190323,0.06299565612190323,0.9993391711929401,-0.037467785034363967,0.02519027652631694,0.8550487699991849,-0.002496856034918285,0.4802156710471031,0.0008999268193649511,0.003952763819749021,0.006268525214053399,1.7995680745161056,2.5856982170620375,0.06859879584320126,1.0,0.8891191709844559,0.6301229508196722,0.6452282157676349,DS,DS,0.02780620948481747,0.0255885363357216,0.6566833703009368
4803,A,neutral_mixed,early,487,0.04098108924230511,0.04098108924230511,0.9946038779838713,-0.024004662518429684,0.04519474228486343,0.04519474228486343,0.9987916281124094,-0.004711720790308604,0.042820791905512745,0.042436498697392494,0.9932128091886744,-0.022256052827183348,0.04574538312149531,0.045769223458436495,0.9974308495923375,-0.004693801668749881,0.042901836337870106,0.04299044156415609,0.9999367950249965,-0.048698475379764544,0.04476174047056767,0.04476174047056767,0.9991971707465969,-0.05828441170692536,0.03018787056322399,0.734707505092239,-0.0014227212921121527,0.4321725975723987,0.0006756530733100951,0.003153639401343137,0.002417677391625968,1.6000627002753394,2.6127241644281627,0.015336803985286066,1.0,0.893223819301848,0.5946502057613169,0.5679012345679012,CP,TE,0.030458590006844626,0.007529089664613279,0.6804978412380905
4803,A,neutral_mixed,middle,488,0.04152392650893204,0.04152392650893204,0.9993886550853327,0.01812353799287535,0.04140318737483082,0.04140318737483082,0.9965804544037615,-0.05702717535266439,0.04419809059773406,0.0445815963197721,0.9920388246135149,-0.042159615800196885,0.04752210648914788,0.047602884167815065,1.000605540543038,0.007524202150277427,0.041803203167968594,0.0417722684528632,0.9932301583141787,-0.03777664533117786,0.04625900333981673,0.04625900333981673,0.9976144859110649,-0.043312340270590464,0.032172405304812794,0.7179049410719852,-0.0023246058320138055,0.3551076232535826,0.0009932174375721769,0.004549599030396479,0.006276281981537649,1.5748075103295631,2.564013350693906,0.0623757367544296,0.9897540983606558,0.865424430641822,0.529045643153527,0.49377593360995853,CP,DS,0.026570048309178744,0.00759144237405107,0.6732019987257503
4803,A,neutral_mixed,late,977,0.025631900895891773,0.025631900895891773,0.9997726862609214,-0.02897045221046269,0.026164137088030528,0.026164137088030528,1.0017944024401286,-0.04292861912532985,0.02383518922794173,0.02383518922794173,0.9988177592142209,-0.016992333749292023,0.026547661364497977,0.026607168469906677,0.9994026069024509,-0.024776791339642924,0.022435626122788845,0.02244658761057131,0.9978848905936033,-0.035939551987723396,0.02294220593192193,0.022880303308918083,0.9996519819580839,-0.047313169943704485,0.02947332301421235,0.7510903163630984,0.00023978058099336806,0.4016114198464515,0.0007289890431908094,0.0034331081265823377,0.003214559969669799,1.6846819027816018,2.605710619547716,0.09233913148264568,0.3398157625383828,1,0.7250755287009063,0.7250755287009063,TE,TE,0.08333333333333333,0.06977911646586345,0.7178987948505194
4804,A,harm,early,487,0.05036184118428936,0.05036184118428936,0.9956412927407644,-0.011663081082352868,0.04700148232946228,0.04700148232946228,1.0011312631795157,-0.011880501355111477,0.05176204323106246,0.05176204323106246,1.0024804864052956,-0.011733959881240767,0.047267332444952084,0.04700735245014961,0.9898344294301071,0.0038411042995337833,0.04524892457304441,0.04540664441046096,0.993991454896205,-0.04946391830111813,0.04474706815137479,0.04488172069869108,0.996849412801973,-0.052291503455298635,0.018480917836955393,0.7758323624271142,0.0005792975484286445,0.4560098853908877,0.0008194551526043743,0.003774452510876586,0.004420265571397846,1.5159979263737462,2.7106882880233396,0.010212737369951154,1.0,0.8952772073921971,0.6049382716049383,0.5534979423868313,,TE,0.03216974674880219,0.004106776180698152,0.668993816715095
