arm,seed,milestone_update,selection_count,adaptation_count,trust_activation_rate,mean_q_step_l1,mean_pre_tr_l1,exposure_F0,exposure_TE,exposure_TL,exposure_DS,exposure_DL,exposure_CP,q_uniform_l1
utr_sg,3001,976,962,0,,,,0.07796257796257797,0.08523908523908524,0.079002079002079,0.09667359667359668,0.09355509355509356,0.09251559251559252,
utr_sg,3001,1953,967,0,,,,0.07549120992761117,0.08169596690796277,0.08169596690796277,0.07549120992761117,0.09927611168562564,0.0889348500517063,
utr_sg,3001,2930,970,0,,,,0.06391752577319587,0.07525773195876288,0.09690721649484536,0.07835051546391752,0.08969072164948454,0.06494845360824743,
utr_sg,3001,3907,969,0,,,,0.08152734778121776,0.09184726522187822,0.0846233230134159,0.08668730650154799,0.07946336429308566,0.08565531475748193,
utr_sg,3002,976,962,0,,,,0.07796257796257797,0.0841995841995842,0.07692307692307693,0.09043659043659044,0.07692307692307693,0.08835758835758836,
utr_sg,3002,1953,962,0,,,,0.079002079002079,0.0841995841995842,0.08212058212058213,0.08108108108108109,0.08731808731808732,0.08835758835758836,
utr_sg,3002,2930,964,0,,,,0.08921161825726141,0.08506224066390042,0.07780082987551867,0.0954356846473029,0.08506224066390042,0.08195020746887967,
utr_sg,3002,3907,969,0,,,,0.07017543859649122,0.0846233230134159,0.08565531475748193,0.0804953560371517,0.07636738906088751,0.08565531475748193,
utr_sg,3003,976,963,0,,,,0.09657320872274143,0.08203530633437175,0.08722741433021806,0.08203530633437175,0.08515057113187954,0.09241952232606439,
utr_sg,3003,1953,968,0,,,,0.08574380165289257,0.07128099173553719,0.08367768595041322,0.09297520661157024,0.07954545454545454,0.08367768595041322,
utr_sg,3003,2930,974,0,,,,0.08829568788501027,0.07802874743326489,0.09240246406570841,0.07186858316221766,0.07700205338809035,0.09240246406570841,
utr_sg,3003,3907,985,0,,,,0.08426395939086294,0.08020304568527918,0.08934010152284264,0.09238578680203045,0.06192893401015229,0.083248730964467,
utr_sg,3004,976,963,0,,,,0.07268951194184839,0.07684319833852545,0.08618899273104881,0.08618899273104881,0.0893042575285566,0.09241952232606439,
utr_sg,3004,1953,965,0,,,,0.08082901554404145,0.08393782383419689,0.08601036269430051,0.10051813471502591,0.07461139896373056,0.0766839378238342,
utr_sg,3004,2930,962,0,,,,0.08108108108108109,0.08835758835758836,0.1101871101871102,0.0841995841995842,0.09043659043659044,0.07484407484407485,
utr_sg,3004,3907,965,0,,,,0.09326424870466321,0.09844559585492228,0.07979274611398963,0.08393782383419689,0.07564766839378238,0.07564766839378238,
utr_sg,3005,976,962,0,,,,0.07588357588357589,0.0893970893970894,0.09043659043659044,0.09147609147609148,0.08835758835758836,0.08108108108108109,
utr_sg,3005,1953,965,0,,,,0.07772020725388601,0.07875647668393783,0.0849740932642487,0.09740932642487046,0.07979274611398963,0.08911917098445596,
utr_sg,3005,2930,974,0,,,,0.08726899383983573,0.08829568788501027,0.08726899383983573,0.08316221765913757,0.09240246406570841,0.09548254620123203,
utr_sg,3005,3907,979,0,,,,0.0735444330949949,0.0898876404494382,0.0888661899897855,0.08580183861082738,0.0898876404494382,0.07048008171603677,
drtp_sg,3001,976,961,26,0.0,0.0,0.0,0.04994797086368366,0.04266389177939646,0.054110301768990635,0.03954214360041623,0.16545265348595214,0.16441207075962538,0.6164654610690034
drtp_sg,3001,1953,961,31,0.0,0.0,0.0,0.036420395421436005,0.043704474505723206,0.06763787721123829,0.026014568158168574,0.14151925078043703,0.17793964620187305,0.5797016561314416
drtp_sg,3001,2930,969,30,0.0,0.0,0.0,0.04540763673890609,0.03611971104231166,0.03611971104231166,0.033023735810113516,0.17647058823529413,0.17337461300309598,0.6853107759825048
drtp_sg,3001,3907,973,31,0.0,0.0,0.0,0.040082219938335044,0.0842754367934224,0.09969167523124357,0.02672147995889003,0.1397738951695786,0.10585817060637205,0.5051348720870189
drtp_sg,3002,976,961,26,0.0,0.0,0.0,0.06555671175858481,0.10926118626430802,0.05931321540062435,0.04890738813735692,0.11758584807492195,0.08532778355879292,0.40928362072301994
drtp_sg,3002,1953,964,31,0.0,0.0,0.0,0.07987551867219916,0.03630705394190872,0.1037344398340249,0.028008298755186723,0.13900414937759337,0.10580912863070539,0.44048199504124375
drtp_sg,3002,2930,966,30,0.0,0.0,0.0,0.028985507246376812,0.059006211180124224,0.049689440993788817,0.034161490683229816,0.15217391304347827,0.19772256728778467,0.6750290756044871
drtp_sg,3002,3907,969,31,0.0,0.0,0.0,0.04024767801857585,0.043343653250773995,0.04024767801857585,0.02889576883384933,0.14860681114551083,0.15583075335397317,0.6820075735168782
drtp_sg,3003,976,963,26,0.0,0.0,0.0,0.058151609553478714,0.11734164070612668,0.058151609553478714,0.040498442367601244,0.09968847352024922,0.14641744548286603,0.5332422671763226
drtp_sg,3003,1953,963,31,0.0,0.0,0.0,0.036344755970924195,0.0529595015576324,0.05192107995846314,0.037383177570093455,0.15784008307372793,0.1754932502596054,0.6380132486989073
drtp_sg,3003,2930,970,30,0.0,0.0,0.0,0.07835051546391752,0.06804123711340206,0.08762886597938144,0.04742268041237113,0.12371134020618557,0.12371134020618557,0.33935208956652424
drtp_sg,3003,3907,977,31,0.0,0.0,0.0,0.05424769703172978,0.044012282497441144,0.07164790174002048,0.033776867963152504,0.19037871033776868,0.11975435005117707,0.5339709646528722
drtp_sg,3004,976,961,26,0.0,0.0,0.0,0.11342351716961499,0.062434963579604576,0.05723204994797086,0.04890738813735692,0.06867845993756504,0.14880332986472425,0.528961438743855
drtp_sg,3004,1953,969,31,0.0,0.0,0.0,0.13519091847265222,0.07946336429308566,0.05675954592363261,0.04540763673890609,0.08359133126934984,0.09803921568627451,0.34856063424706185
drtp_sg,3004,2930,977,30,0.0,0.0,0.0,0.16069600818833163,0.06960081883316274,0.021494370522006142,0.03991811668372569,0.10747185261003071,0.10030706243602866,0.4742228083066416
drtp_sg,3004,3907,970,31,0.0,0.0,0.0,0.08350515463917525,0.030927835051546393,0.030927835051546393,0.06597938144329897,0.16082474226804125,0.12886597938144329,0.5034771172013183
drtp_sg,3005,976,960,26,0.0,0.0,0.0,0.035416666666666666,0.08541666666666667,0.06979166666666667,0.065625,0.11354166666666667,0.13229166666666667,0.48970739925942197
drtp_sg,3005,1953,964,31,0.0,0.0,0.0,0.04771784232365145,0.08195020746887967,0.04771784232365145,0.03941908713692946,0.09854771784232365,0.18983402489626555,0.501458972072023
drtp_sg,3005,2930,977,30,0.0,0.0,0.0,0.11361310133060389,0.037871033776867964,0.030706243602865915,0.02456499488229273,0.14227226202661208,0.1668372569089048,0.6157337796195664
drtp_sg,3005,3907,975,31,0.0,0.0,0.0,0.12,0.050256410256410255,0.03487179487179487,0.028717948717948718,0.13948717948717948,0.12410256410256411,0.5425885571665745
conservative_drtp_sg,3001,976,960,26,0.8461538461538461,0.02386979246226091,0.05932953549061944,0.07708333333333334,0.06145833333333333,0.07916666666666666,0.065625,0.10833333333333334,0.125,0.17904081266073593
conservative_drtp_sg,3001,1953,966,31,0.2903225806451613,0.01879646470572006,0.022055620797842245,0.10559006211180125,0.08178053830227744,0.08385093167701864,0.049689440993788817,0.09937888198757763,0.06521739130434782,0.11685367788310025
