arm,seed,milestone_update,window_updates,conservative_group,train_avg_reward,loss,policy_loss,value_loss,explained_variance,approx_kl,clip_fraction,entropy,grad_norm,advantage_mean,advantage_std,actor_gradient_norm,critic_gradient_norm,actor_update_norm,critic_update_norm
utr_sg,3001,976,128,control,0.03060572739843792,0.0769762008167163,-0.001640064723220059,0.21288774813365308,0.8602462520357221,0.0007115502523085127,0.0029093425300743547,2.7827609214000404,1.1384826224239077,-0.004963999333085667,0.6069053524406627,,,,
utr_sg,3001,1953,128,control,0.11183857586001977,0.31973657883281703,-0.001608124324557059,0.6924007667985279,0.9202154227532446,0.0008527358704964646,0.00470987967378278,2.485568142030388,2.591561460518278,0.0855372437222286,1.0815295919310302,,,,
utr_sg,3001,2930,128,control,0.14661983711994253,0.6175049999292241,-0.0018003082099081896,1.289388032120769,0.8298894121544436,0.001068524972965908,0.00819142686577834,2.5388709707185626,3.3084656900027767,0.052360770701852744,1.4677864767145365,,,,
utr_sg,3001,3907,128,control,0.1476759208671865,0.5939234463367029,-0.0016331469074935638,1.2422506536822766,0.8784661497920752,0.0006928054543611969,0.0037129721204109956,2.556873512919992,3.331956858455669,0.09559747794264695,1.4572761580348015,,,,
utr_sg,3002,976,128,control,0.04846791986756216,0.10282693879162252,-0.0015758861502762908,0.2654976404446643,0.8827558065531775,0.0006288054802396914,0.0019302368807530002,2.8345996476709843,1.0914027076796629,0.03308627085061744,0.6731903281761333,,,,
utr_sg,3002,1953,128,control,0.12818819456151687,0.4985080381811713,-0.0007985124869762407,1.0516837551112985,0.8992269991431385,0.00021598507800109817,0.00039418538995050767,2.65353293903172,3.7072341301245615,0.06594047635007882,1.315642527770251,,,,
utr_sg,3002,2930,128,control,0.11840251268586144,0.4529883332106692,-0.0015072043923165918,0.9624041064816993,0.8974331837380305,0.0006435558324859869,0.002431233786182929,2.670651387423277,3.4568067521904595,0.07324451547674471,1.2582907280884683,,,,
utr_sg,3002,3907,128,control,0.13379139878088608,0.4888607404100185,-0.0014229490671965055,1.033069048615289,0.8734328066930175,0.0006405456971937026,0.002591451089074326,2.625083388760686,3.42352008522721,0.058749916905071586,1.3178903399966657,,,,
utr_sg,3003,976,128,control,0.06606904079126252,0.11839671539382834,-0.0022648505508886378,0.29394256573868915,0.9333662274293602,0.0009756637100153399,0.006159464667234715,2.63097173999995,1.4138680231408216,-0.0005846478898092755,0.6910867074038833,,,,
utr_sg,3003,1953,128,control,0.11488724552327767,0.3747317084707902,-0.0014470572652030018,0.8054996979917632,0.9162354697473347,0.00041697603451614396,0.0010121663808604353,2.6571083553135395,2.6563330584322102,0.06929776497145212,1.1551264887675643,,,,
utr_sg,3003,2930,128,control,0.12488907685838058,0.5036979521319154,-0.0021079258324980276,1.0627861805260181,0.8892318030120805,0.0008941178265473582,0.004857381319425258,2.5587213025428355,3.4598130522063,0.0044359208914102055,1.3267214519437402,,,,
utr_sg,3003,3907,128,control,0.20614158327225596,0.7121738306013867,-0.0018887167897748886,1.4772016258793883,0.9003580729477108,0.0006503770054753961,0.0020548503014197195,2.453826604411006,4.728546904050745,-0.045728527587471035,1.5895843598991632,,,,
