source_commit,historical_path,sha256,bytes,data_rows,has_strict_pre_endpoint_field,has_after_loss_field,has_survival_like_fields
e02a753,results/gate1_nominal_weaving_mild_oracle_assisted_validation_selection_dev10/validation_checkpoint_summary.csv,2df3c7d2613ca610efd4411471ecbcd2910e3e9f3ccc9cf5b2fc1de3e3c92612,6243,36,False,False,False
e02a753,results/gate1_nominal_weaving_mild_oracle_assisted_validation_selection_dev10/validation_episode_metrics.csv,6634c587dd44737552cb5ae0e6b01ef1e718a56e06e901fb2d56c8f86cb5a633,184440,360,False,True,True
e02a753,results/gate1_nominal_weaving_mild_oracle_assisted_validation_selection_dev10/validation_selected_checkpoints.csv,5cbe3556718226f4dc32458ed8ff4bd72e27e8d61913b5b41603a44c5ce61047,1178,6,False,False,False
e02a753,results/gate1_nominal_weaving_mild_oracle_assisted_validation_selection_dev10_test30/test_checkpoint_summary.csv,98a5dc0536739f0cd0f79283ebb013b4d390185bb6278513e6240eb9494c118b,1219,6,False,False,False
e02a753,results/gate1_nominal_weaving_mild_oracle_assisted_validation_selection_dev10_test30/test_episode_metrics.csv,57b2c447716a8a1a5bba714ebe74b1aaff8eea1e5a1ad07e3d4a9e1e0cdd9e61,91876,180,False,True,True
e02a753,results/gate1_nominal_weaving_mild_oracle_assisted_validation_selection_dev10_test30/test_selected_checkpoints.csv,4c43111aef0448bebb7c2a20c098aa0a41c1f3955e93cd1650a6287dcee31a8c,1161,6,False,False,False
e02a753,results/gate1_safety_fx60_dropout030_delay2_scout_failure_diag20/seed_aware_multi_vs_no_graph/intercept_3d_strict_sensing_recovered_only_steps.csv,697be7fecfc18ef7555bbe92bd03cf334ee13a07be25fd7a291ee155ece437e1,387,2,False,False,False
e02a753,results/gate1_safety_fx60_dropout030_delay2_scout_failure_diag20/seed_aware_multi_vs_no_graph/intercept_3d_strict_sensing_seed_aware_bootstrap.csv,de89d47d65437f70d28216cb3801a62e58de72908814e85c95e9e8ca10cb01fb,1092,8,False,False,True
e02a753,results/gate1_safety_fx60_dropout030_delay2_scout_failure_diag20/seed_aware_multi_vs_no_graph/intercept_3d_strict_sensing_seed_level_deltas.csv,b25dac7e19962efc23a072c634c1c1ca00628f2e1cfd7710b411cbe5723f0d32,3118,40,False,False,False
e02a753,results/gate1_safety_fx60_dropout030_delay2_scout_failure_diag20/seed_aware_multi_vs_single/intercept_3d_strict_sensing_recovered_only_steps.csv,f926467464a24abd8e1fd0962812a0f61856668e532cffb492d9a4d3578ee6e2,385,2,False,False,False
e02a753,results/gate1_safety_fx60_dropout030_delay2_scout_failure_diag20/seed_aware_multi_vs_single/intercept_3d_strict_sensing_seed_aware_bootstrap.csv,008fd8ae8832b0e45a2cecb2135225047c94f84eadf27eaa90c4f0ab151ca179,1092,8,False,False,True
e02a753,results/gate1_safety_fx60_dropout030_delay2_scout_failure_diag20/seed_aware_multi_vs_single/intercept_3d_strict_sensing_seed_level_deltas.csv,2a0255397db1a8c487e07fef2c65d4cdceb9e5c49a01149b3771ca549b1adb66,3171,40,False,False,False
e02a753,results/gate1_safety_fx60_dropout030_delay2_scout_failure_diag20/validation_checkpoint_summary.csv,3b18ed941f7717c749b8e078023b0259ed4d1f07f3b06de3f5793b5f035ce2dd,4922,15,False,False,False
e02a753,results/gate1_safety_fx60_dropout030_delay2_scout_failure_diag20/validation_episode_metrics.csv,4def685cdc9fdeb04e8bb4c324c7e21589f8b927533e4b26e287467f243ac8e1,180278,300,False,True,True
