split,scenario,graph_encoder,train_seed,checkpoint_update,episodes,success_mean,post_failure_chain_recovered_mean,post_failure_chain_recovery_steps_mean,tracking_during_failure_rate_mean,connectivity_during_failure_mean,steps_mean,timeout_mean,collision_mean,constraint_violation_mean
probe,range075_relay_failure,multi_relation,0,30,20,1,1,5.6,0.9981481482585272,0.19195767281310896,45.6,0,0,0
probe,range075_relay_failure,multi_relation,1,15,20,0.95,0.95,5.894736842105263,0.9589583334513009,0.19922288513609343,56.6,0.05,0,0
probe,range075_relay_failure,multi_relation,2,15,20,1,1,6.5,1,0.19842532638863566,46.5,0,0,0
probe,range075_relay_failure,no_graph,0,20,20,0.25,0.25,4.4,0.22541667338460689,0.15267857429438408,206.1,0.75,0,0
probe,range075_relay_failure,no_graph,1,30,20,0.9,0.9,5.444444444444445,0.5887500175461173,0.4006150869741326,66.9,0.1,0,0
probe,range075_relay_failure,no_graph,2,30,20,0,0,inf,0.009791666958481073,0.04562500098720193,260,1,0,0
probe,range075_relay_failure,single,0,10,20,0.95,0.95,5.052631578947368,0.9535416670143604,0.2786607177023376,55.8,0.05,0,0
probe,range075_relay_failure,single,1,30,20,1,1,5.55,1,0.4145701134074775,45.55,0,0,0
probe,range075_relay_failure,single,2,5,20,0.95,0.95,5.578947368421052,0.9572916667535901,0.4319477596849439,56.3,0.05,0,0
