epoch,loss,action_accuracy,attacker_action_accuracy,support_action_accuracy,samples,demo_success_rate,balanced_loss,geometric_policy_mode,attacker_action_weight
1,2.231954309998489,0.282609738546414,0.17793235787958744,0.3349484288798273,20845,0.9083333611488342,1,offset,2.0
2,1.9241036103992928,0.4070840329415527,0.307795634444711,0.4567282321899736,20845,0.9083333611488342,1,offset,2.0
3,1.751501755743492,0.41404013752298713,0.3447349484288798,0.4486927320700408,20845,0.9083333611488342,1,offset,2.0
4,1.6486321382406282,0.4179259614615815,0.3639242024466299,0.4449268409690573,20845,0.9083333611488342,1,offset,2.0
5,1.5537338038770163,0.4356600303829855,0.40259054929239624,0.45219477092828014,20845,0.9083333611488342,1,offset,2.0
6,1.451675987825161,0.43793075877508597,0.4245142720076757,0.4446390021587911,20845,0.9083333611488342,1,offset,2.0
7,1.3605403514896952,0.44970016790597267,0.427872391460782,0.460614056128568,20845,0.9083333611488342,1,offset,2.0
8,1.3024208284005887,0.447141600703606,0.4323818661549532,0.45452146797793236,20845,0.9083333611488342,1,offset,2.0
9,1.2474362217798465,0.4536979291596706,0.4418325737586951,0.45963060686015833,20845,0.9083333611488342,1,offset,2.0
10,1.2085694605257453,0.4646517949948029,0.4629407531782202,0.46550731590309424,20845,0.9083333611488342,1,offset,2.0
11,1.1570232430609262,0.48005117134404734,0.4751259294794915,0.48251379227632524,20845,0.9083333611488342,1,offset,2.0
12,1.1184145183098027,0.4804669385144319,0.47814823698728715,0.4816262892780043,20845,0.9083333611488342,1,offset,2.0
13,1.090059491919308,0.48641560725993443,0.4729191652674502,0.49316382825617655,20845,0.9083333611488342,1,offset,2.0
14,1.0599006850544999,0.4818901415207484,0.4715759174862077,0.4870472535380187,20845,0.9083333611488342,1,offset,2.0
15,1.0191274016368679,0.5009194850883505,0.4803550011993284,0.5112017270328616,20845,0.9083333611488342,1,offset,2.0
16,1.002134810860564,0.5028703925801551,0.46649076517150395,0.5210602062844807,20845,0.9083333611488342,1,offset,2.0
17,0.9591533759745156,0.5136803390101543,0.4798752698488846,0.5305828735907892,20845,0.9083333611488342,1,offset,2.0
18,0.9355961193398732,0.510482130007196,0.4523386903334133,0.5395538498440873,20845,0.9083333611488342,1,offset,2.0
19,0.9116169650380205,0.5156152554569441,0.4739745742384265,0.536435596066203,20845,0.9083333611488342,1,offset,2.0
20,0.8925636984953066,0.5226353242184377,0.46941712640921085,0.5492444231230511,20845,0.9083333611488342,1,offset,2.0
