cohort,anchor_seed,explorer_seeds,units,signal_fraction,median_explorer_disagreement_js,median_pairwise_explorer_js,median_centroid_anchor_tv,support
A,71011,71011|71012|71013,504,0.0,0.3194347023963928,0.5607866644859314,0.9552750587463379,False
A,71012,71012|71013|71014,504,0.0,0.2804100215435028,0.5211235880851746,0.9106606245040894,False
A,71013,71013|71014|71015,504,0.0,0.24477511644363403,0.45107191801071167,0.8127760291099548,False
A,71014,71014|71015|71011,504,0.0,0.1973453164100647,0.38914793729782104,0.754501461982727,False
A,71015,71015|71011|71012,504,0.0,0.20957277715206146,0.42011433839797974,0.9725170731544495,False
B,71021,71021|71022|71023,504,0.0,0.2763756513595581,0.5345385074615479,0.9840599298477173,False
B,71022,71022|71023|71024,504,0.0,0.32819563150405884,0.6371198892593384,0.6864807605743408,False
B,71023,71023|71024|71025,504,0.0,0.3615492284297943,0.6335489153862,0.8257347345352173,False
B,71024,71024|71025|71021,504,0.0,0.3593379259109497,0.6245524883270264,0.739240825176239,False
B,71025,71025|71021|71022,504,0.0,0.29713740944862366,0.5465500950813293,0.623376727104187,False
