method,seed,update,mean,sd,min,max,mean_abs_drift,saturation_fraction,relation0_mean,relation1_mean,relation2_mean,checkpoint
full,1,700,0.5238739770845875,0.04079619291371884,0.4472970820710335,0.6261280701104156,0.0196717204255166,0.0,0.520874534153287,0.5250998422761146,0.5256475548243607,D:\Code\Codex\ri_gmappo_uav\results\paper_config_runs\formal_budget_post_sixth_freeze_v1.4_formal_main_20260802\ea_rg_mappo_s_gate_prior\ppo_seed1_1m\actor_critic_update_0700.pt
full,1,800,0.5238710406013761,0.04078640248358235,0.44738232171740383,0.6261096380761785,0.019673348804297427,0.0,0.5208672141278068,0.5250987600338061,0.5256471476425155,D:\Code\Codex\ri_gmappo_uav\results\paper_config_runs\formal_budget_post_sixth_freeze_v1.4_formal_main_20260802\ea_rg_mappo_s_gate_prior\ppo_seed1_1m\actor_critic_update_0800.pt
full,1,900,0.5238675544352408,0.04079137224225793,0.44727428620324905,0.6261154705081317,0.019671197544284393,0.0,0.5208644682571082,0.5250958737741022,0.5256423212745118,D:\Code\Codex\ri_gmappo_uav\results\paper_config_runs\formal_budget_post_sixth_freeze_v1.4_formal_main_20260802\ea_rg_mappo_s_gate_prior\ppo_seed1_1m\actor_critic_update_0900.pt
full,1,977,0.5238682961546988,0.040792457829815366,0.44718068106200076,0.626128684040154,0.019674122334194865,0.0,0.5208629281899081,0.5250994626567399,0.5256424976174485,D:\Code\Codex\ri_gmappo_uav\results\paper_config_runs\formal_budget_post_sixth_freeze_v1.4_formal_main_20260802\ea_rg_mappo_s_gate_prior\ppo_seed1_1m\actor_critic_update_0977.pt
full,2,100,0.5242608550717718,0.04109961851577634,0.45156046155565815,0.6276807187798681,0.01949868208629242,0.0,0.5226824057955496,0.5251277958264915,0.5249723635932741,D:\Code\Codex\ri_gmappo_uav\results\paper_config_runs\formal_budget_post_sixth_freeze_v1.4_formal_main_20260802\ea_rg_mappo_s_gate_prior\ppo_seed2_1m\actor_critic_update_0100.pt
full,2,200,0.5242608296923675,0.04110074009874935,0.45137611426684665,0.6277174778982479,0.019501019849027412,0.0,0.5226805683233977,0.5251247402999444,0.5249771804537606,D:\Code\Codex\ri_gmappo_uav\results\paper_config_runs\formal_budget_post_sixth_freeze_v1.4_formal_main_20260802\ea_rg_mappo_s_gate_prior\ppo_seed2_1m\actor_critic_update_0200.pt
full,2,300,0.5242555068456538,0.04109801523110737,0.4511426475268278,0.6277463659908373,0.019494271098287448,0.0,0.522676781836578,0.5251139109878494,0.5249758277125339,D:\Code\Codex\ri_gmappo_uav\results\paper_config_runs\formal_budget_post_sixth_freeze_v1.4_formal_main_20260802\ea_rg_mappo_s_gate_prior\ppo_seed2_1m\actor_critic_update_0300.pt
full,2,400,0.5242582331661776,0.041099133403003224,0.4511052524843648,0.6276386508304447,0.019494567057883348,0.0,0.5226750621931107,0.5251171987413683,0.5249824385640537,D:\Code\Codex\ri_gmappo_uav\results\paper_config_runs\formal_budget_post_sixth_freeze_v1.4_formal_main_20260802\ea_rg_mappo_s_gate_prior\ppo_seed2_1m\actor_critic_update_0400.pt
full,2,500,0.5242593040400533,0.041098222194110835,0.4510829227233193,0.6278343060899996,0.019494060383805998,0.0,0.5226775269292608,0.5251203976673605,0.5249799875235386,D:\Code\Codex\ri_gmappo_uav\results\paper_config_runs\formal_budget_post_sixth_freeze_v1.4_formal_main_20260802\ea_rg_mappo_s_gate_prior\ppo_seed2_1m\actor_critic_update_0500.pt
full,2,600,0.5242633359344279,0.04109679465317969,0.4509145629693226,0.6278072174297792,0.019503049786507982,0.0,0.5226763827285411,0.5251232566785263,0.5249903683962164,D:\Code\Codex\ri_gmappo_uav\results\paper_config_runs\formal_budget_post_sixth_freeze_v1.4_formal_main_20260802\ea_rg_mappo_s_gate_prior\ppo_seed2_1m\actor_critic_update_0600.pt
