method,update,mean_pairwise_pearson,min_pairwise_pearson,mean_pairwise_l2,cross_seed_sd
full,100,0.9617003396593358,0.9488940880120138,0.13668986647684003,0.002683973969948442
full,200,0.9616582196578647,0.9487652858186569,0.13676674481323445,0.0026863724873146927
full,300,0.9616749676857185,0.9487701575458712,0.13674051044876287,0.002686251379638042
full,400,0.9617952701184019,0.9489249682664497,0.13653508723533736,0.002682336712906581
full,500,0.9617415755413585,0.9489213633121104,0.13663852447532782,0.002682109881919912
full,600,0.9617646499232171,0.9489662256571063,0.1365975713033365,0.0026848119967929586
full,700,0.9616014959491697,0.9488042239872986,0.13690138726207796,0.0026903332972802985
full,800,0.9616466362108466,0.9488267722934391,0.1367906437415216,0.00268688059131628
full,900,0.961680384703242,0.948882989537207,0.13673099127302119,0.0026823055700309446
full,977,0.9616146112430356,0.9488456313450018,0.1368520243075121,0.002682603954070115
w_o_gate_prior,100,0.5618598648492975,0.5087189340227953,0.18998608703565467,0.0036597746952637235
w_o_gate_prior,200,0.5614225308375808,0.5083441653928296,0.19008954785813184,0.0036601271895290565
w_o_gate_prior,300,0.5613306295034907,0.507500832558372,0.1901374754654769,0.0036584148284630673
w_o_gate_prior,400,0.5608460024979552,0.5075464634235013,0.19033752033814658,0.003662433339298475
w_o_gate_prior,500,0.5612856222601473,0.5083491927710313,0.19030860568994068,0.0036621509720667043
w_o_gate_prior,600,0.5613527249434208,0.5085184049843748,0.19030351357095077,0.003662289526884339
w_o_gate_prior,700,0.5621999507699632,0.5090050912529445,0.19010930831606107,0.0036590044279106266
w_o_gate_prior,800,0.5627988641639337,0.5097977939063837,0.18999764477321593,0.0036548103012368585
w_o_gate_prior,900,0.5623733400221606,0.5096677341851272,0.1900442483421422,0.003655589260175905
w_o_gate_prior,977,0.5626023778179164,0.5099187773690451,0.19002181951665167,0.00365880868370704
