metric,label,unit,higher_is_better,n_training_seeds,n_matched_episodes_total,single,multi_relation,delta_proposed_minus_baseline,delta_ci_low,delta_ci_high,bootstrap_samples,bootstrap_seed
success,Task success,rate,true,3,60,0.9666666667,0.9833333333,0.01666666667,-0.06666666667,0.1,3000,20260717
post_failure_chain_recovered,Post-failure chain recovered,rate,true,3,60,0.9666666667,0.9833333333,0.01666666667,-0.06666666667,0.1,3000,20260717
timeout,Timeout,rate,false,3,60,0.03333333333,0.01666666667,-0.01666666667,-0.1,0.06666666667,3000,20260717
capped_recovery_steps,Restricted mean recovery steps,steps,false,3,60,12.55,9.566666667,-2.983333333,-20.33333333,14.56666667,3000,20260717
tracking_during_failure_rate,Tracking during failure,rate,true,3,60,0.9702777779,0.9857021606,0.01542438265,-0.05402777766,0.08459876528,3000,20260717
connectivity_during_failure,Connectivity during failure,rate,true,3,60,0.3750595303,0.1965352948,-0.1785242355,-0.2402154249,-0.0891515679,3000,20260717
chain_closed_during_failure_rate,Chain closure during failure,rate,true,3,60,0.1580357143,0.1503914141,-0.007644300144,-0.01646046777,0.002304262867,3000,20260717
steps,Episode length,steps,false,3,60,52.55,49.56666667,-2.983333333,-20.33333333,14.56666667,3000,20260717
