acceleration_mean,difficulty_std,difficulty_weight_corr,dominance_gt030_fraction,dw_max,dw_mean,dw_median,dw_p90,dw_p95,first_update,last_update,max_group_dominance,seed,status,top1_switches,top2_composition_changes,tv_weight,weight_entropy_mean,weight_entropy_min,weight_updates,window
0.004228912679336336,0.21052502921969704,0.1013726634575071,0.8704918032786885,0.1980864688888228,0.01222646781049551,0.00856974175721098,0.02548782314380759,0.033585085697365256,32,39040,0.35,1901,ok,58,20,14.904064260994026,1.5784056707365768,1.4861692026646607,1220,all
0.026881764247371053,0.6832796302067349,0.31799754125709195,0.8,0.1980864688888228,0.046540316844512666,0.030907890753017586,0.11754575240493337,0.16391341646575253,32,960,0.35,1901,ok,2,2,1.3496691884908674,1.5950486219745394,1.5306264181953912,30,0_0.25M
0.010206550711614405,0.20993250624274934,0.10579370960506937,0.967741935483871,0.1092940413356444,0.03670340378516929,0.030663947377908847,0.056533894753177175,0.08557124355798916,992,1952,0.35,1901,ok,2,0,1.1011021135550787,1.6213793875408968,1.5470870378876707,31,0.25_0.5M
0.007949814863592102,0.09037190217278583,-0.0009077135354270953,0.639344262295082,0.060598067808273925,0.030141974570829143,0.02963810489183616,0.04739345560001779,0.049175123128718766,1984,3904,0.35,1901,ok,3,4,1.8085184742497487,1.6715324144643717,1.6070653349050559,61,0.5_1M
0.005415699844979244,0.05740683936009502,0.15926965020304,0.4713114754098361,0.046775376947402275,0.016666151204898293,0.015526334533212394,0.02805715887514478,0.03201403919633516,3936,11712,0.35,1901,ok,9,10,4.049874742790285,1.6740589956647673,1.5845498412898347,244,1_3M
0.002601941142823098,0.04591794496685566,0.4155425710637334,1.0,0.04354772988020886,0.007541744165701512,0.00628238015615238,0.01380309214280549,0.016915312107831697,11744,39040,0.35,1901,ok,42,3,6.43310777334339,1.54227965620737,1.4861692026646607,854,3_10M
0.004370544008260839,0.18071667301241237,0.1371231129952965,0.8442622950819673,0.1729790776161387,0.013370238607577122,0.010507898660183743,0.02480901394773491,0.03200009865818005,32,39040,0.35,1902,ok,32,22,16.298320862636512,1.5917995185218425,1.4688033259150555,1220,all
0.019629690281086375,0.7548205918001893,0.13774685576350582,0.5666666666666667,0.1729790776161387,0.036843742127617346,0.031313264876997024,0.06171784143535723,0.13030666544785852,32,960,0.35,1902,ok,2,3,1.0684685217009031,1.7069848231495341,1.5434857543933276,30,0_0.25M
0.007396896988153093,0.16278098992770787,0.6158053886596898,1.0,0.054640047563641644,0.012784130885250034,0.009933590092411668,0.025124787725561547,0.033794424880939755,992,1952,0.35,1902,ok,6,0,0.383523926557501,1.4929262290529433,1.4688033259150555,31,0.25_0.5M
0.004321161737671955,0.08747009596400515,0.3783369783188831,0.9344262295081968,0.033495208233368046,0.014370128892027656,0.012595314792006408,0.02475704849853534,0.028267900354641037,1984,3904,0.35,1902,ok,1,1,0.8622077335216594,1.6090167252975962,1.5734956972798075,61,0.5_1M
0.004908128052778177,0.09689300140717758,0.2559856120752477,0.7827868852459017,0.06385787641660798,0.01782309028799894,0.0154483041355708,0.03244674452505214,0.03766478726407804,3936,11712,0.35,1902,ok,4,13,4.331010939983742,1.6069124402101902,1.509515770920965,244,1_3M
0.003577535187723749,0.08163371419548505,0.2341084756044578,0.8594847775175644,0.046165733852279886,0.011150659208193305,0.009311849548330142,0.021512414826180624,0.02510758246604972,11744,39040,0.35,1902,ok,19,5,9.511512304588889,1.5857944954883842,1.490029320967757,854,3_10M
0.0037168201622714133,0.1811758855769543,0.08552183685731127,0.9426229508196722,0.13514774502780097,0.010972834592759533,0.008187578048326996,0.02192953393261235,0.02913289775088644,32,39040,0.35,2001,ok,41,10,13.37588536857387,1.5872673562014015,1.4864105690321225,1220,all
0.02149134329312728,0.7921758164047494,0.05318935224122936,0.43333333333333335,0.13514774502780097,0.0394248532277998,0.0355458176687464,0.09324998879032259,0.10831527727600242,32,960,0.3433552877723706,2001,ok,2,2,1.1433207436061943,1.6689398915958076,1.5975478820888924,30,0_0.25M
0.008839730043507257,0.10074017009365456,0.17817973216859986,0.16129032258064516,0.06436379255809956,0.029369845144308012,0.025998971804027545,0.048165209786459544,0.05355503202189217,992,1952,0.34525492989330286,2001,ok,9,3,0.8810953543292404,1.6515257528014287,1.5565058399269913,31,0.25_0.5M
0.005214869368072725,0.0907755540388536,0.11996873358058703,0.9836065573770492,0.04230079573310616,0.022384291967644913,0.02286406398850317,0.03426513204514796,0.037292738511047245,1984,3904,0.35,2001,ok,3,2,1.3430575180586948,1.6286077103645735,1.508429044674759,61,0.5_1M
0.00396056826114326,0.051791961860445525,0.22368267253567012,0.9180327868852459,0.03353634106002784,0.011284150932842076,0.010890567173836685,0.020874956937249334,0.024169673633733072,3936,11712,0.35,2001,ok,3,2,2.7420486766806245,1.622171752193757,1.5310992547355666,244,1_3M
0.0027714960592521137,0.045726565583781395,0.3513377429843914,0.9929742388758782,0.039134789325675344,0.00843275076577021,0.007063164947406657,0.016011863353318175,0.020274664066981498,11744,39040,0.35,2001,ok,24,1,7.19313640320199,1.569140165823742,1.4864105690321225,854,3_10M
0.003462469760432795,0.13650166328522323,0.17564964577207037,0.9860655737704918,0.15822658991388858,0.01006557722633379,0.0077884702830916044,0.019269881391984035,0.02361176098205546,32,39040,0.35,2002,ok,37,16,12.26993863890089,1.5402180355139574,1.4782584094182127,1220,all
0.02106919308939736,0.5509527171091958,0.11671857935409961,0.7,0.15822658991388858,0.043384371841024554,0.02296920219761485,0.1254546087668516,0.12793714919436278,32,960,0.35,2002,ok,2,3,1.258146783389712,1.6821777056251077,1.6258470856946443,30,0_0.25M
0.00711194009253106,0.09194014477197125,0.4920734846289329,1.0,0.04775624115345237,0.018613541685170813,0.016229272325919853,0.03512626838923313,0.03719289006130408,992,1952,0.35,2002,ok,2,0,0.5584062505551244,1.5750299141695199,1.504054109090836,31,0.25_0.5M
0.004708551313110718,0.11670635735531151,0.18950959603578255,1.0,0.028637844564428555,0.01524988116491588,0.014397059255023405,0.024556533072391976,0.027118358603476018,1984,3904,0.35,2002,ok,2,0,0.9149928698949528,1.5360504114972855,1.492498231683535,61,0.5_1M
0.0038696288732152405,0.08599928472613518,0.32383197281317827,0.9672131147540983,0.0359710409197608,0.013652246968553019,0.012455819670982436,0.022489328672853352,0.026184717593169666,3936,11712,0.35,2002,ok,3,8,3.3174960133583835,1.5551250610579648,1.5012050944338082,244,1_3M
0.0025088249299915146,0.061606997973676886,0.3480727418066556,1.0,0.03054328105936499,0.007208533502631941,0.0064291269364268044,0.01316426033234851,0.015941801919727903,11744,39040,0.35,2002,ok,28,5,6.148879077745046,1.5300060360884578,1.4782584094182127,854,3_10M
0.0035017723342643725,0.13936702242366794,0.15022129842046578,0.9713114754098361,0.16586124289362078,0.009903106172332388,0.006709836926789767,0.02035671291083592,0.0258981262082151,32,39040,0.35,2003,ok,77,8,12.071886424073181,1.53843812777983,1.4767943730354385,1220,all
0.022939444615375306,0.5743283577795681,0.25201143160428174,0.8,0.16586124289362078,0.048148982407699666,0.04286247988125736,0.0988813224251747,0.1256179473961274,32,960,0.35,2003,ok,2,1,1.3963204898232904,1.629713315495645,1.4853452843736374,30,0_0.25M
0.007466696090112703,0.0901363179447499,-0.11040409021785129,0.9354838709677419,0.04875757804049228,0.02809699717915256,0.028536878858645583,0.04152931374460306,0.043745364484227,992,1952,0.35,2003,ok,3,0,0.8429099153745768,1.58584323292646,1.4989309184913595,31,0.25_0.5M
0.006280983426715362,0.07447762673851151,0.2709260182182302,0.5573770491803278,0.03288679246901291,0.01853822528134143,0.019298025301287193,0.028372550602065238,0.029555062019629978,1984,3904,0.35,2003,ok,6,2,1.112293516880486,1.5850970503561146,1.5093031586260337,61,0.5_1M
