method,metric,unit,n_recovered_episodes,mean,note
single,recovered_only_recovery_steps,steps,8,5.625,Conditional on episodes that recovered; use capped_recovery_steps for a comparable recovery-time proxy.
multi_relation,recovered_only_recovery_steps,steps,26,6.038461538,Conditional on episodes that recovered; use capped_recovery_steps for a comparable recovery-time proxy.
