case,train_seed,checkpoint,episodes,success_rate,timeout_rate,collision_rate,mean_steps,mean_initial_range,mean_final_range,mean_min_range,mean_range_reduction,mean_tracking_rate,mean_attack_window_rate,mean_max_attack_geometry_score,episodes_with_attack_geometry_gt_025,episodes_with_attack_geometry_gt_050,episodes_with_attack_window
seed0,0,C:/Users/96251/Documents/Codex/2026-07-12/ni/work/ri_gmappo_uav/results/gate1_target_policy_curriculum_multi_3seed_dev30x2/stage02_weaving_mild/runs/multi_relation/bc_ppo_seed0/actor_critic_update_0030.pt,2,1.0,0.0,0.0,164.5,24721.6103515625,22455.025390625,11809.49951171875,12912.11083984375,0.3167147517792106,0.008549674119824435,0.3247702039247753,1.0,0.0,1.0
seed1,1,C:/Users/96251/Documents/Codex/2026-07-12/ni/work/ri_gmappo_uav/results/gate1_target_policy_curriculum_multi_3seed_dev30x2/stage02_weaving_mild/runs/multi_relation/bc_ppo_seed1/actor_critic_update_0030.pt,2,0.0,1.0,0.0,260.0,24721.7578125,37040.8515625,12194.34521484375,12527.41259765625,0.11153846486256673,0.0,0.06012315712875356,0.0,0.0,0.0
