method,seed,scenario,episode,window,mean_strength,nonzero_fraction,mean_comm_fraction,pair_support_strong,pair_rates
full,0,dropout030_delay2_relay_failure,8,pre_recovery,0.1111111119389534,0.1111111111111111,0.5396825396825397,0,"0.000,0.143,0.000,0.000,0.000,0.000,0.714,0.143,0.000"
full,0,dropout030_delay2_relay_failure,11,pre_failure,0.24444444477558136,0.24444444444444444,0.8166666666666667,0,"0.000,0.750,0.000,0.000,0.000,0.000,0.550,0.900,0.000"
full,0,dropout030_delay2_relay_failure,11,early_post_failure,0.1111111119389534,0.1111111111111111,0.5238095238095238,0,"0.000,0.143,0.000,0.000,0.000,0.000,0.714,0.143,0.000"
full,0,dropout030_delay2_relay_failure,11,pre_recovery,0.1111111119389534,0.1111111111111111,0.5238095238095238,0,"0.000,0.143,0.000,0.000,0.000,0.000,0.714,0.143,0.000"
full,0,dropout030_delay2_relay_failure,10,pre_failure,0.25,0.25,0.8222222222222222,0,"0.000,0.850,0.000,0.000,0.000,0.000,0.550,0.850,0.000"
full,0,dropout030_delay2_relay_failure,10,early_post_failure,0.12345679104328156,0.12345679012345678,0.5185185185185185,0,"0.000,0.111,0.000,0.000,0.000,0.000,1.000,0.000,0.000"
full,0,dropout030_delay2_relay_failure,10,pre_recovery,0.12345679104328156,0.12345679012345678,0.5185185185185185,0,"0.000,0.111,0.000,0.000,0.000,0.000,1.000,0.000,0.000"
full,0,dropout030_delay2_relay_failure,15,pre_failure,0.21111111342906952,0.2111111111111111,0.7888888888888889,0,"0.000,0.700,0.000,0.000,0.000,0.000,0.400,0.800,0.000"
full,0,dropout030_delay2_relay_failure,15,early_post_failure,0.08888889104127884,0.08888888888888889,0.5555555555555556,0,"0.000,0.200,0.000,0.000,0.000,0.000,0.600,0.000,0.000"
full,0,dropout030_delay2_relay_failure,15,pre_recovery,0.08888889104127884,0.08888888888888889,0.5555555555555556,0,"0.000,0.200,0.000,0.000,0.000,0.000,0.600,0.000,0.000"
full,0,dropout030_delay2_relay_failure,12,pre_failure,0.22777777910232544,0.22777777777777777,0.7833333333333333,0,"0.000,0.600,0.000,0.000,0.000,0.000,0.750,0.700,0.000"
full,0,dropout030_delay2_relay_failure,12,early_post_failure,0.095238097012043,0.09523809523809523,0.5555555555555556,0,"0.000,0.143,0.000,0.000,0.000,0.000,0.571,0.143,0.000"
full,0,dropout030_delay2_relay_failure,12,pre_recovery,0.095238097012043,0.09523809523809523,0.5555555555555556,0,"0.000,0.143,0.000,0.000,0.000,0.000,0.571,0.143,0.000"
full,0,dropout030_delay2_relay_failure,13,pre_failure,0.20000000298023224,0.2,0.7611111111111111,0,"0.000,0.750,0.000,0.000,0.000,0.000,0.300,0.750,0.000"
full,0,dropout030_delay2_relay_failure,13,early_post_failure,0.0972222238779068,0.09722222222222222,0.5416666666666666,0,"0.000,0.125,0.000,0.000,0.000,0.000,0.750,0.000,0.000"
full,0,dropout030_delay2_relay_failure,13,pre_recovery,0.0972222238779068,0.09722222222222222,0.5416666666666666,0,"0.000,0.125,0.000,0.000,0.000,0.000,0.750,0.000,0.000"
full,0,dropout030_delay2_relay_failure,14,pre_failure,0.2222222238779068,0.2222222222222222,0.8055555555555556,0,"0.000,0.750,0.000,0.000,0.000,0.000,0.550,0.700,0.000"
full,0,dropout030_delay2_relay_failure,14,early_post_failure,0.0793650820851326,0.07936507936507936,0.4973544973544973,0,"0.000,0.000,0.000,0.000,0.000,0.000,0.667,0.048,0.000"
full,0,dropout030_delay2_relay_failure,19,pre_failure,0.23333333432674408,0.23333333333333334,0.8277777777777777,0,"0.000,0.900,0.000,0.000,0.000,0.000,0.550,0.650,0.000"
full,0,dropout030_delay2_relay_failure,19,early_post_failure,0.1111111119389534,0.1111111111111111,0.5,0,"0.000,0.167,0.000,0.000,0.000,0.000,0.667,0.167,0.000"
full,0,dropout030_delay2_relay_failure,19,pre_recovery,0.1111111119389534,0.1111111111111111,0.5,0,"0.000,0.167,0.000,0.000,0.000,0.000,0.667,0.167,0.000"
full,0,dropout030_delay2_relay_failure,17,pre_failure,0.23333333432674408,0.23333333333333334,0.8,0,"0.000,0.750,0.000,0.000,0.000,0.000,0.600,0.750,0.000"
full,0,dropout030_delay2_relay_failure,17,early_post_failure,0.1111111119389534,0.1111111111111111,0.5555555555555556,0,"0.000,0.143,0.000,0.000,0.000,0.000,0.714,0.143,0.000"
full,0,dropout030_delay2_relay_failure,17,pre_recovery,0.1111111119389534,0.1111111111111111,0.5555555555555556,0,"0.000,0.143,0.000,0.000,0.000,0.000,0.714,0.143,0.000"
full,0,dropout030_delay2_relay_failure,16,pre_failure,0.23333333432674408,0.23333333333333334,0.7777777777777778,0,"0.000,0.750,0.000,0.000,0.000,0.000,0.600,0.750,0.000"
full,0,dropout030_delay2_relay_failure,16,early_post_failure,0.0972222238779068,0.09722222222222222,0.5277777777777778,0,"0.000,0.125,0.000,0.000,0.000,0.000,0.625,0.125,0.000"
full,0,dropout030_delay2_relay_failure,16,pre_recovery,0.0972222238779068,0.09722222222222222,0.5277777777777778,0,"0.000,0.125,0.000,0.000,0.000,0.000,0.625,0.125,0.000"
full,0,dropout030_delay2_relay_failure,18,pre_failure,0.23333333432674408,0.23333333333333334,0.7777777777777778,0,"0.000,0.850,0.000,0.000,0.000,0.000,0.550,0.700,0.000"
full,0,dropout030_delay2_relay_failure,18,early_post_failure,0.12345679104328156,0.12345679012345678,0.5555555555555556,0,"0.000,0.111,0.000,0.000,0.000,0.000,0.889,0.111,0.000"
full,0,dropout030_delay2_relay_failure,18,pre_recovery,0.12345679104328156,0.12345679012345678,0.5555555555555556,0,"0.000,0.111,0.000,0.000,0.000,0.000,0.889,0.111,0.000"
full,0,dropout030_delay2_relay_failure,20,pre_failure,0.22777777910232544,0.22777777777777777,0.7777777777777778,0,"0.000,0.800,0.000,0.000,0.000,0.000,0.650,0.600,0.000"
full,0,dropout030_delay2_relay_failure,20,early_post_failure,0.13333334028720856,0.13333333333333333,0.5777777777777777,0,"0.000,0.200,0.000,0.000,0.000,0.000,0.800,0.200,0.000"
full,0,dropout030_delay2_relay_failure,20,pre_recovery,0.13333334028720856,0.13333333333333333,0.5777777777777777,0,"0.000,0.200,0.000,0.000,0.000,0.000,0.800,0.200,0.000"
full,0,dropout030_delay2_relay_failure,23,pre_failure,0.23888888955116272,0.2388888888888889,0.7888888888888889,0,"0.000,0.700,0.000,0.000,0.000,0.000,0.850,0.600,0.000"
full,0,dropout030_delay2_relay_failure,23,early_post_failure,0.13333334028720856,0.13333333333333333,0.5777777777777777,0,"0.000,0.200,0.000,0.000,0.000,0.000,0.800,0.200,0.000"
full,0,dropout030_delay2_relay_failure,23,pre_recovery,0.13333334028720856,0.13333333333333333,0.5777777777777777,0,"0.000,0.200,0.000,0.000,0.000,0.000,0.800,0.200,0.000"
full,0,dropout030_delay2_relay_failure,21,pre_failure,0.21111111342906952,0.2111111111111111,0.7666666666666667,0,"0.000,0.650,0.000,0.000,0.000,0.000,0.550,0.700,0.000"
full,0,dropout030_delay2_relay_failure,21,early_post_failure,0.1111111119389534,0.1111111111111111,0.5238095238095238,0,"0.000,0.143,0.000,0.000,0.000,0.000,0.857,0.000,0.000"
full,0,dropout030_delay2_relay_failure,21,pre_recovery,0.1111111119389534,0.1111111111111111,0.5238095238095238,0,"0.000,0.143,0.000,0.000,0.000,0.000,0.857,0.000,0.000"
full,0,dropout030_delay2_relay_failure,22,pre_failure,0.20555555820465088,0.20555555555555555,0.7666666666666667,0,"0.000,0.700,0.000,0.000,0.000,0.000,0.450,0.700,0.000"
full,0,dropout030_delay2_relay_failure,22,early_post_failure,0.06172839552164078,0.06172839506172839,0.4691358024691358,0,"0.000,0.111,0.000,0.000,0.000,0.000,0.444,0.000,0.000"
full,0,dropout030_delay2_relay_failure,22,pre_recovery,0.06172839552164078,0.06172839506172839,0.4691358024691358,0,"0.000,0.111,0.000,0.000,0.000,0.000,0.444,0.000,0.000"
full,0,dropout030_delay2_relay_failure,25,pre_failure,0.21111111342906952,0.2111111111111111,0.7888888888888889,0,"0.000,0.850,0.000,0.000,0.000,0.000,0.700,0.350,0.000"
full,0,dropout030_delay2_relay_failure,25,early_post_failure,0.06666667014360428,0.06666666666666667,0.5111111111111111,0,"0.000,0.000,0.000,0.000,0.000,0.000,0.400,0.200,0.000"
full,0,dropout030_delay2_relay_failure,25,pre_recovery,0.06666667014360428,0.06666666666666667,0.5111111111111111,0,"0.000,0.000,0.000,0.000,0.000,0.000,0.400,0.200,0.000"
full,0,dropout030_delay2_relay_failure,27,pre_failure,0.2222222238779068,0.2222222222222222,0.8111111111111111,0,"0.000,0.650,0.000,0.000,0.000,0.000,0.600,0.750,0.000"
full,0,dropout030_delay2_relay_failure,27,early_post_failure,0.13333334028720856,0.13333333333333333,0.5777777777777777,0,"0.000,0.200,0.000,0.000,0.000,0.000,0.800,0.200,0.000"
full,0,dropout030_delay2_relay_failure,27,pre_recovery,0.13333334028720856,0.13333333333333333,0.5777777777777777,0,"0.000,0.200,0.000,0.000,0.000,0.000,0.800,0.200,0.000"
full,0,dropout030_delay2_relay_failure,24,pre_failure,0.21666666865348816,0.21666666666666667,0.7388888888888889,0,"0.000,0.700,0.000,0.000,0.000,0.000,0.550,0.700,0.000"
full,0,dropout030_delay2_relay_failure,24,early_post_failure,0.0793650820851326,0.07936507936507936,0.49206349206349204,0,"0.000,0.000,0.000,0.000,0.000,0.000,0.571,0.143,0.000"
full,0,dropout030_delay2_relay_failure,24,pre_recovery,0.0793650820851326,0.07936507936507936,0.49206349206349204,0,"0.000,0.000,0.000,0.000,0.000,0.000,0.571,0.143,0.000"
full,0,dropout030_delay2_relay_failure,26,pre_failure,0.20555555820465088,0.20555555555555555,0.7388888888888889,0,"0.000,0.500,0.000,0.000,0.000,0.000,0.700,0.650,0.000"
full,0,dropout030_delay2_relay_failure,26,early_post_failure,0.07407407462596893,0.07407407407407407,0.5185185185185185,0,"0.000,0.111,0.000,0.000,0.000,0.000,0.556,0.000,0.000"
full,0,dropout030_delay2_relay_failure,26,pre_recovery,0.07407407462596893,0.07407407407407407,0.5185185185185185,0,"0.000,0.111,0.000,0.000,0.000,0.000,0.556,0.000,0.000"
full,0,dropout030_delay2_relay_failure,30,pre_failure,0.20000000298023224,0.2,0.7277777777777777,0,"0.000,0.650,0.000,0.000,0.000,0.000,0.500,0.650,0.000"
full,0,dropout030_delay2_relay_failure,30,early_post_failure,0.1111111119389534,0.1111111111111111,0.5740740740740741,0,"0.000,0.167,0.000,0.000,0.000,0.000,0.833,0.000,0.000"
full,0,dropout030_delay2_relay_failure,30,pre_recovery,0.1111111119389534,0.1111111111111111,0.5740740740740741,0,"0.000,0.167,0.000,0.000,0.000,0.000,0.833,0.000,0.000"
