method,seed,scenario,episode,ref_success,ref_collision,ref_steps,ref_failure_step,ref_recovered,ref_recovery_step,ref_action_hash,ts_window_pre_failure,ts_window_early_post,ok_success,ok_steps,ok_fail,ok_rec,ok_hash,ok_pre_window,ok_early_window
w_o_task_support,0,dropout030_delay2_relay_failure,4,1.0,0.0,47,39,1.0,47,102fdfde7d22c92c,0.0,0.0,True,True,True,True,True,True,True
w_o_task_support,0,dropout030_delay2_relay_failure_early,0,1.0,0.0,44,24,1.0,44,8e891863066705bf,0.0,0.0,True,True,True,True,True,True,True
w_o_task_support,0,dropout030_delay2_relay_failure_early,1,1.0,0.0,45,24,1.0,45,6260bfb7db60bcf1,0.0,0.0,True,True,True,True,True,True,True
w_o_task_support,0,dropout030_delay2_relay_failure_early,2,1.0,0.0,45,24,1.0,45,c963ba70574da43e,0.0,0.0,True,True,True,True,True,True,True
w_o_task_support,0,dropout030_delay2_relay_failure_early,3,1.0,0.0,45,24,1.0,45,c8edafcefacebe2b,0.0,0.0,True,True,True,True,True,True,True
w_o_task_support,0,dropout030_delay2_relay_failure_early,4,1.0,0.0,48,24,1.0,48,492cd18b530b1e74,0.0,0.0,True,True,True,True,True,True,True
w_o_task_support,1,dropout030_delay2_relay_failure,0,0.0,0.0,260,39,0.0,-1,a51f47fcf2a58ced,0.0,0.0,True,True,True,True,True,True,True
w_o_task_support,1,dropout030_delay2_relay_failure,1,0.0,0.0,260,39,0.0,-1,bf4956c7efcff3aa,0.0,0.0,True,True,True,True,True,True,True
w_o_task_support,1,dropout030_delay2_relay_failure,2,1.0,0.0,45,39,1.0,45,37e1c47d1bea4638,0.0,0.0,True,True,True,True,True,True,True
w_o_task_support,1,dropout030_delay2_relay_failure,3,1.0,0.0,45,39,1.0,45,212a2ef24d532ed6,0.0,0.0,True,True,True,True,True,True,True
w_o_task_support,1,dropout030_delay2_relay_failure,4,1.0,0.0,233,39,1.0,233,ad9c85dc2ea1d3d0,0.0,0.0,True,True,True,True,True,True,True
w_o_task_support,1,dropout030_delay2_relay_failure_early,0,0.0,0.0,260,24,0.0,-1,b43bba369c9358eb,0.0,0.0,True,True,True,True,True,True,True
w_o_task_support,1,dropout030_delay2_relay_failure_early,1,0.0,0.0,260,24,0.0,-1,1839fe4f74edc9d5,0.0,0.0,True,True,True,True,True,True,True
w_o_task_support,1,dropout030_delay2_relay_failure_early,2,1.0,0.0,45,24,1.0,45,14ec45661cc42de8,0.0,0.0,True,True,True,True,True,True,True
w_o_task_support,1,dropout030_delay2_relay_failure_early,3,0.0,0.0,260,24,0.0,-1,b2b796cbdc07448d,0.0,0.0,True,True,True,True,True,True,True
w_o_task_support,1,dropout030_delay2_relay_failure_early,4,1.0,0.0,47,24,1.0,47,bb6909dea25211ae,0.0,0.0,True,True,True,True,True,True,True
w_o_task_support,2,dropout030_delay2_relay_failure,0,1.0,0.0,44,39,1.0,44,311fac98ed3a04c8,0.0,0.0,True,True,True,True,True,True,True
w_o_task_support,2,dropout030_delay2_relay_failure,1,1.0,0.0,44,39,1.0,44,fdbf63221f3e23a2,0.0,0.0,True,True,True,True,True,True,True
w_o_task_support,2,dropout030_delay2_relay_failure,2,1.0,0.0,45,39,1.0,45,745384ce1b218377,0.0,0.0,True,True,True,True,True,True,True
w_o_task_support,2,dropout030_delay2_relay_failure,3,1.0,0.0,45,39,1.0,45,9264d4e01ac77933,0.0,0.0,True,True,True,True,True,True,True
w_o_task_support,2,dropout030_delay2_relay_failure,4,1.0,0.0,49,39,1.0,49,e73c110464a3844a,0.0,0.0,True,True,True,True,True,True,True
w_o_task_support,2,dropout030_delay2_relay_failure_early,0,1.0,0.0,125,24,1.0,125,67ddb282f5f10ef7,0.0,0.0,True,True,True,True,True,True,True
w_o_task_support,2,dropout030_delay2_relay_failure_early,1,1.0,0.0,125,24,1.0,125,370c43d48165f819,0.0,0.0,True,True,True,True,True,True,True
w_o_task_support,2,dropout030_delay2_relay_failure_early,2,1.0,0.0,45,24,1.0,45,30c61c4dfeaa5f9b,0.0,0.0,True,True,True,True,True,True,True
w_o_task_support,2,dropout030_delay2_relay_failure_early,3,1.0,0.0,45,24,1.0,45,919ad04f0344e249,0.0,0.0,True,True,True,True,True,True,True
w_o_task_support,2,dropout030_delay2_relay_failure_early,4,0.0,0.0,260,24,0.0,-1,dd2ac03c32a0e192,0.0,0.0,True,True,True,True,True,True,True
