cohort,seed,bin_id,update_start,update_end,environment_steps_million_end,utr_mean_train_reward,drtp_mean_train_reward,drtp_minus_utr_train_reward
formal_2301_2305,2301,0,1,500,0.128,-0.01236868338422937,-0.00437662923829339,0.00799205414593598
formal_2301_2305,2302,0,1,500,0.128,0.012481974668509793,0.01882025112133124,0.006338276452821447
formal_2301_2305,2303,0,1,500,0.128,-0.0053728668362200555,0.0038747015983935855,0.009247568434613641
formal_2301_2305,2304,0,1,500,0.128,-0.016259788463619772,-0.0216296704330598,-0.005369881969440028
formal_2301_2305,2305,0,1,500,0.128,-0.007445898532052525,0.0019448232187132817,0.009390721750765807
formal_2301_2305,2301,1,501,1000,0.256,0.024166659071110187,0.0014239923558343436,-0.022742666715275844
formal_2301_2305,2302,1,501,1000,0.256,0.0683915081112209,0.040413047907139114,-0.027978460204081783
formal_2301_2305,2303,1,501,1000,0.256,0.026116418348016396,0.05921478270428451,0.03309836435626812
formal_2301_2305,2304,1,501,1000,0.256,0.030015000798372056,0.06015269665624146,0.030137695857869407
formal_2301_2305,2305,1,501,1000,0.256,0.022660368818211284,0.05972155516350176,0.03706118634529048
formal_2301_2305,2301,2,1001,1500,0.384,0.07432192251019296,0.04852775094943354,-0.025794171560759416
formal_2301_2305,2302,2,1001,1500,0.384,0.08287868937617168,0.07496868506509054,-0.007910004311081145
formal_2301_2305,2303,2,1001,1500,0.384,0.07796301767230034,0.08989758735452778,0.011934569682227447
formal_2301_2305,2304,2,1001,1500,0.384,0.055842014344685595,0.08116664074524306,0.025324626400557465
formal_2301_2305,2305,2,1001,1500,0.384,0.09394385156861972,0.06644021830148995,-0.027503633267129762
formal_2301_2305,2301,3,1501,2000,0.512,0.08930382991721854,0.09205226959967149,0.0027484396824529467
formal_2301_2305,2302,3,1501,2000,0.512,0.10985040220990777,0.10819302954524755,-0.00165737266466022
formal_2301_2305,2303,3,1501,2000,0.512,0.08421630060859024,0.07598728118749568,-0.008229019421094566
formal_2301_2305,2304,3,1501,2000,0.512,0.07840203682600987,0.059199754649191166,-0.0192022821768187
formal_2301_2305,2305,3,1501,2000,0.512,0.10270617028644029,0.09355754736135714,-0.009148622925083144
formal_2301_2305,2301,4,2001,2500,0.64,0.07838409590537776,0.12971706153266133,0.05133296562728357
formal_2301_2305,2302,4,2001,2500,0.64,0.1179229323118925,0.11585181960230694,-0.002071112709585571
formal_2301_2305,2303,4,2001,2500,0.64,0.11347928977012635,0.10655362930893898,-0.006925660461187366
formal_2301_2305,2304,4,2001,2500,0.64,0.08515930597065016,0.06681199951113376,-0.018347306459516405
formal_2301_2305,2305,4,2001,2500,0.64,0.11925907191261649,0.09942495093680918,-0.019834120975807307
formal_2301_2305,2301,5,2501,3000,0.768,0.12253978375624865,0.16005314521119,0.037513361454941344
formal_2301_2305,2302,5,2501,3000,0.768,0.09036372535582632,0.1192714637350291,0.028907738379202783
formal_2301_2305,2303,5,2501,3000,0.768,0.10299515409395099,0.13289157002046703,0.02989641592651604
formal_2301_2305,2304,5,2501,3000,0.768,0.10065863380860537,0.10501454266936708,0.004355908860761704
formal_2301_2305,2305,5,2501,3000,0.768,0.1267976933196187,0.08036713807471096,-0.046430555244907745
formal_2301_2305,2301,6,3001,3500,0.896,0.14262090118974446,0.08293870157387573,-0.059682199615868736
formal_2301_2305,2302,6,3001,3500,0.896,0.11907063468918204,0.1360431637018919,0.01697252901270986
formal_2301_2305,2303,6,3001,3500,0.896,0.11996829713601619,0.132126685035415,0.012158387899398812
formal_2301_2305,2304,6,3001,3500,0.896,0.1204603362660855,0.11551611016690731,-0.0049442260991781894
formal_2301_2305,2305,6,3001,3500,0.896,0.12115957782207988,0.09765154940047069,-0.023508028421609192
formal_2301_2305,2301,7,3501,4000,1.024,0.1540516709536314,0.1651747335344553,0.011123062580823906
formal_2301_2305,2302,7,3501,4000,1.024,0.11504088504798711,0.14714431741600856,0.03210343236802145
formal_2301_2305,2303,7,3501,4000,1.024,0.11488850731775165,0.13402535530924797,0.019136847991496328
formal_2301_2305,2304,7,3501,4000,1.024,0.11661454189289361,0.13723010851070286,0.02061556661780925
formal_2301_2305,2305,7,3501,4000,1.024,0.10682990825339221,0.14456508661597037,0.037735178362578156
