cohort,method,seed,bin_id,update_start,update_end,environment_steps_million_end,metric,mean_value
formal_2301_2305,utr_sg,2301,10,5001,5500,1.408,entropy,2.353084331214428
formal_2301_2305,utr_sg,2301,10,5001,5500,1.408,approx_kl,0.0009173837989495344
formal_2301_2305,utr_sg,2301,10,5001,5500,1.408,policy_loss,-0.00197916646843189
formal_2301_2305,utr_sg,2301,10,5001,5500,1.408,value_loss,1.330672729626298
formal_2301_2305,utr_sg,2301,10,5001,5500,1.408,grad_norm,4.7326073522865775
formal_2301_2305,utr_sg,2301,11,5501,6000,1.536,train_avg_reward,0.20097726256400347
formal_2301_2305,utr_sg,2301,11,5501,6000,1.536,entropy,2.289762741804123
formal_2301_2305,utr_sg,2301,11,5501,6000,1.536,approx_kl,0.0010964984532223145
formal_2301_2305,utr_sg,2301,11,5501,6000,1.536,policy_loss,-0.0022195048400882097
formal_2301_2305,utr_sg,2301,11,5501,6000,1.536,value_loss,1.377307286709547
formal_2301_2305,utr_sg,2301,11,5501,6000,1.536,grad_norm,5.088382197201252
formal_2301_2305,utr_sg,2301,12,6001,6500,1.664,train_avg_reward,0.22778124418854714
formal_2301_2305,utr_sg,2301,12,6001,6500,1.664,entropy,2.2637260820269587
formal_2301_2305,utr_sg,2301,12,6001,6500,1.664,approx_kl,0.0011258756195954142
formal_2301_2305,utr_sg,2301,12,6001,6500,1.664,policy_loss,-0.002058570395596601
formal_2301_2305,utr_sg,2301,12,6001,6500,1.664,value_loss,1.4061709560900926
formal_2301_2305,utr_sg,2301,12,6001,6500,1.664,grad_norm,5.015423282802105
formal_2301_2305,utr_sg,2301,13,6501,7000,1.792,train_avg_reward,0.23574517440795897
formal_2301_2305,utr_sg,2301,13,6501,7000,1.792,entropy,2.2548959830999373
formal_2301_2305,utr_sg,2301,13,6501,7000,1.792,approx_kl,0.001135451517653261
formal_2301_2305,utr_sg,2301,13,6501,7000,1.792,policy_loss,-0.00220327152204149
formal_2301_2305,utr_sg,2301,13,6501,7000,1.792,value_loss,1.2067904762998223
formal_2301_2305,utr_sg,2301,13,6501,7000,1.792,grad_norm,5.034957891792059
formal_2301_2305,utr_sg,2301,14,7001,7500,1.92,train_avg_reward,0.23978539901226759
formal_2301_2305,utr_sg,2301,14,7001,7500,1.92,entropy,2.273886728644371
formal_2301_2305,utr_sg,2301,14,7001,7500,1.92,approx_kl,0.0011837775279312456
formal_2301_2305,utr_sg,2301,14,7001,7500,1.92,policy_loss,-0.0023179362420225696
formal_2301_2305,utr_sg,2301,14,7001,7500,1.92,value_loss,1.136181994445622
formal_2301_2305,utr_sg,2301,14,7001,7500,1.92,grad_norm,5.708529672324658
formal_2301_2305,utr_sg,2301,15,7501,8000,2.048,train_avg_reward,0.2355764760673046
formal_2301_2305,utr_sg,2301,15,7501,8000,2.048,entropy,2.276502140045166
formal_2301_2305,utr_sg,2301,15,7501,8000,2.048,approx_kl,0.001250086501495995
formal_2301_2305,utr_sg,2301,15,7501,8000,2.048,policy_loss,-0.002423539062620848
formal_2301_2305,utr_sg,2301,15,7501,8000,2.048,value_loss,1.1133656293675303
formal_2301_2305,utr_sg,2301,15,7501,8000,2.048,grad_norm,5.672278704464436
formal_2301_2305,utr_sg,2301,16,8001,8500,2.176,train_avg_reward,0.23819940935075284
formal_2301_2305,utr_sg,2301,16,8001,8500,2.176,entropy,2.2426114683151246
formal_2301_2305,utr_sg,2301,16,8001,8500,2.176,approx_kl,0.0013076254922301208
formal_2301_2305,utr_sg,2301,16,8001,8500,2.176,policy_loss,-0.002291583606304483
formal_2301_2305,utr_sg,2301,16,8001,8500,2.176,value_loss,1.0914366104826332
formal_2301_2305,utr_sg,2301,16,8001,8500,2.176,grad_norm,5.4353696337640285
formal_2301_2305,utr_sg,2301,17,8501,9000,2.304,train_avg_reward,0.23176207715272903
formal_2301_2305,utr_sg,2301,17,8501,9000,2.304,entropy,2.1655673224925995
formal_2301_2305,utr_sg,2301,17,8501,9000,2.304,approx_kl,0.001427326036739032
formal_2301_2305,utr_sg,2301,17,8501,9000,2.304,policy_loss,-0.0025014705854838823
formal_2301_2305,utr_sg,2301,17,8501,9000,2.304,value_loss,1.1621712502539159
formal_2301_2305,utr_sg,2301,17,8501,9000,2.304,grad_norm,5.7884857660532
formal_2301_2305,utr_sg,2301,18,9001,9500,2.432,train_avg_reward,0.22531994809955358
formal_2301_2305,utr_sg,2301,18,9001,9500,2.432,entropy,2.1308163899183272
formal_2301_2305,utr_sg,2301,18,9001,9500,2.432,approx_kl,0.0013534352174213685
formal_2301_2305,utr_sg,2301,18,9001,9500,2.432,policy_loss,-0.002429933967374772
formal_2301_2305,utr_sg,2301,18,9001,9500,2.432,value_loss,1.2265057154223322
formal_2301_2305,utr_sg,2301,18,9001,9500,2.432,grad_norm,6.405928850829602
formal_2301_2305,utr_sg,2301,19,9501,10000,2.56,train_avg_reward,0.23789816704392433
formal_2301_2305,utr_sg,2301,19,9501,10000,2.56,entropy,2.096111321270466
formal_2301_2305,utr_sg,2301,19,9501,10000,2.56,approx_kl,0.001640440059263104
formal_2301_2305,utr_sg,2301,19,9501,10000,2.56,policy_loss,-0.0026707202220583354
formal_2301_2305,utr_sg,2301,19,9501,10000,2.56,value_loss,1.0149655941016973
formal_2301_2305,utr_sg,2301,19,9501,10000,2.56,grad_norm,5.787976140528917
formal_2301_2305,utr_sg,2301,20,10001,10500,2.688,train_avg_reward,0.2342119185179472
formal_2301_2305,utr_sg,2301,20,10001,10500,2.688,entropy,2.051995215833187
formal_2301_2305,utr_sg,2301,20,10001,10500,2.688,approx_kl,0.001308187019268492
formal_2301_2305,utr_sg,2301,20,10001,10500,2.688,policy_loss,-0.0023062729820846886
formal_2301_2305,utr_sg,2301,20,10001,10500,2.688,value_loss,1.0061965459305793
formal_2301_2305,utr_sg,2301,20,10001,10500,2.688,grad_norm,6.67159785437584
formal_2301_2305,utr_sg,2301,21,10501,11000,2.816,train_avg_reward,0.21612965670973064
formal_2301_2305,utr_sg,2301,21,10501,11000,2.816,entropy,2.053537327468395
formal_2301_2305,utr_sg,2301,21,10501,11000,2.816,approx_kl,0.001387870934930409
formal_2301_2305,utr_sg,2301,21,10501,11000,2.816,policy_loss,-0.0025314640548030256
formal_2301_2305,utr_sg,2301,21,10501,11000,2.816,value_loss,1.1862653450891376
