update,loss,policy_loss,value_loss,entropy,train_avg_reward,eval_success_rate,eval_collision_rate,eval_timeout_rate,eval_avg_steps,eval_avg_distance
1,0.8575859616200129,-0.005864937440492213,1.7707187831401825,2.190848648548126,0.018555566668510437,0.0,0.0,1.0,200.0,15.771755377451578
2,0.23886361236994466,-0.003129365931575497,0.5275406253834566,2.177733620007833,-0.06592786312103271,,,,,
3,0.013779868371784687,-0.0050624563203503685,0.08064604240159194,2.148069659868876,-0.02267591655254364,,,,,
4,0.5254410654306412,-0.001697084167972207,1.0969469596942265,2.1335325638453164,0.012775145471096039,,,,,
5,0.1707805891831716,-0.001953461479085187,0.3882780820131302,2.1404990355173745,-0.05806388333439827,0.1,0.0,0.9,184.0,14.673891915877661
6,0.06240401261796554,-0.006482479317734639,0.18046627566218376,2.1346646348635354,-0.02593386359512806,,,,,
7,0.7967958947022756,-0.0021583079360425472,1.640621950229009,2.1356778343518577,-0.0029383741784840822,,,,,
8,0.11840169380108516,-0.0025996079202741385,0.2845095756153266,2.1253485679626465,-0.055969495326280594,,,,,
9,0.045025214863320194,-0.0053441111619273824,0.14276028983294964,2.1010822057724,-0.04130752384662628,,,,,
10,0.043285482873519264,-0.003278341260738671,0.13510555463532606,2.0988953908284507,-0.0065116286277771,0.0,0.8,0.2,160.9,16.41166048049927
11,0.08030736384292443,-0.004369799513369799,0.21162106469273567,2.1133369406064353,-0.04780271276831627,,,,,
12,0.475462444126606,-0.003914009391640623,1.0009369949499767,2.109204192956289,-0.0208150502294302,,,,,
13,0.042314017191529274,-0.0023343081508452692,0.13147637620568275,2.10898619890213,-0.014591817744076252,,,,,
14,0.05432390266408523,-0.005190780619159341,0.16106010104219118,2.1015368501345315,-0.03644576296210289,,,,,
15,0.5279737735788027,-0.0020947547163814306,1.1026497433582942,2.1256348490715027,-0.00116010382771492,0.0,0.0,1.0,200.0,14.048046461741128
16,0.06813529382149379,-0.0024170875549316406,0.18322855234146118,2.1061894496281943,-0.027840852737426758,,,,,
17,0.23721552764376005,-0.003896137078603109,0.5247145344813665,2.124559740225474,-0.03986669331789017,,,,,
18,0.8356025815010071,-0.0009173526971911391,1.7159274915854137,2.1443813840548196,-0.02039143443107605,,,,,
19,0.020043314900249243,-0.003082535268428425,0.0890962965786457,2.1422298749287925,-0.014231192879378796,,,,,
20,0.051803993371625744,-0.00190636795014143,0.1502231831351916,2.1401232282320657,-0.027770474553108215,0.0,0.0,1.0,200.0,12.71623391310374
21,0.021620496176183224,-0.0026458301581442356,0.09133718597392242,2.140226721763611,-0.03303259238600731,,,,,
22,0.1917341680576404,-0.0029224062260861197,0.4318983679016431,2.129261295000712,-0.028636539354920387,,,,,
23,0.08658869595577319,-0.0008626858470961452,0.21716712042689323,2.113217771053314,-0.04188940301537514,,,,,
24,0.018328836808602016,-0.0023030699230730534,0.08391131336490314,2.1323749820391336,-0.029580002650618553,,,,,
25,0.7430325224995613,-0.0011723374482244253,1.5307533542315166,2.1171832283337912,-0.009549289010465145,0.0,0.0,1.0,200.0,16.591617504755654
26,0.06480252432326476,-0.0031902166083455086,0.17819266517957053,2.110359271367391,-0.03914415463805199,,,,,
27,0.0022401250898838043,-0.004020326227570574,0.05495807155966759,2.1218584775924683,-0.03682321682572365,,,,,
28,0.056481109311183296,-0.003123291457692782,0.16109882605572542,2.094501316547394,-0.0206743236631155,,,,,
29,0.07908805428693692,-0.0010366722320516903,0.20183001086115837,2.0790279706319175,-0.03174026310443878,,,,,
30,0.007709554707010587,-0.0033734814496710896,0.06389957976837952,2.086675524711609,-0.024045193567872047,0.0,0.0,1.0,200.0,13.891823879877725
