epoch,loss,action_accuracy,samples,demo_success_rate
1,2.938895516925388,0.43469357905514117,2279,1.0
2,2.143786483340793,0.48588562234898347,2279,1.0
3,1.7957019805908203,0.48588562234898347,2279,1.0
4,1.682240857018365,0.48588562234898347,2279,1.0
5,1.6334425210952759,0.48588562234898347,2279,1.0
6,1.5905366606182523,0.48588562234898347,2279,1.0
7,1.53335436185201,0.48881088196577444,2279,1.0
8,1.4752585622999403,0.5297645166008483,2279,1.0
