table,method,condition,metric,mean,sd,n,source
table1_held_out,no_graph,-,collision,0.000000,0.000000,3,formal-held-out-results-lock-v1.5.1
table1_held_out,single_graph,-,success,0.718333,0.442792,3,formal-held-out-results-lock-v1.5.1
table1_held_out,single_graph,-,recovery,0.684090,0.461829,3,formal-held-out-results-lock-v1.5.1
table1_held_out,single_graph,-,wilson,0.648859,0.460612,3,formal-held-out-results-lock-v1.5.1
table1_held_out,single_graph,-,t_succ,54.436413,13.949381,3,formal-held-out-results-lock-v1.5.1
table1_held_out,single_graph,-,t_rec,22.448411,19.310893,3,formal-held-out-results-lock-v1.5.1
table1_held_out,single_graph,-,collision,0.000833,0.001443,3,formal-held-out-results-lock-v1.5.1
table1_held_out,param_matched_single,-,success,0.996667,0.005774,3,formal-held-out-results-lock-v1.5.1
table1_held_out,param_matched_single,-,recovery,0.994949,0.008748,3,formal-held-out-results-lock-v1.5.1
table1_held_out,param_matched_single,-,wilson,0.974905,0.011445,3,formal-held-out-results-lock-v1.5.1
table1_held_out,param_matched_single,-,t_succ,57.628648,18.001000,3,formal-held-out-results-lock-v1.5.1
table1_held_out,param_matched_single,-,t_rec,26.239047,23.584980,3,formal-held-out-results-lock-v1.5.1
table1_held_out,param_matched_single,-,collision,0.000000,0.000000,3,formal-held-out-results-lock-v1.5.1
table1_held_out,happo,-,success,1.000000,0.000000,3,formal-held-out-results-lock-v1.5.1
table1_held_out,happo,-,recovery,1.000000,0.000000,3,formal-held-out-results-lock-v1.5.1
table1_held_out,happo,-,wilson,0.981962,0.000678,3,formal-held-out-results-lock-v1.5.1
table1_held_out,happo,-,t_succ,49.868333,2.982707,3,formal-held-out-results-lock-v1.5.1
table1_held_out,happo,-,t_rec,16.309232,4.126171,3,formal-held-out-results-lock-v1.5.1
table1_held_out,happo,-,collision,0.000000,0.000000,3,formal-held-out-results-lock-v1.5.1
table1_held_out,mappo,-,success,0.970833,0.028976,3,formal-held-out-results-lock-v1.5.1
table1_held_out,mappo,-,recovery,0.947059,0.051379,3,formal-held-out-results-lock-v1.5.1
table1_held_out,mappo,-,wilson,0.911386,0.063616,3,formal-held-out-results-lock-v1.5.1
table1_held_out,mappo,-,t_succ,51.019549,3.643207,3,formal-held-out-results-lock-v1.5.1
table1_held_out,mappo,-,t_rec,17.424350,7.239048,3,formal-held-out-results-lock-v1.5.1
table1_held_out,mappo,-,collision,0.000000,0.000000,3,formal-held-out-results-lock-v1.5.1
table3_robustness,full_ea_rg,R01,delta_recovery_from_R00,-0.020000,,3,robustness-results-lock-v1.5.0
table3_robustness,full_ea_rg,R01,delta_t_rec_from_R00,1.646087,,3,robustness-results-lock-v1.5.0
table3_robustness,full_ea_rg,R01,worst_seed_recovery,0.920000,,3,robustness-results-lock-v1.5.0
table3_robustness,full_ea_rg,R02,delta_recovery_from_R00,-0.053333,,3,robustness-results-lock-v1.5.0
table3_robustness,full_ea_rg,R02,delta_t_rec_from_R00,4.525657,,3,robustness-results-lock-v1.5.0
table3_robustness,full_ea_rg,R02,worst_seed_recovery,0.860000,,3,robustness-results-lock-v1.5.0
table3_robustness,full_ea_rg,R03,delta_recovery_from_R00,0.006667,,3,robustness-results-lock-v1.5.0
table3_robustness,full_ea_rg,R03,delta_t_rec_from_R00,-0.553333,,3,robustness-results-lock-v1.5.0
table3_robustness,full_ea_rg,R03,worst_seed_recovery,1.000000,,3,robustness-results-lock-v1.5.0
