cohort,group,mean_final_return_J,mean_nominal_return_J,mean_return_degradation,mean_success,mean_timeout,mean_collision,mean_actual_exposure_share,mean_final_q,mean_logged_difficulty,return_degradation_rank_desc
A,F0,218.48891490106286,231.8999465302527,13.411031629189853,0.394,0.592,0.013999999999999999,0.0938640694466479,0.06215113779558219,0.03662102328510559,4
A,TE,213.52764342000987,231.8999465302527,18.372303110242814,0.39,0.608,0.002,0.161822304991997,0.12514876513632298,0.037766072005975995,2
A,TL,219.0911152495984,231.8999465302527,12.8088312806543,0.394,0.592,0.013999999999999999,0.09518636524526078,0.10404977274580271,0.10193623747705768,5
A,DS,223.7875509171784,231.8999465302527,8.112395613074302,0.352,0.6439999999999999,0.004,0.0812263522178945,0.10606280625469813,0.024285095202640335,6
A,DL,216.01833507198094,231.8999465302527,15.881611458271744,0.41600000000000004,0.568,0.016,0.26307183698695646,0.26937044451804537,0.07898608447585395,3
A,CP,209.0389616080215,231.8999465302527,22.860984922231175,0.418,0.5780000000000001,0.004,0.30482907111124335,0.3332170735495487,0.08311476932402694,1
B,F0,213.5751536058029,213.78146199591737,0.20630839011445232,0.4,0.6,0.0,0.10045346926457122,0.07121441631845646,0.02448471761059149,5
B,TE,205.89278980316504,213.78146199591737,7.888672192752347,0.38,0.62,0.0,0.17478569734699728,0.16579784455718397,0.033909510300914096,1
B,TL,214.86126423024197,213.78146199591737,-1.0798022343246374,0.40800000000000003,0.592,0.0,0.0902125025467342,0.06788885568057752,0.030293936264462435,6
B,DS,209.9512199794799,213.78146199591737,3.830242016437455,0.348,0.652,0.0,0.0854823009274057,0.05866012800975011,0.05727147120291225,3
B,DL,210.651209104795,213.78146199591737,3.1302528911223533,0.41600000000000004,0.584,0.0,0.23971528887202825,0.2945463173242435,0.0473420864498137,4
B,CP,207.08411164854746,213.78146199591737,6.6973503473699,0.434,0.5660000000000001,0.0,0.30935074104226334,0.34189243810978853,0.08693297458514873,2
