cohort,train_seed,selection_rows,non_nominal_selection_rows,last_q_update,last_q_l1_distance_from_uniform,final_q_F0,final_q_TE,final_q_TL,final_q_DS,final_q_DL,final_q_CP,final_difficulty_F0,final_difficulty_TE,final_difficulty_TL,final_difficulty_DS,final_difficulty_DL,final_difficulty_CP
B,78021,38712,19337,39062,0.6826454976984717,0.08382735751520642,0.06016668291522433,0.1105155247501868,0.07083435263681331,0.33732621281612196,0.33732986936644727,0.04399096435344795,0.03643324106450067,0.023033912175942087,0.11902127654720861,0.041578280518640674,0.12336238474664762
B,78022,38756,19363,39063,0.6213912178737295,0.05,0.19155287979929872,0.07292152079375523,0.06638287026938007,0.2691427291375661,0.35,0.011749277426716694,0.11545688574927361,0.0688690631892845,0.10331241052793866,0.10514430996604314,0.13323973598881714
B,78023,38566,19160,39063,0.6904749754715622,0.05,0.3354431275308695,0.05,0.05476251226421893,0.1876620390224161,0.3221323211824955,0.0,0.0075145115022300394,0.0,0.06402366893941398,0.0,0.009942193309078215
B,78024,38695,19140,39063,0.7078941411300244,0.1168668190347781,0.09051316340735648,0.055012970820063664,0.05032664283945633,0.33728040389834557,0.35,0.06668334627279279,0.010142913188566182,0.05956670595708558,0.0,0.08998784176438468,0.1234970103937797
B,78025,38673,19297,39063,0.7159737368268688,0.05537790504229779,0.15131336913317073,0.0509942620388819,0.0509942620388819,0.3413202017467678,0.35,0.0,0.0,0.0,0.0,0.0,0.044623548487421005
