cohort,group,n_training_seeds,mean_J,mean_J_nominal,mean_J_nominal_minus_group,mean_success,mean_timeout,mean_collision,mean_actual_non_nominal_exposure_share,mean_final_q,mean_final_logged_difficulty,mean_selection_count,mean_non_nominal_selection_count
B,F0,5,213.5751536058029,213.78146199591737,0.20630839011445232,0.4,0.6,0.0,0.10045346926457122,0.07121441631845646,0.02448471761059149,1936.0,19259.4
B,TE,5,205.89278980316504,213.78146199591737,7.888672192752347,0.38,0.62,0.0,0.17478569734699728,0.16579784455718397,0.033909510300914096,3364.8,19259.4
B,TL,5,214.86126423024197,213.78146199591737,-1.0798022343246374,0.40800000000000003,0.592,0.0,0.0902125025467342,0.06788885568057752,0.030293936264462435,1738.6,19259.4
B,DS,5,209.9512199794799,213.78146199591737,3.830242016437455,0.348,0.652,0.0,0.0854823009274057,0.05866012800975011,0.05727147120291225,1647.4,19259.4
B,DL,5,210.651209104795,213.78146199591737,3.1302528911223533,0.41600000000000004,0.584,0.0,0.23971528887202825,0.2945463173242435,0.0473420864498137,4615.0,19259.4
B,CP,5,207.08411164854746,213.78146199591737,6.6973503473699,0.434,0.5660000000000001,0.0,0.30935074104226334,0.34189243810978853,0.08693297458514873,5957.6,19259.4
