cohort,train_seed,milestone_fraction,update,q_F0,q_TE,q_TL,q_DS,q_DL,q_CP
A,78011,0.0,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
A,78011,0.25,9765,0.25243123057795985,0.2641189413321557,0.08049261949165537,0.1457085754456289,0.05,0.20724863315260025
A,78011,0.5,19531,0.1022247837387615,0.21932857191850955,0.05,0.07331986570581422,0.25413983642975146,0.3009869422071634
A,78011,0.75,29296,0.07045300910992737,0.08614031980739267,0.08550769560814366,0.05789897547453646,0.35,0.35
A,78011,1.0,39062,0.05,0.1555395374684869,0.09498751998212401,0.05,0.304769375622087,0.34470356692730214
A,78012,0.0,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
A,78012,0.25,9766,0.09559079514196243,0.23934376389619796,0.2584970364434361,0.13746951067332427,0.21909889384507933,0.05
A,78012,0.5,19531,0.08438239125014949,0.15934068081385652,0.1205813592118646,0.05688666527943207,0.22880890344469745,0.35
A,78012,0.75,29297,0.07106761730474839,0.08717457242583568,0.06238959039833145,0.07936821987108461,0.35,0.35
A,78012,1.0,39063,0.05237003000968662,0.08092299897061443,0.17838283186191858,0.05,0.2883241391577805,0.35
A,78013,0.0,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
A,78013,0.25,9766,0.23797695664399046,0.1750591328476506,0.15461201577901643,0.09361838732266424,0.06484947532963024,0.2738840320770481
A,78013,0.5,19531,0.1552103544403614,0.11373771379632147,0.17652136853940334,0.0640137032600485,0.2514018153967885,0.23911504456707683
A,78013,0.75,29298,0.060060338658419546,0.33801031465260617,0.11842920156305443,0.08326329327825503,0.2448554845100457,0.1553813673376192
A,78013,1.0,39063,0.060312927312710776,0.14932082254428303,0.07257499807761557,0.06149860023963754,0.3062926518257532,0.35
A,78014,0.0,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
A,78014,0.25,9765,0.07952870226198445,0.3468467560564863,0.0559056330965569,0.07868730692063376,0.1859171872095488,0.2531144144547899
A,78014,0.5,19531,0.06198797443544886,0.13164876341315,0.07332911167116389,0.06441817268429605,0.3186159777959413,0.35
A,78014,0.75,29295,0.07495198142728313,0.14398950841186664,0.05,0.052009192199769266,0.32994373203777716,0.3491055859233039
A,78014,1.0,39061,0.09807273165551354,0.1000566588747488,0.10357974240375026,0.0519265603869342,0.2972951022482089,0.34906920443084444
A,78015,0.0,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
A,78015,0.25,9764,0.06008461353621613,0.08212182582119983,0.13882407034151326,0.09590172208314647,0.28316208129152554,0.3399056869263989
A,78015,0.5,19531,0.07317947369155069,0.3488819917764854,0.050674772677813916,0.0598004623422329,0.14251180425302235,0.3249514952588949
A,78015,0.75,29297,0.057224772319213885,0.21960114473937858,0.051599416574386846,0.06410166398603155,0.3402727348022627,0.2672002675787265
A,78015,1.0,39063,0.05,0.1399038078234818,0.07072377140360511,0.3168888706469189,0.1501709537363972,0.2723125963895971
