cohort,train_seed,group,J,J_nominal,J_nominal_minus_group,success,timeout,collision,actual_non_nominal_exposure_share,final_q,final_logged_difficulty,selection_count,non_nominal_selection_count
A,78011,F0,196.84281357079743,197.52880907233805,0.6859955015406172,0.43,0.57,0.0,0.11971281410956766,0.05,0.014399526869969639,2301,19221
A,78011,TE,182.6516946515022,197.52880907233805,14.877114420835852,0.45,0.55,0.0,0.18344519015659955,0.1555395374684869,0.020196209636108,3526,19221
A,78011,TL,199.58327418029307,197.52880907233805,-2.054465107955025,0.4,0.6,0.0,0.08454294781749129,0.09498751998212401,0.0,1625,19221
A,78011,DS,194.08253539144994,197.52880907233805,3.446273680888112,0.3,0.7,0.0,0.07164039331980646,0.05,0.0,1377,19221
A,78011,DL,198.98472766369582,197.52880907233805,-1.4559185913577721,0.43,0.57,0.0,0.23078924093439468,0.304769375622087,0.03345433797175342,4436,19221
A,78011,CP,185.063456940311,197.52880907233805,12.46535213202705,0.43,0.57,0.0,0.3098694136621404,0.34470356692730214,0.06603106696200715,5956,19221
A,78012,F0,245.0152067477256,251.91166661664843,6.896459868922818,0.36,0.63,0.01,0.09242096591494182,0.05237003000968662,0.04583911086680953,1795,19422
A,78012,TE,243.63108408045025,251.91166661664843,8.280582536198182,0.37,0.63,0.0,0.1544125218824014,0.08092299897061443,0.05153898047634523,2999,19422
A,78012,TL,245.82853092730045,251.91166661664843,6.0831356893479835,0.4,0.59,0.01,0.10637421480794974,0.17838283186191858,0.1232507992034096,2066,19422
A,78012,DS,249.6862448192388,251.91166661664843,2.2254217974096377,0.38,0.61,0.01,0.07476058078467716,0.05,0.01256343051560803,1452,19422
A,78012,DL,242.32252150096,251.91166661664843,9.589145115688439,0.53,0.46,0.01,0.2862218103181959,0.2883241391577805,0.08137702943441712,5559,19422
A,78012,CP,236.77314828146248,251.91166661664843,15.13851833518595,0.53,0.47,0.0,0.285809906291834,0.35,0.11059024704765008,5551,19422
A,78013,F0,236.71468897189945,254.94596210248767,18.23127313058822,0.45,0.55,0.0,0.11443272446616928,0.060312927312710776,0.013873045741914326,2224,19435
A,78013,TE,223.34855766195804,254.94596210248767,31.59740444052963,0.39,0.61,0.0,0.17098019037818368,0.14932082254428303,0.03818566369771054,3323,19435
A,78013,TL,234.59908310495317,254.94596210248767,20.346878997534503,0.47,0.53,0.0,0.13383071777720607,0.07257499807761557,0.06393756293487096,2601,19435
A,78013,DS,236.07495240505784,254.94596210248767,18.871009697429827,0.39,0.61,0.0,0.07908412657576537,0.06149860023963754,0.06095246761299382,1537,19435
A,78013,DL,234.69566244404763,254.94596210248767,20.250299658440042,0.46,0.54,0.0,0.22655003859017236,0.3062926518257532,0.08150979302996769,4403,19435
A,78013,CP,222.0553011246398,254.94596210248767,32.89066097784786,0.47,0.53,0.0,0.2751222022125032,0.35,0.09176891902877135,5347,19435
A,78014,F0,223.3499210703373,241.83974924489857,18.489828174561268,0.26,0.74,0.0,0.07137319758127035,0.09807273165551354,0.04357323572670693,1381,19349
A,78014,TE,223.20027771688999,241.83974924489857,18.639471528008585,0.27,0.73,0.0,0.14620910641376816,0.1000566588747488,0.03274537037877389,2829,19349
A,78014,TL,225.18901141412556,241.83974924489857,16.65073783077301,0.26,0.74,0.0,0.08419039743656002,0.10357974240375026,0.09917332347157956,1629,19349
A,78014,DS,234.30945570260286,241.83974924489857,7.530293542295709,0.23,0.77,0.0,0.07804020879632022,0.0519265603869342,0.003394954313547254,1510,19349
A,78014,DL,219.39862133868039,241.83974924489857,22.441127906218185,0.24,0.75,0.01,0.29184970799524523,0.2972951022482089,0.02665159457384621,5647,19349
A,78014,CP,217.449516582191,241.83974924489857,24.390232662707575,0.24,0.76,0.0,0.328337381776836,0.34906920443084444,0.034740289297286286,6353,19349
A,78015,F0,190.52194414455442,213.27354561489076,22.75160147033634,0.47,0.47,0.06,0.07138064516129032,0.05,0.0654201972201275,1383,19375
A,78015,TE,194.80660298924894,213.27354561489076,18.46694262564182,0.47,0.52,0.01,0.15406451612903227,0.1399038078234818,0.04616413584094233,2985,19375
A,78015,TL,190.25567662131974,213.27354561489076,23.017868993571028,0.44,0.5,0.06,0.06699354838709677,0.07072377140360511,0.2233195017754283,1298,19375
A,78015,DS,204.78456626754254,213.27354561489076,8.48897934734822,0.46,0.53,0.01,0.10260645161290323,0.3168888706469189,0.04451462357105256,1988,19375
A,78015,DL,184.69014241252094,213.27354561489076,28.583403202369823,0.42,0.52,0.06,0.2799483870967742,0.1501709537363972,0.17193766736928537,5424,19375
A,78015,CP,183.85338511150331,213.27354561489076,29.42016050338745,0.42,0.56,0.02,0.3250064516129032,0.2723125963895971,0.1124433242844198,6297,19375
