train_seed,metric,label,unit,n_matched_episodes,single,multi_relation,delta_proposed_minus_baseline
0,success,Task success,rate,10,1,1,0
0,post_failure_chain_recovered,Post-failure chain recovered,rate,10,1,1,0
0,timeout,Timeout,rate,10,0,0,0
0,capped_recovery_steps,Restricted mean recovery steps,steps,10,5.2,5.6,0.4
0,tracking_during_failure_rate,Tracking during failure,rate,10,1,1,0
0,connectivity_during_failure,Connectivity during failure,rate,10,0.4446031829,0.4399735533,-0.004629629561
0,chain_closed_during_failure_rate,Chain closure during failure,rate,10,0.1669047619,0.1599603175,-0.006944444444
0,steps,Episode length,steps,10,45.2,45.6,0.4
1,success,Task success,rate,10,0.8,1,0.2
1,post_failure_chain_recovered,Post-failure chain recovered,rate,10,0.8,1,0.2
1,timeout,Timeout,rate,10,0.2,0,-0.2
1,capped_recovery_steps,Restricted mean recovery steps,steps,10,47.8,5.7,-42.1
1,tracking_during_failure_rate,Tracking during failure,rate,10,0.8329166671,1,0.1670833329
1,connectivity_during_failure,Connectivity during failure,rate,10,0.424603183,0.4387830771,0.01417989419
1,chain_closed_during_failure_rate,Chain closure during failure,rate,10,0.1419047619,0.1581746032,0.01626984127
1,steps,Episode length,steps,10,87.8,45.7,-42.1
2,success,Task success,rate,10,1,1,0
2,post_failure_chain_recovered,Post-failure chain recovered,rate,10,1,1,0
2,timeout,Timeout,rate,10,0,0,0
2,capped_recovery_steps,Restricted mean recovery steps,steps,10,5.2,5.5,0.3
2,tracking_during_failure_rate,Tracking during failure,rate,10,1,1,0
2,connectivity_during_failure,Connectivity during failure,rate,10,0.4446031829,0.4411640295,-0.003439153388
2,chain_closed_during_failure_rate,Chain closure during failure,rate,10,0.1669047619,0.1617460317,-0.005158730159
2,steps,Episode length,steps,10,45.2,45.5,0.3
