episode,seed,success,chain_closed,collision,timeout,steps,perception_attention_mass_mean,perception_attention_mass_during_failure,perception_edge_density_mean,communication_attention_mass_mean,communication_attention_mass_during_failure,communication_edge_density_mean,task_support_attention_mass_mean,task_support_attention_mass_during_failure,task_support_edge_density_mean,global_attention_mass_mean,global_attention_mass_during_failure,global_edge_density_mean,task_support_active_rate,communication_active_rate,perception_active_rate
0,140000,1.0,1.0,0.0,0.0,65.0,0.14438178562200987,0.22444269097432856,0.05,0.7500000006877459,0.7500000014537718,0.2951923076923077,0.06815177248074458,0.108045492957278,0.02403846153846154,0.7461581959174229,0.7439093349910364,0.3451923076923077,0.38461538461538464,1.0,0.6461538461538462
1,140001,1.0,1.0,0.0,0.0,63.0,0.16681448974807478,0.26479967475746513,0.05853174603174603,0.7500000009461055,0.7500000015283242,0.29464285714285715,0.05578505992889404,0.08455302929266906,0.020833333333333332,0.7450392227324228,0.7419864367216061,0.3531746031746032,0.31746031746031744,1.0,0.6349206349206349
2,140002,0.0,0.0,0.0,1.0,260.0,0.08892661304428028,0.1195058761164546,0.03245192307692308,0.7500000001719365,0.750000000745058,0.2387019230769231,0.036335669801785396,0.0909639285877347,0.017548076923076923,0.7485857907396096,0.7454038206487894,0.27115384615384613,0.26153846153846155,1.0,0.4807692307692308
3,140003,0.0,0.0,0.0,1.0,260.0,0.09948504099444083,0.16703509379064518,0.036057692307692304,0.7499999996561271,0.7499999998137354,0.23509615384615384,0.03782802619613134,0.10261962795630097,0.01730769230769231,0.749677679171929,0.7489524565637111,0.27115384615384613,0.25769230769230766,1.0,0.48846153846153845
4,140004,0.0,0.0,0.0,1.0,260.0,0.04410042178172332,0.1387534761801362,0.015625,0.7500000006304337,0.7500000014901161,0.23317307692307693,0.03458119226762882,0.08899034410715104,0.018028846153846152,0.7453846323375518,0.735000055283308,0.24879807692307693,0.28076923076923077,1.0,0.1576923076923077
5,140005,0.0,0.0,0.0,1.0,260.0,0.08966844609150519,0.11736616678535938,0.032692307692307694,0.7500000001146243,0.749999999627471,0.23990384615384616,0.040130744645228755,0.09557716073468328,0.01875,0.7488806548026892,0.7463621281087398,0.2725961538461538,0.28076923076923077,1.0,0.4846153846153846
6,140006,0.0,0.0,0.0,1.0,260.0,0.09198641330003739,0.130779679864645,0.03341346153846154,0.7500000001719365,0.7499999998137354,0.24471153846153845,0.04614099278472937,0.1036775153130293,0.020432692307692308,0.7500000008596823,0.750000000745058,0.278125,0.3192307692307692,1.0,0.5038461538461538
7,140007,0.0,0.0,0.0,1.0,260.0,0.09193906400066156,0.1264968877658248,0.03341346153846154,0.75,0.75,0.24014423076923078,0.03867810142154877,0.08831310011446476,0.017788461538461538,0.7500000006304337,0.7500000014901161,0.27355769230769234,0.2653846153846154,1.0,0.5038461538461538
8,140008,0.0,0.0,0.0,1.0,260.0,0.09930940236036594,0.19484181888401508,0.03581730769230769,0.7500000002292486,0.75,0.25072115384615384,0.04882987778061053,0.09424735698848963,0.021875,0.7500000002292486,0.750000000745058,0.2865384615384615,0.3192307692307692,1.0,0.47692307692307695
9,140009,0.0,0.0,0.0,1.0,260.0,0.09290849314286159,0.13967309854924678,0.03365384615384615,0.75,0.75,0.2389423076923077,0.04445302715668312,0.11111232768744231,0.019230769230769232,0.7499999998280635,0.7500000013038516,0.2725961538461538,0.29615384615384616,1.0,0.5
