method,metric,unit,n_recovered_episodes,mean,note
single,recovered_only_recovery_steps,steps,47,5.361702128,Conditional on episodes that recovered; use capped_recovery_steps for a comparable recovery-time proxy.
multi_relation,recovered_only_recovery_steps,steps,57,6.157894737,Conditional on episodes that recovered; use capped_recovery_steps for a comparable recovery-time proxy.
