episode,steps_recorded,p_affected,p_path_base,p_path_shift,delta_p_path,p_alt
0,46,0.4673913043478261,0.5652173913043478,0.4782608695652174,0.08695652173913038,0.4782608695652174
1,45,0.4666666666666667,0.5555555555555556,0.4444444444444444,0.11111111111111116,0.4444444444444444
2,46,0.4782608695652174,0.5652173913043478,0.45652173913043476,0.10869565217391303,0.45652173913043476
3,46,0.4673913043478261,0.5869565217391305,0.45652173913043476,0.13043478260869573,0.45652173913043476
4,47,0.4787234042553192,0.5957446808510638,0.46808510638297873,0.12765957446808507,0.46808510638297873
5,45,0.45555555555555555,0.5555555555555556,0.4444444444444444,0.11111111111111116,0.4444444444444444
6,46,0.4673913043478261,0.5869565217391305,0.45652173913043476,0.13043478260869573,0.45652173913043476
7,45,0.45555555555555555,0.5555555555555556,0.4666666666666667,0.0888888888888889,0.4666666666666667
8,45,0.45555555555555555,0.5777777777777777,0.4666666666666667,0.11111111111111105,0.4666666666666667
9,47,0.46808510638297873,0.6170212765957447,0.5106382978723404,0.1063829787234043,0.5106382978723404
10,45,0.4666666666666667,0.6,0.4888888888888889,0.1111111111111111,0.4888888888888889
11,45,0.4666666666666667,0.5777777777777777,0.4888888888888889,0.08888888888888885,0.4888888888888889
12,45,0.45555555555555555,0.6,0.5111111111111111,0.0888888888888889,0.5111111111111111
13,46,0.44565217391304346,0.6086956521739131,0.5217391304347826,0.08695652173913049,0.5217391304347826
14,47,0.4574468085106383,0.5957446808510638,0.5319148936170213,0.06382978723404253,0.5319148936170213
15,47,0.46808510638297873,0.5957446808510638,0.5319148936170213,0.06382978723404253,0.5319148936170213
16,45,0.4444444444444444,0.5555555555555556,0.5111111111111111,0.04444444444444451,0.5111111111111111
17,46,0.45652173913043476,0.5869565217391305,0.5217391304347826,0.0652173913043479,0.5217391304347826
18,47,0.4574468085106383,0.5957446808510638,0.5319148936170213,0.06382978723404253,0.5319148936170213
19,45,0.4444444444444444,0.5555555555555556,0.5111111111111111,0.04444444444444451,0.5111111111111111
20,48,0.4479166666666667,0.6041666666666666,0.5625,0.04166666666666663,0.5625
21,46,0.42391304347826086,0.5652173913043478,0.5434782608695652,0.021739130434782594,0.5434782608695652
22,46,0.43478260869565216,0.5869565217391305,0.5652173913043478,0.021739130434782705,0.5652173913043478
23,45,0.43333333333333335,0.5555555555555556,0.5111111111111111,0.04444444444444451,0.5111111111111111
24,46,0.44565217391304346,0.5652173913043478,0.5217391304347826,0.04347826086956519,0.5217391304347826
25,46,0.43478260869565216,0.5652173913043478,0.5,0.06521739130434778,0.5
26,45,0.43333333333333335,0.5777777777777777,0.5111111111111111,0.06666666666666665,0.5111111111111111
27,45,0.4222222222222222,0.5777777777777777,0.4888888888888889,0.08888888888888885,0.4888888888888889
28,45,0.4222222222222222,0.5777777777777777,0.4888888888888889,0.08888888888888885,0.4888888888888889
29,45,0.43333333333333335,0.5777777777777777,0.5111111111111111,0.06666666666666665,0.5111111111111111
30,48,0.4479166666666667,0.6041666666666666,0.5208333333333334,0.08333333333333326,0.5208333333333334
31,45,0.43333333333333335,0.5333333333333333,0.4666666666666667,0.06666666666666665,0.4666666666666667
32,46,0.43478260869565216,0.5869565217391305,0.5,0.08695652173913049,0.5
33,45,0.43333333333333335,0.5777777777777777,0.4666666666666667,0.11111111111111105,0.4666666666666667
34,47,0.44680851063829785,0.5957446808510638,0.46808510638297873,0.12765957446808507,0.46808510638297873
35,46,0.43478260869565216,0.5869565217391305,0.45652173913043476,0.13043478260869573,0.45652173913043476
36,45,0.4222222222222222,0.5777777777777777,0.4444444444444444,0.1333333333333333,0.4444444444444444
37,46,0.43478260869565216,0.6086956521739131,0.4782608695652174,0.13043478260869568,0.4782608695652174
38,48,0.4270833333333333,0.6041666666666666,0.4791666666666667,0.12499999999999994,0.4791666666666667
39,45,0.43333333333333335,0.5555555555555556,0.4444444444444444,0.11111111111111116,0.4444444444444444
