method,train_seed,cell,episode_id,eval_seed,checkpoint_path,checkpoint_sha256,checkpoint_update,protocol_tag,implementation_tag,preflight_lock_tag,steps,failure_start_step,failure_exposed,success,collision,post_failure_chain_recovered,recovery_window_start_step,recovery_event_time,censor_time,recovery_observed,reward
full_ea_rg,0,C1,11,1208618,D:\Code\Codex\ri_gmappo_uav\results\paper_config_runs\formal_budget_post_sixth_freeze_v1.4_formal_main_20260802\ea_rg_mappo_s_gate_prior\ppo_seed0_1m\actor_critic_update_0700.pt,B9FECBE9ACC3A7CB7306F80338DA8116E54D86A71292A3AA188D6378EF75A82A,700,p3a-ood-protocol-v1.1,p3a-ood-eval-impl-v1.1.3,p3a-ood-preflight-lock-v1.1,44.0,25.0,1.0,1.0,0.0,1.0,41.0,16.0,-1.0,1.0,32.6616005897522
full_ea_rg,0,C1,12,1208619,D:\Code\Codex\ri_gmappo_uav\results\paper_config_runs\formal_budget_post_sixth_freeze_v1.4_formal_main_20260802\ea_rg_mappo_s_gate_prior\ppo_seed0_1m\actor_critic_update_0700.pt,B9FECBE9ACC3A7CB7306F80338DA8116E54D86A71292A3AA188D6378EF75A82A,700,p3a-ood-protocol-v1.1,p3a-ood-eval-impl-v1.1.3,p3a-ood-preflight-lock-v1.1,44.0,25.0,1.0,1.0,0.0,1.0,41.0,16.0,-1.0,1.0,33.1900250017643
full_ea_rg,0,C1,13,1208620,D:\Code\Codex\ri_gmappo_uav\results\paper_config_runs\formal_budget_post_sixth_freeze_v1.4_formal_main_20260802\ea_rg_mappo_s_gate_prior\ppo_seed0_1m\actor_critic_update_0700.pt,B9FECBE9ACC3A7CB7306F80338DA8116E54D86A71292A3AA188D6378EF75A82A,700,p3a-ood-protocol-v1.1,p3a-ood-eval-impl-v1.1.3,p3a-ood-preflight-lock-v1.1,46.0,25.0,1.0,1.0,0.0,1.0,43.0,18.0,-1.0,1.0,34.50551372766495
full_ea_rg,0,C1,9,1208616,D:\Code\Codex\ri_gmappo_uav\results\paper_config_runs\formal_budget_post_sixth_freeze_v1.4_formal_main_20260802\ea_rg_mappo_s_gate_prior\ppo_seed0_1m\actor_critic_update_0700.pt,B9FECBE9ACC3A7CB7306F80338DA8116E54D86A71292A3AA188D6378EF75A82A,700,p3a-ood-protocol-v1.1,p3a-ood-eval-impl-v1.1.3,p3a-ood-preflight-lock-v1.1,47.0,25.0,1.0,1.0,0.0,1.0,44.0,19.0,-1.0,1.0,35.21707904338837
full_ea_rg,0,C1,14,1208621,D:\Code\Codex\ri_gmappo_uav\results\paper_config_runs\formal_budget_post_sixth_freeze_v1.4_formal_main_20260802\ea_rg_mappo_s_gate_prior\ppo_seed0_1m\actor_critic_update_0700.pt,B9FECBE9ACC3A7CB7306F80338DA8116E54D86A71292A3AA188D6378EF75A82A,700,p3a-ood-protocol-v1.1,p3a-ood-eval-impl-v1.1.3,p3a-ood-preflight-lock-v1.1,47.0,25.0,1.0,1.0,0.0,1.0,44.0,19.0,-1.0,1.0,34.99930849671364
full_ea_rg,0,C1,15,1208622,D:\Code\Codex\ri_gmappo_uav\results\paper_config_runs\formal_budget_post_sixth_freeze_v1.4_formal_main_20260802\ea_rg_mappo_s_gate_prior\ppo_seed0_1m\actor_critic_update_0700.pt,B9FECBE9ACC3A7CB7306F80338DA8116E54D86A71292A3AA188D6378EF75A82A,700,p3a-ood-protocol-v1.1,p3a-ood-eval-impl-v1.1.3,p3a-ood-preflight-lock-v1.1,47.0,25.0,1.0,1.0,0.0,1.0,44.0,19.0,-1.0,1.0,34.95913349092007
full_ea_rg,0,C1,16,1208623,D:\Code\Codex\ri_gmappo_uav\results\paper_config_runs\formal_budget_post_sixth_freeze_v1.4_formal_main_20260802\ea_rg_mappo_s_gate_prior\ppo_seed0_1m\actor_critic_update_0700.pt,B9FECBE9ACC3A7CB7306F80338DA8116E54D86A71292A3AA188D6378EF75A82A,700,p3a-ood-protocol-v1.1,p3a-ood-eval-impl-v1.1.3,p3a-ood-preflight-lock-v1.1,44.0,25.0,1.0,1.0,0.0,1.0,41.0,16.0,-1.0,1.0,33.21564453840256
full_ea_rg,0,C1,19,1208626,D:\Code\Codex\ri_gmappo_uav\results\paper_config_runs\formal_budget_post_sixth_freeze_v1.4_formal_main_20260802\ea_rg_mappo_s_gate_prior\ppo_seed0_1m\actor_critic_update_0700.pt,B9FECBE9ACC3A7CB7306F80338DA8116E54D86A71292A3AA188D6378EF75A82A,700,p3a-ood-protocol-v1.1,p3a-ood-eval-impl-v1.1.3,p3a-ood-preflight-lock-v1.1,44.0,25.0,1.0,1.0,0.0,1.0,41.0,16.0,-1.0,1.0,32.933324217796326
full_ea_rg,0,C1,21,1208628,D:\Code\Codex\ri_gmappo_uav\results\paper_config_runs\formal_budget_post_sixth_freeze_v1.4_formal_main_20260802\ea_rg_mappo_s_gate_prior\ppo_seed0_1m\actor_critic_update_0700.pt,B9FECBE9ACC3A7CB7306F80338DA8116E54D86A71292A3AA188D6378EF75A82A,700,p3a-ood-protocol-v1.1,p3a-ood-eval-impl-v1.1.3,p3a-ood-preflight-lock-v1.1,44.0,25.0,1.0,1.0,0.0,1.0,41.0,16.0,-1.0,1.0,33.486347287893295
full_ea_rg,0,C1,23,1208630,D:\Code\Codex\ri_gmappo_uav\results\paper_config_runs\formal_budget_post_sixth_freeze_v1.4_formal_main_20260802\ea_rg_mappo_s_gate_prior\ppo_seed0_1m\actor_critic_update_0700.pt,B9FECBE9ACC3A7CB7306F80338DA8116E54D86A71292A3AA188D6378EF75A82A,700,p3a-ood-protocol-v1.1,p3a-ood-eval-impl-v1.1.3,p3a-ood-preflight-lock-v1.1,44.0,25.0,1.0,1.0,0.0,1.0,41.0,16.0,-1.0,1.0,33.22861671447754
full_ea_rg,0,C1,22,1208629,D:\Code\Codex\ri_gmappo_uav\results\paper_config_runs\formal_budget_post_sixth_freeze_v1.4_formal_main_20260802\ea_rg_mappo_s_gate_prior\ppo_seed0_1m\actor_critic_update_0700.pt,B9FECBE9ACC3A7CB7306F80338DA8116E54D86A71292A3AA188D6378EF75A82A,700,p3a-ood-protocol-v1.1,p3a-ood-eval-impl-v1.1.3,p3a-ood-preflight-lock-v1.1,45.0,25.0,1.0,1.0,0.0,1.0,42.0,17.0,-1.0,1.0,34.04906353354454
full_ea_rg,0,C1,17,1208624,D:\Code\Codex\ri_gmappo_uav\results\paper_config_runs\formal_budget_post_sixth_freeze_v1.4_formal_main_20260802\ea_rg_mappo_s_gate_prior\ppo_seed0_1m\actor_critic_update_0700.pt,B9FECBE9ACC3A7CB7306F80338DA8116E54D86A71292A3AA188D6378EF75A82A,700,p3a-ood-protocol-v1.1,p3a-ood-eval-impl-v1.1.3,p3a-ood-preflight-lock-v1.1,46.0,25.0,1.0,1.0,0.0,1.0,43.0,18.0,-1.0,1.0,34.266229048371315
full_ea_rg,0,C1,18,1208625,D:\Code\Codex\ri_gmappo_uav\results\paper_config_runs\formal_budget_post_sixth_freeze_v1.4_formal_main_20260802\ea_rg_mappo_s_gate_prior\ppo_seed0_1m\actor_critic_update_0700.pt,B9FECBE9ACC3A7CB7306F80338DA8116E54D86A71292A3AA188D6378EF75A82A,700,p3a-ood-protocol-v1.1,p3a-ood-eval-impl-v1.1.3,p3a-ood-preflight-lock-v1.1,48.0,25.0,1.0,1.0,0.0,1.0,45.0,20.0,-1.0,1.0,35.188982263207436
full_ea_rg,0,C1,20,1208627,D:\Code\Codex\ri_gmappo_uav\results\paper_config_runs\formal_budget_post_sixth_freeze_v1.4_formal_main_20260802\ea_rg_mappo_s_gate_prior\ppo_seed0_1m\actor_critic_update_0700.pt,B9FECBE9ACC3A7CB7306F80338DA8116E54D86A71292A3AA188D6378EF75A82A,700,p3a-ood-protocol-v1.1,p3a-ood-eval-impl-v1.1.3,p3a-ood-preflight-lock-v1.1,48.0,25.0,1.0,1.0,0.0,1.0,45.0,20.0,-1.0,1.0,35.611788511276245
full_ea_rg,0,C1,27,1208634,D:\Code\Codex\ri_gmappo_uav\results\paper_config_runs\formal_budget_post_sixth_freeze_v1.4_formal_main_20260802\ea_rg_mappo_s_gate_prior\ppo_seed0_1m\actor_critic_update_0700.pt,B9FECBE9ACC3A7CB7306F80338DA8116E54D86A71292A3AA188D6378EF75A82A,700,p3a-ood-protocol-v1.1,p3a-ood-eval-impl-v1.1.3,p3a-ood-preflight-lock-v1.1,44.0,25.0,1.0,1.0,0.0,1.0,41.0,16.0,-1.0,1.0,32.69880202412605
full_ea_rg,0,C1,28,1208635,D:\Code\Codex\ri_gmappo_uav\results\paper_config_runs\formal_budget_post_sixth_freeze_v1.4_formal_main_20260802\ea_rg_mappo_s_gate_prior\ppo_seed0_1m\actor_critic_update_0700.pt,B9FECBE9ACC3A7CB7306F80338DA8116E54D86A71292A3AA188D6378EF75A82A,700,p3a-ood-protocol-v1.1,p3a-ood-eval-impl-v1.1.3,p3a-ood-preflight-lock-v1.1,44.0,25.0,1.0,1.0,0.0,1.0,41.0,16.0,-1.0,1.0,33.40375675261021
full_ea_rg,0,C1,29,1208636,D:\Code\Codex\ri_gmappo_uav\results\paper_config_runs\formal_budget_post_sixth_freeze_v1.4_formal_main_20260802\ea_rg_mappo_s_gate_prior\ppo_seed0_1m\actor_critic_update_0700.pt,B9FECBE9ACC3A7CB7306F80338DA8116E54D86A71292A3AA188D6378EF75A82A,700,p3a-ood-protocol-v1.1,p3a-ood-eval-impl-v1.1.3,p3a-ood-preflight-lock-v1.1,44.0,25.0,1.0,1.0,0.0,1.0,41.0,16.0,-1.0,1.0,32.69891321659088
full_ea_rg,0,C1,31,1208638,D:\Code\Codex\ri_gmappo_uav\results\paper_config_runs\formal_budget_post_sixth_freeze_v1.4_formal_main_20260802\ea_rg_mappo_s_gate_prior\ppo_seed0_1m\actor_critic_update_0700.pt,B9FECBE9ACC3A7CB7306F80338DA8116E54D86A71292A3AA188D6378EF75A82A,700,p3a-ood-protocol-v1.1,p3a-ood-eval-impl-v1.1.3,p3a-ood-preflight-lock-v1.1,44.0,25.0,1.0,1.0,0.0,1.0,41.0,16.0,-1.0,1.0,32.93578028678894
full_ea_rg,0,C1,24,1208631,D:\Code\Codex\ri_gmappo_uav\results\paper_config_runs\formal_budget_post_sixth_freeze_v1.4_formal_main_20260802\ea_rg_mappo_s_gate_prior\ppo_seed0_1m\actor_critic_update_0700.pt,B9FECBE9ACC3A7CB7306F80338DA8116E54D86A71292A3AA188D6378EF75A82A,700,p3a-ood-protocol-v1.1,p3a-ood-eval-impl-v1.1.3,p3a-ood-preflight-lock-v1.1,45.0,25.0,1.0,1.0,0.0,1.0,42.0,17.0,-1.0,1.0,34.068469032645226
full_ea_rg,0,C1,26,1208633,D:\Code\Codex\ri_gmappo_uav\results\paper_config_runs\formal_budget_post_sixth_freeze_v1.4_formal_main_20260802\ea_rg_mappo_s_gate_prior\ppo_seed0_1m\actor_critic_update_0700.pt,B9FECBE9ACC3A7CB7306F80338DA8116E54D86A71292A3AA188D6378EF75A82A,700,p3a-ood-protocol-v1.1,p3a-ood-eval-impl-v1.1.3,p3a-ood-preflight-lock-v1.1,45.0,25.0,1.0,1.0,0.0,1.0,42.0,17.0,-1.0,1.0,34.14612528681755
full_ea_rg,0,C1,25,1208632,D:\Code\Codex\ri_gmappo_uav\results\paper_config_runs\formal_budget_post_sixth_freeze_v1.4_formal_main_20260802\ea_rg_mappo_s_gate_prior\ppo_seed0_1m\actor_critic_update_0700.pt,B9FECBE9ACC3A7CB7306F80338DA8116E54D86A71292A3AA188D6378EF75A82A,700,p3a-ood-protocol-v1.1,p3a-ood-eval-impl-v1.1.3,p3a-ood-preflight-lock-v1.1,46.0,25.0,1.0,1.0,0.0,1.0,43.0,18.0,-1.0,1.0,34.426290184259415
full_ea_rg,0,C1,30,1208637,D:\Code\Codex\ri_gmappo_uav\results\paper_config_runs\formal_budget_post_sixth_freeze_v1.4_formal_main_20260802\ea_rg_mappo_s_gate_prior\ppo_seed0_1m\actor_critic_update_0700.pt,B9FECBE9ACC3A7CB7306F80338DA8116E54D86A71292A3AA188D6378EF75A82A,700,p3a-ood-protocol-v1.1,p3a-ood-eval-impl-v1.1.3,p3a-ood-preflight-lock-v1.1,260.0,25.0,1.0,0.0,0.0,0.0,-1.0,-1.0,235.0,0.0,11.965105302864686
