method,metric,unit,n_recovered_episodes,mean,note
no_graph,recovered_only_recovery_steps,steps,42,5.19047619,Conditional on episodes that recovered; use capped_recovery_steps for a comparable recovery-time proxy.
multi_relation,recovered_only_recovery_steps,steps,130,5.769230769,Conditional on episodes that recovered; use capped_recovery_steps for a comparable recovery-time proxy.
