method,checkpoint,policy_source,seed,episode,episodes,target_policy,communication_dropout_prob,message_delay_steps,radar_dropout_prob,deterministic,success,chain_closed,attack_window_formed,attack_window_rate,tracking_rate,comm_connectivity,mean_message_age,collision,timeout,constraint_violation,steps,avg_mean_range,final_mean_range,reward_sum
Geometric controller,not_applicable,geometric_controller,0,24,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.028985508110212242,0.44927536663801776,1.0,39.56521623030953,0.0,0.0,0.0,46.0,14616.785697605299,4628.03759765625,41.52236473560333
Geometric controller,not_applicable,geometric_controller,0,25,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.029629630512661403,0.4296296338240306,1.0,42.37036912706163,0.0,0.0,0.0,45.0,14827.964496527778,5061.56396484375,40.26349511742592
Geometric controller,not_applicable,geometric_controller,0,26,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.028985508110212242,0.44202898961046466,1.0,41.449274146038555,0.0,0.0,0.0,46.0,14646.009893002718,4686.71435546875,41.27725699543953
Geometric controller,not_applicable,geometric_controller,0,27,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.029629630512661403,0.4370370414521959,1.0,42.37036912706163,0.0,0.0,0.0,45.0,14830.11376953125,5051.45849609375,40.47607225179672
Geometric controller,not_applicable,geometric_controller,0,28,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.028985508110212242,0.44927536663801776,1.0,41.449274146038555,0.0,0.0,0.0,46.0,14637.562128481657,4669.27685546875,41.412777692079544
Geometric controller,not_applicable,geometric_controller,0,29,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.03030303120613098,0.4242424287579276,1.0,43.33333206176758,0.0,0.0,0.0,44.0,15064.916936700994,5513.59375,39.41512483358383
RI-GMAPPO from scratch,results/intercept_3d_baseline_protocol/runs/from_scratch_seed0/actor_critic_best.pt,checkpoint,0,0,30,straight,0.0,0,0.0,True,0.0,0.0,0.0,0.0,0.04102564224830041,0.4794871841485684,49.630769015848635,0.0,1.0,0.0,260.0,27289.893607271635,58365.6875,-11.0648447079584
RI-GMAPPO from scratch,results/intercept_3d_baseline_protocol/runs/from_scratch_seed0/actor_critic_best.pt,checkpoint,0,1,30,straight,0.0,0,0.0,True,0.0,0.0,0.0,0.0,0.03974359092804102,0.5217948778317525,48.197435496288996,0.0,1.0,0.0,260.0,26946.12533240685,57469.6875,-8.272634137421846
RI-GMAPPO from scratch,results/intercept_3d_baseline_protocol/runs/from_scratch_seed0/actor_critic_best.pt,checkpoint,0,2,30,straight,0.0,0,0.0,True,0.0,0.0,0.0,0.0,0.04871795016985673,0.4948717997624324,48.89230748701554,0.0,1.0,0.0,260.0,27127.91748798077,58663.75390625,-9.582567640580237
RI-GMAPPO from scratch,results/intercept_3d_baseline_protocol/runs/from_scratch_seed0/actor_critic_best.pt,checkpoint,0,3,30,straight,0.0,0,0.0,True,0.0,0.0,0.0,0.0,0.051282052810375504,0.46666667048747723,50.89358923538373,0.0,1.0,0.0,260.0,27057.670184795672,58377.17578125,-10.59150632377714
RI-GMAPPO from scratch,results/intercept_3d_baseline_protocol/runs/from_scratch_seed0/actor_critic_best.pt,checkpoint,0,4,30,straight,0.0,0,0.0,True,0.0,0.0,0.0,0.0,0.05512820677115367,0.42820513065044696,54.355128038961155,0.0,1.0,0.0,260.0,25613.063337590145,55141.33203125,-9.925725288689137
RI-GMAPPO from scratch,results/intercept_3d_baseline_protocol/runs/from_scratch_seed0/actor_critic_best.pt,checkpoint,0,5,30,straight,0.0,0,0.0,True,0.0,0.0,0.0,0.0,0.04615384752933795,0.4897435941375219,48.887179584801196,0.0,1.0,0.0,260.0,27074.18661358173,57834.09765625,-9.421530951745808
RI-GMAPPO from scratch,results/intercept_3d_baseline_protocol/runs/from_scratch_seed0/actor_critic_best.pt,checkpoint,0,6,30,straight,0.0,0,0.0,True,0.0,0.0,0.0,0.0,0.05769230941167244,0.42820513053582265,54.412820258621984,0.0,1.0,0.0,260.0,26094.083697979266,56323.51171875,-10.546651353128254
RI-GMAPPO from scratch,results/intercept_3d_baseline_protocol/runs/from_scratch_seed0/actor_critic_best.pt,checkpoint,0,7,30,straight,0.0,0,0.0,True,0.0,0.0,0.0,0.0,0.044871796209078565,0.501282056592978,48.85769181859035,0.0,1.0,0.0,260.0,26708.379805814304,57456.22265625,-8.80596581287682
RI-GMAPPO from scratch,results/intercept_3d_baseline_protocol/runs/from_scratch_seed0/actor_critic_best.pt,checkpoint,0,8,30,straight,0.0,0,0.0,True,0.0,0.0,0.0,0.0,0.05769230941167244,0.42948718197070634,54.45256394617832,0.0,1.0,0.0,260.0,26051.00534761869,57873.63671875,-11.622090868651867
RI-GMAPPO from scratch,results/intercept_3d_baseline_protocol/runs/from_scratch_seed0/actor_critic_best.pt,checkpoint,0,9,30,straight,0.0,0,0.0,True,0.0,0.0,0.0,0.0,0.04358974488881918,0.4935897482129244,48.76153825624631,0.0,1.0,0.0,260.0,26629.43244628906,56712.4375,-8.699735010042787
RI-GMAPPO from scratch,results/intercept_3d_baseline_protocol/runs/from_scratch_seed0/actor_critic_best.pt,checkpoint,0,10,30,straight,0.0,0,0.0,True,0.0,0.0,0.0,0.0,0.04358974488881918,0.5128205184753124,48.476922587821115,0.0,1.0,0.0,260.0,27008.33329702524,57974.734375,-8.741260521113873
RI-GMAPPO from scratch,results/intercept_3d_baseline_protocol/runs/from_scratch_seed0/actor_critic_best.pt,checkpoint,0,11,30,straight,0.0,0,0.0,True,0.0,0.0,0.0,0.0,0.04743589884959734,0.47179487565389044,50.02692286154399,0.0,1.0,0.0,260.0,26442.483759014423,56628.48828125,-9.322854260914028
RI-GMAPPO from scratch,results/intercept_3d_baseline_protocol/runs/from_scratch_seed0/actor_critic_best.pt,checkpoint,0,12,30,straight,0.0,0,0.0,True,0.0,0.0,0.0,0.0,0.04230769356855979,0.4987179540670835,49.08461516969479,0.0,1.0,0.0,260.0,26699.051177509013,57341.25,-9.283199116587639
RI-GMAPPO from scratch,results/intercept_3d_baseline_protocol/runs/from_scratch_seed0/actor_critic_best.pt,checkpoint,0,13,30,straight,0.0,0,0.0,True,0.0,0.0,0.0,0.0,0.04871795016985673,0.4910256456870299,48.983333411698155,0.0,1.0,0.0,260.0,27112.596888146032,58387.875,-9.505316038616002
RI-GMAPPO from scratch,results/intercept_3d_baseline_protocol/runs/from_scratch_seed0/actor_critic_best.pt,checkpoint,0,14,30,straight,0.0,0,0.0,True,0.0,0.0,0.0,0.0,0.05000000149011612,0.47692308104955233,49.958973830594466,0.0,1.0,0.0,260.0,27095.257286658652,58328.16796875,-10.060695910826325
RI-GMAPPO from scratch,results/intercept_3d_baseline_protocol/runs/from_scratch_seed0/actor_critic_best.pt,checkpoint,0,15,30,straight,0.0,0,0.0,True,0.0,0.0,0.0,0.0,0.037179488287522246,0.4846153895442302,49.46153852011149,0.0,1.0,0.0,260.0,27875.867014723557,59448.5625,-12.113165237009525
RI-GMAPPO from scratch,results/intercept_3d_baseline_protocol/runs/from_scratch_seed0/actor_critic_best.pt,checkpoint,0,16,30,straight,0.0,0,0.0,True,0.0,0.0,0.0,0.0,0.03974359092804102,0.510256415949418,48.474358485180595,0.0,1.0,0.0,260.0,27118.07039888822,57913.953125,-9.396421201527119
RI-GMAPPO from scratch,results/intercept_3d_baseline_protocol/runs/from_scratch_seed0/actor_critic_best.pt,checkpoint,0,17,30,straight,0.0,0,0.0,True,0.0,0.0,0.0,0.0,0.05256410413063489,0.45000000320948086,52.21153848090997,0.0,1.0,0.0,260.0,26010.38161808894,56217.31640625,-9.71145516820252
RI-GMAPPO from scratch,results/intercept_3d_baseline_protocol/runs/from_scratch_seed0/actor_critic_best.pt,checkpoint,0,18,30,straight,0.0,0,0.0,True,0.0,0.0,0.0,0.0,0.04615384752933795,0.48589744029136805,49.180769025477076,0.0,1.0,0.0,260.0,27014.861529071513,57676.203125,-9.540402767248452
RI-GMAPPO from scratch,results/intercept_3d_baseline_protocol/runs/from_scratch_seed0/actor_critic_best.pt,checkpoint,0,19,30,straight,0.0,0,0.0,True,0.0,0.0,0.0,0.0,0.05000000149011612,0.4666666703728529,50.629486651718615,0.0,1.0,0.0,260.0,26498.572622445914,56999.50390625,-9.598218242637813
RI-GMAPPO from scratch,results/intercept_3d_baseline_protocol/runs/from_scratch_seed0/actor_critic_best.pt,checkpoint,0,20,30,straight,0.0,0,0.0,True,0.0,0.0,0.0,0.0,0.04230769356855979,0.5064102617593912,48.30897443718635,0.0,1.0,0.0,260.0,26615.550219726563,57128.03125,-8.512458720244467
RI-GMAPPO from scratch,results/intercept_3d_baseline_protocol/runs/from_scratch_seed0/actor_critic_best.pt,checkpoint,0,21,30,straight,0.0,0,0.0,True,0.0,0.0,0.0,0.0,0.037179488287522246,0.4820512870183358,49.689743100909084,0.0,1.0,0.0,260.0,27576.704450871395,58558.44921875,-11.61393615230918
RI-GMAPPO from scratch,results/intercept_3d_baseline_protocol/runs/from_scratch_seed0/actor_critic_best.pt,checkpoint,0,22,30,straight,0.0,0,0.0,True,0.0,0.0,0.0,0.0,0.03589743696726286,0.4948718001063053,49.23461516969479,0.0,1.0,0.0,260.0,28001.160603215143,59365.49609375,-11.664134433493018
RI-GMAPPO from scratch,results/intercept_3d_baseline_protocol/runs/from_scratch_seed0/actor_critic_best.pt,checkpoint,0,23,30,straight,0.0,0,0.0,True,0.0,0.0,0.0,0.0,0.04743589884959734,0.4846153889711087,49.48589690751754,0.0,1.0,0.0,260.0,27067.12166466346,58161.58984375,-9.910263441503048
RI-GMAPPO from scratch,results/intercept_3d_baseline_protocol/runs/from_scratch_seed0/actor_critic_best.pt,checkpoint,0,24,30,straight,0.0,0,0.0,True,0.0,0.0,0.0,0.0,0.04230769356855979,0.501282056592978,48.85769181859035,0.0,1.0,0.0,260.0,26401.63338341346,56756.85546875,-8.58607220556587
RI-GMAPPO from scratch,results/intercept_3d_baseline_protocol/runs/from_scratch_seed0/actor_critic_best.pt,checkpoint,0,25,30,straight,0.0,0,0.0,True,0.0,0.0,0.0,0.0,0.044871796209078565,0.501282056592978,48.85769181859035,0.0,1.0,0.0,260.0,27032.890880408653,58048.70703125,-9.274763417430222
RI-GMAPPO from scratch,results/intercept_3d_baseline_protocol/runs/from_scratch_seed0/actor_critic_best.pt,checkpoint,0,26,30,straight,0.0,0,0.0,True,0.0,0.0,0.0,0.0,0.038461539607781633,0.47692308162267394,49.85769236626533,0.0,1.0,0.0,260.0,27098.9140625,57821.40625,-11.118069913238287
RI-GMAPPO from scratch,results/intercept_3d_baseline_protocol/runs/from_scratch_seed0/actor_critic_best.pt,checkpoint,0,27,30,straight,0.0,0,0.0,True,0.0,0.0,0.0,0.0,0.04615384752933795,0.48589744017674374,49.11025650787812,0.0,1.0,0.0,260.0,26692.671052433896,57060.09765625,-9.020652774721384
RI-GMAPPO from scratch,results/intercept_3d_baseline_protocol/runs/from_scratch_seed0/actor_critic_best.pt,checkpoint,0,28,30,straight,0.0,0,0.0,True,0.0,0.0,0.0,0.0,0.03974359092804102,0.5128205184753124,48.247435956391,0.0,1.0,0.0,260.0,27052.510868013822,57731.125,-8.990907865576446
RI-GMAPPO from scratch,results/intercept_3d_baseline_protocol/runs/from_scratch_seed0/actor_critic_best.pt,checkpoint,0,29,30,straight,0.0,0,0.0,True,0.0,0.0,0.0,0.0,0.05256410413063489,0.4525641057353753,51.760255950345446,0.0,1.0,0.0,260.0,26448.718165940503,56984.83203125,-10.11910636909306
RI-GMAPPO BC-only,results/intercept_3d_baseline_protocol/runs/bc_only_seed0/actor_critic_best.pt,checkpoint,0,0,30,straight,0.0,0,0.0,True,0.0,0.0,1.0,0.0025641026405187756,0.10384615533626997,0.6025641044745078,30.779486925441486,0.0,1.0,0.0,260.0,38584.06768517127,83670.4375,-9.241912957280874
RI-GMAPPO BC-only,results/intercept_3d_baseline_protocol/runs/bc_only_seed0/actor_critic_best.pt,checkpoint,0,1,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.02836879517169709,0.4539007132357739,1.0,46.099289427412316,0.0,0.0,0.0,47.0,14493.19103224734,4529.02880859375,41.78696995973587
RI-GMAPPO BC-only,results/intercept_3d_baseline_protocol/runs/bc_only_seed0/actor_critic_best.pt,checkpoint,0,2,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.029629630512661403,0.4296296338240306,1.0,50.0740726047092,0.0,0.0,0.0,45.0,14930.261187065973,5383.53173828125,39.62936756014824
RI-GMAPPO BC-only,results/intercept_3d_baseline_protocol/runs/bc_only_seed0/actor_critic_best.pt,checkpoint,0,3,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.029629630512661403,0.4296296338240306,1.0,50.0740726047092,0.0,0.0,0.0,45.0,14935.44619140625,5386.541015625,39.62998253107071
RI-GMAPPO BC-only,results/intercept_3d_baseline_protocol/runs/bc_only_seed0/actor_critic_best.pt,checkpoint,0,4,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.03030303120613098,0.4242424287579276,1.0,51.21211970936168,0.0,0.0,0.0,44.0,15123.914206764915,5826.970703125,38.813184797763824
RI-GMAPPO BC-only,results/intercept_3d_baseline_protocol/runs/bc_only_seed0/actor_critic_best.pt,checkpoint,0,5,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.028985508110212242,0.44927536663801776,1.0,48.985505808954656,0.0,0.0,0.0,46.0,14652.072265625,4945.0615234375,40.831226140260696
RI-GMAPPO BC-only,results/intercept_3d_baseline_protocol/runs/bc_only_seed0/actor_critic_best.pt,checkpoint,0,6,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.03030303120613098,0.4242424287579276,1.0,55.151513533158735,0.0,0.0,0.0,44.0,15152.2587890625,5839.71630859375,38.64091730117798
RI-GMAPPO BC-only,results/intercept_3d_baseline_protocol/runs/bc_only_seed0/actor_critic_best.pt,checkpoint,0,7,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.028985508110212242,0.44202898961046466,1.0,48.985505808954656,0.0,0.0,0.0,46.0,14654.114915930706,4967.85595703125,40.61306154727936
RI-GMAPPO BC-only,results/intercept_3d_baseline_protocol/runs/bc_only_seed0/actor_critic_best.pt,checkpoint,0,8,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.03030303120613098,0.41666667095639487,1.0,55.151513533158735,0.0,0.0,0.0,44.0,15166.059070933949,5897.47802734375,38.402523934841156
RI-GMAPPO BC-only,results/intercept_3d_baseline_protocol/runs/bc_only_seed0/actor_critic_best.pt,checkpoint,0,9,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.028985508110212242,0.44927536663801776,1.0,47.101447893225625,0.0,0.0,0.0,46.0,14687.155146059782,4971.2373046875,40.92602354288101
RI-GMAPPO BC-only,results/intercept_3d_baseline_protocol/runs/bc_only_seed0/actor_critic_best.pt,checkpoint,0,10,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.028985508110212242,0.44202898961046466,1.0,48.985505808954656,0.0,0.0,0.0,46.0,14662.053551715353,5000.765625,40.58852955698967
RI-GMAPPO BC-only,results/intercept_3d_baseline_protocol/runs/bc_only_seed0/actor_critic_best.pt,checkpoint,0,11,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.029629630512661403,0.4370370414521959,1.0,48.14814673529731,0.0,0.0,0.0,45.0,14884.077506510417,5253.19873046875,40.06246215105057
RI-GMAPPO BC-only,results/intercept_3d_baseline_protocol/runs/bc_only_seed0/actor_critic_best.pt,checkpoint,0,12,30,straight,0.0,0,0.0,True,0.0,0.0,1.0,0.003846153960778163,0.10384615533626997,0.752564105620751,23.58076908416473,0.0,1.0,0.0,260.0,38744.82128530649,83953.1484375,0.6727562490850687
RI-GMAPPO BC-only,results/intercept_3d_baseline_protocol/runs/bc_only_seed0/actor_critic_best.pt,checkpoint,0,13,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.029629630512661403,0.4370370414521959,1.0,53.925924343532984,0.0,0.0,0.0,45.0,14926.516861979168,5435.82568359375,39.5995609164238
RI-GMAPPO BC-only,results/intercept_3d_baseline_protocol/runs/bc_only_seed0/actor_critic_best.pt,checkpoint,0,14,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.029629630512661403,0.4370370414521959,1.0,53.925924343532984,0.0,0.0,0.0,45.0,14908.60654296875,5409.92041015625,39.608424097299576
RI-GMAPPO BC-only,results/intercept_3d_baseline_protocol/runs/bc_only_seed0/actor_critic_best.pt,checkpoint,0,15,30,straight,0.0,0,0.0,True,0.0,0.0,0.0,0.0,0.09743589896422167,0.7089743607319319,24.2102562428667,0.0,1.0,0.0,260.0,38745.86832369291,83825.9140625,-4.3970453925430775
RI-GMAPPO BC-only,results/intercept_3d_baseline_protocol/runs/bc_only_seed0/actor_critic_best.pt,checkpoint,0,16,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.02836879517169709,0.4609929120286982,1.0,46.099289427412316,0.0,0.0,0.0,47.0,14461.272471326463,4604.02294921875,41.82263794541359
RI-GMAPPO BC-only,results/intercept_3d_baseline_protocol/runs/bc_only_seed0/actor_critic_best.pt,checkpoint,0,17,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.03030303120613098,0.4242424287579276,1.0,47.27272588556463,0.0,0.0,0.0,44.0,15101.973566228693,5734.34228515625,39.06393092870712
RI-GMAPPO BC-only,results/intercept_3d_baseline_protocol/runs/bc_only_seed0/actor_critic_best.pt,checkpoint,0,18,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.028985508110212242,0.44927536663801776,1.0,48.985505808954656,0.0,0.0,0.0,46.0,14656.203209918478,4982.08056640625,40.79929828643799
RI-GMAPPO BC-only,results/intercept_3d_baseline_protocol/runs/bc_only_seed0/actor_critic_best.pt,checkpoint,0,19,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.029629630512661403,0.4370370414521959,1.0,50.0740726047092,0.0,0.0,0.0,45.0,14877.480642361112,5365.72900390625,39.79470983147621
RI-GMAPPO BC-only,results/intercept_3d_baseline_protocol/runs/bc_only_seed0/actor_critic_best.pt,checkpoint,0,20,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.028985508110212242,0.44927536663801776,1.0,47.101447893225625,0.0,0.0,0.0,46.0,14654.389234459919,4910.83837890625,40.953029841184616
RI-GMAPPO BC-only,results/intercept_3d_baseline_protocol/runs/bc_only_seed0/actor_critic_best.pt,checkpoint,0,21,30,straight,0.0,0,0.0,True,0.0,0.0,1.0,0.0012820513202593878,0.09743589884959734,0.6320512843819764,28.943589743398704,0.0,1.0,0.0,260.0,38571.32358304537,82844.3203125,-8.023601861670613
RI-GMAPPO BC-only,results/intercept_3d_baseline_protocol/runs/bc_only_seed0/actor_critic_best.pt,checkpoint,0,22,30,straight,0.0,0,0.0,True,0.0,0.0,1.0,0.0012820513202593878,0.09743589884959734,0.587179490006887,33.20512759857453,0.0,1.0,0.0,260.0,38204.23426889273,82541.5546875,-11.05589741654694
RI-GMAPPO BC-only,results/intercept_3d_baseline_protocol/runs/bc_only_seed0/actor_critic_best.pt,checkpoint,0,23,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.029629630512661403,0.4370370414521959,1.0,46.22222086588542,0.0,0.0,0.0,45.0,14880.580729166666,5300.02685546875,40.039324909448624
RI-GMAPPO BC-only,results/intercept_3d_baseline_protocol/runs/bc_only_seed0/actor_critic_best.pt,checkpoint,0,24,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.028985508110212242,0.44927536663801776,1.0,47.101447893225625,0.0,0.0,0.0,46.0,14667.721860139267,4942.9677734375,40.93034082651138
RI-GMAPPO BC-only,results/intercept_3d_baseline_protocol/runs/bc_only_seed0/actor_critic_best.pt,checkpoint,0,25,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.028985508110212242,0.44202898961046466,1.0,45.2173899774966,0.0,0.0,0.0,46.0,14648.898692255434,4922.68212890625,40.82760936021805
RI-GMAPPO BC-only,results/intercept_3d_baseline_protocol/runs/bc_only_seed0/actor_critic_best.pt,checkpoint,0,26,30,straight,0.0,0,0.0,True,0.0,0.0,1.0,0.003846153960778163,0.10000000137549181,0.70512820906364,26.933333176947556,0.0,1.0,0.0,260.0,38611.732328913764,83686.7109375,-2.8831392992287874
RI-GMAPPO BC-only,results/intercept_3d_baseline_protocol/runs/bc_only_seed0/actor_critic_best.pt,checkpoint,0,27,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.029629630512661403,0.4370370414521959,1.0,48.14814673529731,0.0,0.0,0.0,45.0,14877.663726128472,5329.375,40.00012928247452
RI-GMAPPO BC-only,results/intercept_3d_baseline_protocol/runs/bc_only_seed0/actor_critic_best.pt,checkpoint,0,28,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.02836879517169709,0.4539007132357739,1.0,46.099289427412316,0.0,0.0,0.0,47.0,14469.769977975398,4556.16357421875,41.747548282146454
RI-GMAPPO BC-only,results/intercept_3d_baseline_protocol/runs/bc_only_seed0/actor_critic_best.pt,checkpoint,0,29,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.03030303120613098,0.4242424287579276,1.0,47.27272588556463,0.0,0.0,0.0,44.0,15100.185791015625,5702.89306640625,39.096141040325165
