scenario,n_paired_episodes,single_post_failure_chain_recovered_mean,multi_post_failure_chain_recovered_mean,delta_post_failure_chain_recovered_mean,delta_post_failure_chain_recovered_ci_low,delta_post_failure_chain_recovered_ci_high,delta_post_failure_chain_recovered_p_bootstrap,single_post_failure_chain_recovery_steps_mean,multi_post_failure_chain_recovery_steps_mean,delta_post_failure_chain_recovery_steps_mean,delta_post_failure_chain_recovery_steps_ci_low,delta_post_failure_chain_recovery_steps_ci_high,delta_post_failure_chain_recovery_steps_p_bootstrap,single_chain_closed_during_failure_rate_mean,multi_chain_closed_during_failure_rate_mean,delta_chain_closed_during_failure_rate_mean,delta_chain_closed_during_failure_rate_ci_low,delta_chain_closed_during_failure_rate_ci_high,delta_chain_closed_during_failure_rate_p_bootstrap,single_tracking_during_failure_rate_mean,multi_tracking_during_failure_rate_mean,delta_tracking_during_failure_rate_mean,delta_tracking_during_failure_rate_ci_low,delta_tracking_during_failure_rate_ci_high,delta_tracking_during_failure_rate_p_bootstrap,single_connectivity_during_failure_mean,multi_connectivity_during_failure_mean,delta_connectivity_during_failure_mean,delta_connectivity_during_failure_ci_low,delta_connectivity_during_failure_ci_high,delta_connectivity_during_failure_p_bootstrap,single_first_chain_close_step_mean,multi_first_chain_close_step_mean,delta_first_chain_close_step_mean,delta_first_chain_close_step_ci_low,delta_first_chain_close_step_ci_high,delta_first_chain_close_step_p_bootstrap,single_steps_mean,multi_steps_mean,delta_steps_mean,delta_steps_ci_low,delta_steps_ci_high,delta_steps_p_bootstrap,single_success_mean,multi_success_mean,delta_success_mean,delta_success_ci_low,delta_success_ci_high,delta_success_p_bootstrap
relay_failure,15,0.533333,0.8,0.266667,-0.0666667,0.6,0.1868,105.8,49.8,-56,-126.867,15.0667,0.1814,0.0808995,0.10114,0.0202405,-0.0234368,0.0628867,0.359,0.606111,0.831944,0.225833,-0.0552778,0.506389,0.1064,0.389766,0.402427,0.0126603,-0.0144538,0.0394985,0.3508,24,37.6,13.6,-2.66667,29.8667,0.0914,145.8,89.8,-56,-126.933,15,0.187,0.533333,0.8,0.266667,-0.0666667,0.6,0.1908
scout_failure,15,0.733333,0.8,0.0666667,-0.266667,0.4,0.8626,63.6667,49.8,-13.8667,-84.8667,57.0667,0.809,0.100428,0.10114,0.000711881,-0.0412489,0.0437278,0.98,0.775278,0.833056,0.0577778,-0.223333,0.338611,0.6364,0.402508,0.399371,-0.00313652,-0.0308764,0.0240035,0.8316,34.0667,37.6,3.53333,-12.9333,19.7333,0.6052,103.667,89.8,-13.8667,-84.8,57.2,0.8256,0.733333,0.8,0.0666667,-0.266667,0.4,0.847
