scenario,n_paired_episodes,single_post_failure_chain_recovered_mean,multi_post_failure_chain_recovered_mean,delta_post_failure_chain_recovered_mean,delta_post_failure_chain_recovered_ci_low,delta_post_failure_chain_recovered_ci_high,delta_post_failure_chain_recovered_p_bootstrap,single_post_failure_chain_recovery_steps_mean,multi_post_failure_chain_recovery_steps_mean,delta_post_failure_chain_recovery_steps_mean,delta_post_failure_chain_recovery_steps_ci_low,delta_post_failure_chain_recovery_steps_ci_high,delta_post_failure_chain_recovery_steps_p_bootstrap,single_chain_closed_during_failure_rate_mean,multi_chain_closed_during_failure_rate_mean,delta_chain_closed_during_failure_rate_mean,delta_chain_closed_during_failure_rate_ci_low,delta_chain_closed_during_failure_rate_ci_high,delta_chain_closed_during_failure_rate_p_bootstrap,single_tracking_during_failure_rate_mean,multi_tracking_during_failure_rate_mean,delta_tracking_during_failure_rate_mean,delta_tracking_during_failure_rate_ci_low,delta_tracking_during_failure_rate_ci_high,delta_tracking_during_failure_rate_p_bootstrap,single_connectivity_during_failure_mean,multi_connectivity_during_failure_mean,delta_connectivity_during_failure_mean,delta_connectivity_during_failure_ci_low,delta_connectivity_during_failure_ci_high,delta_connectivity_during_failure_p_bootstrap,single_first_chain_close_step_mean,multi_first_chain_close_step_mean,delta_first_chain_close_step_mean,delta_first_chain_close_step_ci_low,delta_first_chain_close_step_ci_high,delta_first_chain_close_step_p_bootstrap,single_steps_mean,multi_steps_mean,delta_steps_mean,delta_steps_ci_low,delta_steps_ci_high,delta_steps_p_bootstrap,single_success_mean,multi_success_mean,delta_success_mean,delta_success_ci_low,delta_success_ci_high,delta_success_p_bootstrap
relay_failure,90,0.711111,0.966667,0.255556,0.155556,0.366667,0,67.4778,13.5667,-53.9111,-75.3222,-32.6333,0,0.114541,0.139864,0.0253228,0.0131935,0.0376177,0,0.755324,0.970281,0.214957,0.130007,0.300926,0,0.411129,0.426854,0.0157245,0.00794156,0.0232568,0.0002,32.0778,44.8667,12.7889,7.76667,18.1225,0,107.478,53.5667,-53.9111,-77.2669,-32.6108,0,0.711111,0.966667,0.255556,0.155556,0.366667,0
scout_failure,90,0.788889,0.855556,0.0666667,-0.0555556,0.188889,0.309,51.0333,37.0333,-14,-39.9111,11.9556,0.3122,0.12269,0.128316,0.0056269,-0.00886586,0.0199872,0.4384,0.821116,0.878321,0.0572045,-0.0448664,0.152844,0.2474,0.416886,0.418554,0.00166794,-0.00775471,0.0110985,0.728,35.9333,39.3333,3.4,-2.44472,8.91167,0.2266,91.0333,77.0333,-14,-37.8186,9.73389,0.2958,0.788889,0.855556,0.0666667,-0.0444444,0.188889,0.311
