method,metric,unit,n_recovered_episodes,mean,note
no_graph,recovered_only_recovery_steps,steps,13,5.538461538,Conditional on episodes that recovered; use capped_recovery_steps for a comparable recovery-time proxy.
multi_relation,recovered_only_recovery_steps,steps,47,15.0212766,Conditional on episodes that recovered; use capped_recovery_steps for a comparable recovery-time proxy.
