episode,seed,success,chain_closed,collision,timeout,steps,perception_attention_mass_mean,perception_attention_mass_during_failure,perception_edge_density_mean,communication_attention_mass_mean,communication_attention_mass_during_failure,communication_edge_density_mean,task_support_attention_mass_mean,task_support_attention_mass_during_failure,task_support_edge_density_mean,global_attention_mass_mean,global_attention_mass_during_failure,global_edge_density_mean,task_support_active_rate,communication_active_rate,perception_active_rate
0,140000,0.0,0.0,0.0,1.0,260.0,0.031043600004452925,0.0926691886037588,0.014423076923076924,0.7500000000573122,0.7499999998137354,0.25216346153846153,0.028682696876617578,0.040417073480784896,0.014423076923076924,0.7499999996561271,0.75,0.26658653846153846,0.2230769230769231,1.0,0.18076923076923077
1,140001,0.0,0.0,0.0,1.0,260.0,0.03566750975755545,0.10452782679349185,0.01658653846153846,0.7500000001719365,0.750000000745058,0.25600961538461536,0.030607635269944485,0.0497764652594924,0.015384615384615385,0.7500000001146243,0.7500000005587936,0.2725961538461538,0.23461538461538461,1.0,0.19615384615384615
2,140002,0.0,0.0,0.0,1.0,260.0,0.03246732411476282,0.09091725088655948,0.01514423076923077,0.75,0.75,0.2536057692307692,0.029157176298590808,0.04508689064532519,0.014663461538461538,0.7500000006304337,0.7499999998137354,0.26875,0.2230769230769231,1.0,0.19230769230769232
3,140003,0.0,0.0,0.0,1.0,260.0,0.034638083840792,0.10433826055377722,0.01610576923076923,0.7499999998853757,0.75,0.2550480769230769,0.02916365168415583,0.043530798703432086,0.014663461538461538,0.7500000005731216,0.7500000022351742,0.27115384615384613,0.2230769230769231,1.0,0.18461538461538463
4,140004,0.0,0.0,0.0,1.0,260.0,0.02969480764407378,0.07065321374684572,0.013942307692307693,0.7500000002292486,0.75,0.2514423076923077,0.026768045385296528,0.04197556041181087,0.013461538461538462,0.7499999997134392,0.7499999998137354,0.2653846153846154,0.2153846153846154,1.0,0.19230769230769232
5,140005,0.0,0.0,0.0,1.0,260.0,0.034409339382098274,0.09083020482212305,0.01610576923076923,0.7500000002292486,0.75,0.25408653846153845,0.03011723292561678,0.04663848672062158,0.01514423076923077,0.7500000001719365,0.75,0.2701923076923077,0.22692307692307692,1.0,0.20384615384615384
6,140006,1.0,1.0,0.0,0.0,51.0,0.12901672019678004,0.22910326388147143,0.06004901960784314,0.75,0.7500000022075795,0.30637254901960786,0.05366740317321291,0.08754779370846572,0.02696078431372549,0.7500000011687186,0.7500000022075795,0.36642156862745096,0.4117647058823529,1.0,0.5882352941176471
7,140007,0.0,0.0,0.0,1.0,260.0,0.03159170798804702,0.09609430061157159,0.014663461538461538,0.75,0.750000000745058,0.2502403846153846,0.026772269004812606,0.04197577778249979,0.013461538461538462,0.7496832624650919,0.7489706045016646,0.26490384615384616,0.2153846153846154,1.0,0.17307692307692307
8,140008,1.0,1.0,0.0,0.0,50.0,0.13131029546260833,0.23737516540747422,0.06125,0.7500000020861626,0.7499999994268784,0.3075,0.04977595806121826,0.08136163250758098,0.025,0.75,0.75,0.36875,0.36,1.0,0.58
9,140009,1.0,1.0,0.0,0.0,52.0,0.13433170020831203,0.2306737429375925,0.0625,0.7500000011462432,0.75,0.30528846153846156,0.06461463481760941,0.10222065768071584,0.03245192307692308,0.7499999994268784,0.7499999989356313,0.36778846153846156,0.4807692307692308,1.0,0.6153846153846154
