epoch,loss,action_accuracy,attacker_action_accuracy,support_action_accuracy,samples,demo_success_rate,balanced_loss,geometric_policy_mode,attacker_action_weight
1,9.317097187042236,0.010552182711766406,0.021465741543798787,0.005095403295750217,4612,1.0,0,offset,4.0
2,4.43973119635331,0.1143394044521538,0.11751951431049436,0.11274934952298352,4612,1.0,0,offset,4.0
3,2.496131708747462,0.2832466030644695,0.22766695576756288,0.3110364267129228,4612,1.0,0,offset,4.0
4,1.9236521532661037,0.3561000289100896,0.27992194275802257,0.39418907198612313,4612,1.0,0,offset,4.0
5,1.6917704657504433,0.3682422665510263,0.30789245446660884,0.39841717259323506,4612,1.0,0,offset,4.0
6,1.6132948837782208,0.3724342295461116,0.325021682567216,0.3961405030355594,4612,1.0,0,offset,4.0
7,1.5601503911771273,0.3858051459959526,0.3336947094535993,0.41186036426712924,4612,1.0,0,offset,4.0
8,1.482803031017906,0.39137033824804857,0.33564614050303554,0.4192324371205551,4612,1.0,0,offset,4.0
9,1.4742136127070378,0.3847932928592079,0.34215091066782305,0.40611448395490024,4612,1.0,0,offset,4.0
10,1.4568979300950702,0.3949118242266551,0.3521248915871639,0.4163052905464007,4612,1.0,0,offset,4.0
11,1.4685717193703902,0.3978028331887829,0.36838681699913267,0.412510841283608,4612,1.0,0,offset,4.0
12,1.4497783246793245,0.3965018791558254,0.3647007805724198,0.41240242844752817,4612,1.0,0,offset,4.0
