graph_encoder,relative_step,n_available,tracking_rate_mean,connectivity_mean,chain_closed_mean,recovery_cdf
no_graph,-20,100,0.333333,0.843333,0,0
no_graph,-19,100,0.333333,0.876667,0,0
no_graph,-18,100,0.333333,0.851667,0,0
no_graph,-17,100,0.333333,0.851667,0,0
no_graph,-16,100,0.333333,0.851667,0,0
no_graph,-15,100,0.333333,0.831667,0,0
no_graph,-14,100,0.333333,0.821667,0,0
no_graph,-13,100,0.333333,0.866667,0,0
no_graph,-12,100,0.33,0.81,0,0
no_graph,-11,100,0.463333,0.853333,0,0
no_graph,-10,100,0.523333,0.803333,0,0
no_graph,-9,100,0.52,0.843333,0,0
no_graph,-8,100,0.476667,0.87,0,0
no_graph,-7,100,0.693333,0.826667,0,0
no_graph,-6,100,0.726667,0.865,0,0
no_graph,-5,100,0.683333,0.818333,0,0
no_graph,-4,100,0.673333,0.851667,0,0
no_graph,-3,100,0.673333,0.796667,0,0
no_graph,-2,100,0.67,0.85,0,0
no_graph,-1,100,0.67,0.79,0,0
no_graph,0,100,0.66,0.83,0,0
no_graph,1,100,0.653333,0.243333,0,0
no_graph,2,100,0.65,0.25,0,0
no_graph,3,100,0.636667,0.225,0,0
no_graph,4,100,0.603333,0.218333,0.22,0.22
no_graph,5,78,0.551282,0.254274,0.269231,0.269231
no_graph,6,57,0.479532,0.236842,0.298246,0.298246
no_graph,7,40,0.4,0.2625,0.3,0.3
no_graph,8,28,0.333333,0.238095,0.142857,0.142857
no_graph,9,24,0.333333,0.215278,0.0833333,0.0833333
no_graph,10,22,0.333333,0.265152,0,0
no_graph,11,22,0.333333,0.257576,0,0
no_graph,12,22,0.333333,0.242424,0,0
no_graph,13,22,0.333333,0.219697,0,0
no_graph,14,22,0.333333,0.136364,0,0
no_graph,15,22,0.333333,0,0,0
no_graph,16,22,0.333333,0,0,0
no_graph,17,22,0.318182,0,0,0
no_graph,18,22,0.287879,0,0,0
no_graph,19,22,0.166667,0,0,0
no_graph,20,22,0.0454545,0,0,0
no_graph,21,22,0,0,0,0
no_graph,22,22,0,0,0,0
no_graph,23,22,0,0,0,0
no_graph,24,22,0,0,0,0
no_graph,25,22,0,0,0,0
no_graph,26,22,0,0,0,0
no_graph,27,22,0,0,0,0
no_graph,28,22,0,0,0,0
no_graph,29,22,0,0,0,0
no_graph,30,22,0,0,0,0
no_graph,31,22,0,0,0,0
no_graph,32,22,0,0,0,0
no_graph,33,22,0,0,0,0
no_graph,34,22,0,0,0,0
